"site2","100_3","100_5","100_6","100_9","142_1","142_12","142_13","142_3","142_4","142_5","142_6","147_1","147_11","147_2","147_3","147_4","147_5","147_7","147_8","152_1","152_2","152_3","152_4","152_6","152_7","152_8","202_1","202_13","202_2","235_1","235_3","235_4","235_5","245_11","245_2","245_4","245_5","245_6","245_7","245_8","245_9","269_1","269_10","269_11","269_2","269_4","269_6","269_7","269_8","274_1","274_2","274_3","274_4","274_5","274_6","274_7","274_8","315_1","315_11","315_2","315_3","315_4","315_5","342_1","342_10","342_11","342_12","342_2","342_3","342_4","342_5","342_6","342_7","342_8","342_9","358_4","358_5","369_1","369_10","369_3","369_4","369_5","369_6","369_7","369_8","423_1","423_5","423_6","423_7","423_9","44_1","44_2","44_4","44_5","44_6","443_1","443_2","443_4","547_1","547_2","547_5","549_1","549_10","549_11","549_12","549_2","549_3","549_4","549_5","549_6","549_7","549_8","549_9","Extra_1","Extra_2","Extra_3","Extra_4"
"100_3",0.00133863159491265,0.2533125541112,0.150714023864913,0.349946073416946,0.141811996372451,0.326314641008857,0.210481763215799,0.236940189275577,0.269002659774075,0.241305557481727,0.553108500528655,0.256549409524665,0.265044747667284,0.552310422222533,0.344002562976222,0.316440827324406,0.234727450518573,0.287772769104945,0.321675352087411,0.382316358239148,0.279315964853765,0.263983502937033,0.348156269943434,0.275471833734901,0.374473582665569,0.3821792392624,0.345025817015363,0.493275413644206,0.364057563219561,0.390503521264087,0.457071628429915,0.496503162784865,0.246500947352647,0.329893608690828,0.251048200562664,0.266677188637163,0.312009303526282,0.327912006959543,0.357957911277854,0.388657052176982,0.225293917710448,0.435109144454474,0.299686952318379,0.242987460365371,0.412423597421751,0.291000751619329,0.389023125913394,0.162859837015391,0.351378750741381,0.479107439170348,0.440497720596853,0.404232585801642,0.17466329039895,0.276354276486062,0.516041990266918,0.425554318923118,0.519669584210089,0.227261498948709,0.795642641206838,0.281173934768719,0.269303370431599,0.379487321231649,0.922392359686246,0.229797308715801,0.338180536798433,0.443687935145989,0.446752369325077,0.28828747375912,0.444930508916838,0.240875465191392,0.205382900883987,0.163792432301773,0.318691879920832,0.251874142477043,0.339996242272066,0.360590487087758,0.343660836084131,0.297364494664048,0.281248129456789,0.262402813138592,0.120365311541323,0.376405223687026,0.234395999221082,0.241278836348153,0.321432958036898,0.459766548952595,0.238728237683701,0.421899060769244,0.287518706103838,0.347815962806653,0.0944408167468338,0.441730066745192,0.124278144187429,0.199360731001901,0.37229932701151,0.261754238181491,0.304572853126998,0.298837373314305,0.178013146118273,0.248810035833237,0.171540223486127,0.273130294927804,0.329909719896157,0.358864361200609,0.321467323962888,0.295917465791082,0.295735024665909,0.357893590565717,0.274353611663292,0.37252223051594,0.349139122485966,0.221054262264347,0.275945217765444,0.37141838810491,0.275208057627257,0.371137594605737,0.332454319087167
"100_5",0.2533125541112,-0.000276649605534196,0.0617216197066626,0.562933322704748,0.0899747070428447,0.116329899018317,0.245483245796679,0.0610341841840034,0.0607434992102629,0.0715836298951005,0.354505668970408,0.0848006366244238,0.0923061558982816,0.343115769604967,0.162627219664818,0.199597653306052,0.0702260075025338,0.11172877741382,0.133530653193562,0.564858421407832,0.266036921635426,0.477949857245617,0.174744688863994,0.200519983504551,0.496004016648211,0.195669651409506,0.185841706775904,0.273939377683331,0.230824452949339,0.203757732256737,0.268711538327648,0.302037572936099,0.415667502459375,0.150264768126874,0.101062795509603,0.106617913824051,0.0846613392040825,0.145019141033084,0.171554448181254,0.151498660043018,0.09652366243407,0.19200448993408,0.0945771085139229,0.0946241547856319,0.178418406779854,0.0934149952534555,0.219922865466374,0.0854340122337274,0.114199530503119,0.222048332221238,0.203051523303216,0.18934085114055,0.185186847683525,0.202070689722564,0.275205922411785,0.175872000118681,0.315795835880823,0.272867425436295,0.87291953706509,0.313513879804246,0.12648330084177,0.303769594097439,0.957413404583672,0.0576110869529143,0.181080008291208,0.247652922901282,0.213218425909143,0.0777361051855163,0.336708371492108,0.0463748213629747,0.0585042956154156,0.0787271737138107,0.125816276342981,0.0531296672456136,0.0737798995251,0.143572003263914,0.125025254117892,0.199912324186992,0.061776685138643,0.109327545280558,0.153054958985597,0.163767564203344,0.158565823800268,0.0628183908978459,0.113707955307139,0.335150173228512,0.282638157139744,0.308001105003904,0.127061700392411,0.514778008118221,0.285092586533026,0.236784825853499,0.120798732098047,0.0866162009678566,0.281225882780441,0.137523979749419,0.103960082363892,0.110200660832094,0.0683997447009936,0.067768792925897,0.0987304690737971,0.0749497465074163,0.0829656083709163,0.126199564306668,0.0766891370217817,0.0818637312798078,0.0812298455605345,0.0791704810756804,0.114767641734541,0.101690858077285,0.0728073078019293,0.0879718899979547,0.0794138986715847,0.126663372857784,0.0995028521266015,0.135584069799971,0.0830978191394123
"100_6",0.150714023864913,0.0617216197066626,-0.00572993196773774,0.500509545878315,0.0494676398611187,0.142688840131892,0.224070667665459,0.0715982327301432,0.107386094597725,0.0864357678186249,0.419570411366164,0.139521892505736,0.12829603643544,0.412813291826226,0.210367900863259,0.240710370879006,0.112926595016779,0.154541650846574,0.174418092833953,0.513600762205991,0.263395971186807,0.407204258162942,0.250347912710434,0.230136128360276,0.439767078373956,0.268460627477088,0.202288691262664,0.342337537520418,0.265449429437699,0.262407507064529,0.323790304436743,0.363464978109181,0.335697313046101,0.194230357537468,0.15364069266281,0.135439216154148,0.143831875461749,0.192326713513597,0.238232069033391,0.236245791419933,0.130574198866654,0.277836392782411,0.16132509598635,0.12662229913872,0.261089363721761,0.146366477157629,0.26840274152452,0.0943367786970231,0.18623650119033,0.316956584723721,0.289247718488859,0.252585602474998,0.15227899051344,0.22187006505958,0.345042421397756,0.255341697946833,0.383059098265166,0.227476716332105,0.847025417513771,0.277188639517055,0.149527793689618,0.300280820158786,0.945086924168244,0.0937767850460107,0.233672831509536,0.326205290399685,0.305187500216355,0.102369333134616,0.34531826622536,0.0677685679930804,0.0576589431233525,0.0555394667791902,0.145391623610548,0.0609322877763239,0.126020656488874,0.199589845341195,0.183087581748161,0.214146252815107,0.0951082942008508,0.108015844741143,0.0954204931128522,0.224761609437943,0.184175227882842,0.0930939198589016,0.151524442022518,0.363060358031239,0.237483894135524,0.324731458187811,0.139307318100885,0.442573477995787,0.198183040809699,0.291554053626994,0.0867114687482879,0.0825339104351042,0.286583458107462,0.147542936577609,0.145143416257812,0.165250781793066,0.0703098068962449,0.098659629909138,0.0852961624870365,0.114435012045775,0.134630644227451,0.192622684293852,0.125714202444729,0.10539232556779,0.136292143646685,0.143063963637986,0.14227958072044,0.157922020540719,0.127920693781612,0.0928229001536061,0.12093157327648,0.191660165717213,0.130517197358051,0.199707616413983,0.13691119399376
"100_9",0.349946073416946,0.562933322704748,0.500509545878315,-0.00364453675124521,0.478854509424136,0.567430855418057,0.418778326961451,0.579659243370797,0.546286285987361,0.573904624084847,0.697169612177296,0.533743136231171,0.543840461920604,0.729875533172975,0.569755391394555,0.518400962397149,0.579517286910742,0.607687511667339,0.592235680634301,0.155272886840213,0.432557061683214,0.193045378921838,0.546321816865382,0.431675308604212,0.241916072547977,0.56073170072843,0.557686763283,0.663665528012427,0.500733216944044,0.613133548159239,0.635247741403132,0.688492120358778,0.274951043443252,0.615049077305377,0.531436178921937,0.56823772351735,0.636811198607328,0.596166166795145,0.553861884079637,0.629797501044103,0.578456108683618,0.643863900329381,0.593370912866782,0.600875191789719,0.619160059858745,0.575971849783093,0.581676360833026,0.516641237649098,0.67574248208894,0.663753378817325,0.637592826464193,0.64890654827984,0.39255660467941,0.436999355073218,0.685720467098176,0.680478511889172,0.695398962749585,0.286930590894906,0.544939453188643,0.416082855099167,0.552775780749737,0.525929113924553,0.819393503790388,0.502941640526522,0.565646677941685,0.649299422294233,0.64906410163276,0.594111683770527,0.561877314824179,0.589054283674022,0.51808200043056,0.509021985488968,0.551082205308971,0.58825620855011,0.653560238565735,0.611284877564704,0.596217802338381,0.491998739005612,0.636961844488585,0.531759746513665,0.398194973044786,0.600250459203414,0.427693026648285,0.5549388934941,0.611335229354038,0.62433164919154,0.365232983776813,0.609281594434795,0.600598514242381,0.156870164650471,0.282820960675962,0.61006116414965,0.488633936888762,0.547855671771612,0.511355753676893,0.519287093221984,0.616878530035625,0.606615314753193,0.52568139156559,0.56506666763725,0.474416793749183,0.652579497648851,0.680301126339162,0.696124297523373,0.670028297966274,0.651498317345968,0.649043020482138,0.676960979706164,0.637200040442559,0.698491039062584,0.685692485318341,0.588882370272466,0.60617606952517,0.702410110616403,0.641721884074821,0.71338513219811,0.680550830217455
"142_1",0.141811996372451,0.0899747070428447,0.0494676398611191,0.478854509424136,-0.00139601412637802,0.152154756453642,0.229466461961694,0.0957773531073947,0.131560774212045,0.0850414572952833,0.423349900110227,0.161604039391972,0.127203154228501,0.43521518316707,0.228038046420295,0.244118668403357,0.114912745122211,0.156186302041738,0.178369362306483,0.486462233891132,0.255143041060145,0.394404971813288,0.262113552683086,0.243747902820529,0.385735534447318,0.267076331409668,0.180397825066619,0.344104063758954,0.243942426359073,0.253293934080807,0.32345966976587,0.37957787652866,0.308355578712708,0.204918735899625,0.1594818052995,0.128529911963139,0.14809535472075,0.212846398645761,0.253455743045424,0.245785561272704,0.132872183624415,0.293963707716223,0.170361443770601,0.121675844573113,0.2673194719129,0.153285746394996,0.270985974485396,0.0799788259282019,0.196395155784045,0.335672532977643,0.303334713559213,0.271116714606661,0.118007358618132,0.193085031589235,0.349709341893268,0.273844002107942,0.404381527984733,0.20075968138815,0.832690410375203,0.250184205525531,0.143973308650839,0.276197507468238,0.943201471370924,0.10774856662638,0.23972708264551,0.338017084875177,0.322618362200549,0.113938799584042,0.330925521624644,0.085147313608456,0.0733269598792408,0.0653918238956335,0.136681375911381,0.0958967518584546,0.149151231511495,0.192399379542566,0.186855133993851,0.209937396156034,0.10498505965479,0.123369563449937,0.114106059685921,0.240146683269953,0.187264353588465,0.0967871861715439,0.16111554075913,0.373372970051041,0.233340939056535,0.341037203392202,0.126196913049794,0.423313905206617,0.175458438533203,0.291764012635715,0.0848155965123096,0.0881852071942986,0.257611940124622,0.128895851747163,0.142135585186084,0.156058576604988,0.075602383492563,0.108432404476108,0.0966439745388055,0.133430081867246,0.170586615084406,0.203795068875197,0.163333229352749,0.147177663555509,0.152330478546247,0.18000977928498,0.160836290744578,0.20576808072367,0.15526106112018,0.101320018568135,0.137430902375514,0.217570083539583,0.161458218169942,0.218879157579069,0.16571713879815
"142_12",0.326314641008857,0.116329899018317,0.142688840131892,0.567430855418057,0.152154756453642,-0.00145328777030151,0.244896340783934,0.118945120244637,0.0850648465587116,0.148319506831875,0.158569089186567,0.130918485348594,0.113228183518429,0.201763938951221,0.0906007437730916,0.149421625452193,0.138286112668701,0.127574461400105,0.0994153030653377,0.597299530386417,0.285625919593024,0.493125220959855,0.183190551131328,0.240083671231247,0.357834090227411,0.222752919180714,0.036736434272435,0.103858306674139,0.0766543731554699,0.219763882833601,0.0851845193541236,0.266803988626478,0.437431131701727,0.179902763773866,0.13830841574401,0.181877708356029,0.136998458177573,0.154238927432581,0.212479237209166,0.157237578428544,0.165643269621733,0.131618801986729,0.130902754745453,0.148391688603507,0.102513799342315,0.129271747963446,0.144796973377171,0.150002724737973,0.169348540050152,0.133235489489554,0.110704575687996,0.100931139655601,0.159498703270939,0.0982713233487322,0.102371510957074,0.120484857929899,0.175254778088458,0.185770988654343,0.855385953649987,0.356007174313442,0.0714640465207217,0.106309815892176,0.951873866233761,0.139011615017246,0.20143984192335,0.246602189698704,0.221182666488611,0.0424869020636083,0.113330836584525,0.100336367701481,0.088926253874269,0.113937277206321,0.0239633459490611,0.108411980686499,0.0913806854280028,0.119279612751536,0.109422933256955,0.106436305471046,0.0974323626341522,0.114871058986204,0.209464970317458,0.0451610606594939,0.169856516906769,0.0523381401451801,0.0465483280266792,0.19743503449311,0.181303334129003,0.160784318496262,0.137000627512666,0.454236835338362,0.384990470649138,0.0667850319081593,0.230665417083136,0.152082876160041,0.119620799030824,0.0731402494678903,0.120606679210012,0.126670344231576,0.122580490914668,0.125141664043964,0.194339981852327,0.141177942249259,0.125710450717445,0.170493010309217,0.133167856583672,0.11600423625603,0.18794040894125,0.120970396973812,0.180085466175366,0.135591951132671,0.131445926367568,0.16922114883517,0.0969118662719366,0.201461021182977,0.157482073632443,0.190556361282671,0.138102050669914
"142_13",0.210481763215799,0.245483245796679,0.224070667665459,0.418778326961451,0.229466461961694,0.244896340783934,-0.00243561590175068,0.248200578212997,0.222604978092333,0.254340342257649,0.396806486522226,0.242476939638516,0.248593065484325,0.421518538247934,0.21708188910956,0.167727578141562,0.245365671156202,0.283749473086778,0.274735832030075,0.322114368454243,0.198834253230692,0.377485738349473,0.105291562282207,0.136064657763666,0.364475168918644,0.169355820826727,0.257226765627357,0.373523766166984,0.262862044441543,0.284453711471749,0.267561288060273,0.348626120862939,0.24434069132084,0.195897718983287,0.231489858676189,0.229915157452377,0.288646452937459,0.267163039407624,0.149950492042579,0.299514348713381,0.232933001265459,0.330196610967023,0.265812941016857,0.271856650762971,0.2866380760966,0.242272248666908,0.249500774400264,0.22664675394677,0.31173919092631,0.347291107502074,0.310781748343156,0.325570504388561,0.216420689172925,0.179463419867646,0.367501336887565,0.346642345246034,0.390635910310637,0.219618663339481,0.837478123120242,0.201944505907955,0.216495243925607,0.307867221582125,0.933809096493704,0.183396926611721,0.190860838707948,0.260701916866335,0.286341664074205,0.284699955808307,0.348042664803864,0.276068770568724,0.230960218454188,0.245870926829903,0.260674633587314,0.29673042865502,0.330781271761398,0.25452545069872,0.2681708497229,0.158769858907166,0.312594954392493,0.217851715333253,0.13838111160364,0.224109895826891,0.0969088668090585,0.232530323390333,0.288218156839979,0.372700308840023,0.2455673980002,0.344861265814359,0.26159113661372,0.439545616308596,0.308636256411938,0.325050706350082,0.277567537988259,0.274661641096765,0.331795081506492,0.27131012305613,0.264563320345323,0.288723978550937,0.237206580890551,0.244704020805413,0.240435171922458,0.322916630422874,0.3410978438437,0.358932310679526,0.331799278437041,0.317967028959842,0.3214054713598,0.342857354565263,0.296096867893522,0.367900117825253,0.352146395519307,0.271715227299811,0.274322683625473,0.379761726308413,0.317952363980186,0.379699855296286,0.353428912487461
"142_3",0.236940189275577,0.0610341841840034,0.0715982327301432,0.579659243370797,0.0957773531073947,0.118945120244637,0.248200578212997,0.00200683245018296,0.0756959831397468,0.0792397270065022,0.339465721719005,0.112643270543157,0.112133140674407,0.342497838354243,0.174125918949496,0.210143568062805,0.0827479863425074,0.103737788690642,0.118745115970341,0.593299605786443,0.316716815085818,0.486825216803128,0.203436234399369,0.237340584071316,0.525163138353932,0.228347942786758,0.16315528096881,0.257698969210939,0.256148389703698,0.191504823030272,0.254389393526331,0.296674964152141,0.399833081990138,0.108642720858529,0.113316150441962,0.118180783545793,0.0926652488135509,0.128510932339894,0.204521274539323,0.183354676912178,0.0843128363097827,0.21583483664952,0.116986473323806,0.0956191658430161,0.209872064414647,0.112811915488759,0.260574087605335,0.0911624223843681,0.114402371018818,0.234437951526816,0.211979107619816,0.190120567853923,0.198074460682042,0.219470461494121,0.27157306159267,0.189244786216607,0.317541562217007,0.29227373613378,0.880418576085648,0.329402869491503,0.118919944847123,0.305409820741033,0.95811418018948,0.0884896917365356,0.192242437185957,0.245265627057434,0.224135161969574,0.0922094731736267,0.345009703042747,0.0587438652864076,0.0609718765561273,0.0709342430070241,0.125561658592516,0.0815691556872447,0.0880924004837527,0.13889395305583,0.133651898597033,0.235229063047444,0.0614778014522923,0.106171045442633,0.16074791839916,0.161811702927954,0.197502578263485,0.0677036416596759,0.112712564859848,0.353193752418891,0.30022971853946,0.308789643287793,0.0856736319506755,0.547479366419793,0.308434398084855,0.240314211819835,0.140285973089722,0.101081889844078,0.306943534753209,0.158432481408865,0.0820919203934338,0.0914150938195515,0.0758815930033532,0.0629815901993878,0.139927914733013,0.0677403567451709,0.0791474893683506,0.112740016975338,0.0705698501047121,0.0618470286953978,0.091151750344481,0.092102892817358,0.0727359334850761,0.0959899608868726,0.0793619665586627,0.0631863756122357,0.0919560313290364,0.117567804861837,0.0820221418550593,0.110131982409737,0.0815352830946481
"142_4",0.269002659774075,0.0607434992102629,0.107386094597725,0.546286285987361,0.131560774212045,0.0850648465587116,0.222604978092333,0.0756959831397468,-0.002415495641376,0.083737408961329,0.273923642407863,0.0850482182076728,0.0835182486977881,0.312459193226601,0.134739288544313,0.139051374230301,0.0780095910251148,0.0865769395163378,0.12100839482462,0.587429977867264,0.257238191958774,0.467455044098358,0.132860502512187,0.179564235933217,0.458874751728096,0.157770788668468,0.122895292491464,0.21370734860454,0.179014823324605,0.131583865306609,0.189578076997558,0.250097434349629,0.420962160787638,0.11166226648051,0.0830440249295914,0.133183680298809,0.100977621279788,0.102706327296474,0.125966452778139,0.141007443040877,0.100152390642306,0.16136236993717,0.068719325803442,0.088348508732649,0.142451923561948,0.0951599066742259,0.189336270101172,0.0846333672158717,0.124805809847944,0.188673244352374,0.161465729912677,0.173823042483485,0.184369446027067,0.166444881728495,0.217384686047535,0.173782557518718,0.278045275263039,0.24589683137182,0.872387420917671,0.324257732335341,0.0952234729239751,0.255417346364652,0.957723859983621,0.0539856290663532,0.115222741272589,0.163194272323068,0.160969875093831,0.0747775897026726,0.29096220498298,0.0852922423894109,0.0681654236122029,0.0963397063088791,0.112331185778635,0.0918302728513802,0.0898596778191543,0.111763965269275,0.0911483573991643,0.172424570283415,0.0865511468685174,0.108390563361056,0.1921066174525,0.114154756778372,0.133768246331534,0.0438180710963267,0.0901583406783408,0.327309434311666,0.275015157099068,0.296217386007634,0.112207480433488,0.510303172023847,0.319281202242296,0.196858875845205,0.185470732546714,0.146337690385556,0.266244099291183,0.156919529364879,0.121413184314319,0.107565790604853,0.101989001127711,0.0774653711346769,0.16098307837271,0.102637049279574,0.0975213574194118,0.138195598297584,0.101092625185118,0.0915442941359992,0.143158228266219,0.105895128893037,0.12671308531697,0.120909204686712,0.110497565089493,0.115925891304562,0.0974344824823798,0.167557697093273,0.118672503047184,0.156332067724776,0.115323152010263
"142_5",0.241305557481727,0.0715836298951005,0.0864357678186249,0.573904624084847,0.0850414572952833,0.148319506831875,0.254340342257649,0.0792397270065022,0.083737408961329,-0.00215656381571971,0.373421466267152,0.126159075540851,0.100393186446274,0.373737691119588,0.192343611086284,0.215560192918465,0.101115887894225,0.10325153894511,0.125535203151563,0.567556633817031,0.276798023415128,0.45859977516548,0.20313611443761,0.224089026867787,0.498409257450844,0.222821815729468,0.180118880071569,0.29738713855605,0.243547166859932,0.168236022292319,0.293644182930009,0.3047116889459,0.378581096686421,0.15643343724074,0.129845049709618,0.126428252292631,0.127138285757837,0.167880294673202,0.184838361563947,0.192353581047207,0.115249664020755,0.228010293093674,0.112362049733172,0.101470790641656,0.215269715380655,0.135002532168236,0.239637584863358,0.0988500884460755,0.152495635417895,0.278763711264978,0.245801958631242,0.221528279819739,0.190328635120974,0.227930720674787,0.299436994136556,0.214037342859603,0.350002298357621,0.29393238744939,0.877360552924845,0.303324304135873,0.136218070918459,0.319298047285183,0.957153218147799,0.0803158494843212,0.211277293461002,0.268866994983076,0.237535535620735,0.104544944520852,0.365238175113927,0.0764747768503136,0.064733919858535,0.0803143478409212,0.157877468402714,0.0802827575429568,0.114514748977076,0.137533531464194,0.155371628054086,0.234445547215669,0.0921033194417407,0.120826729743651,0.194968155964491,0.197712326277677,0.186176918966432,0.090842304216084,0.138062630311727,0.363757125752523,0.304530099448053,0.330467486089618,0.0706400210091638,0.524645701991195,0.299402403388654,0.282339200192043,0.150653662654514,0.122655781926991,0.307551047305329,0.161690386439884,0.118889986076459,0.132077938898088,0.109704975783481,0.105277861421535,0.152230086408508,0.0966843576151521,0.117963106175315,0.155715944882547,0.117486038982543,0.100825834835407,0.146408601020903,0.116349443949928,0.143807432736841,0.144751806197404,0.100899623696623,0.102466642199488,0.119449555083239,0.178902899057031,0.131063965441889,0.172447718952401,0.125010797486675
