"site2","100_3","100_5","100_6","100_9","142_1","142_12","142_13","142_3","142_4","142_5","142_6","147_1","147_11","147_2","147_3","147_4","147_5","147_7","147_8","152_1","152_2","152_3","152_4","152_6","152_7","152_8","202_1","202_13","202_2","235_1","235_3","235_4","235_5","245_11","245_2","245_4","245_5","245_6","245_7","245_8","245_9","269_1","269_10","269_11","269_2","269_4","269_6","269_7","269_8","274_1","274_2","274_3","274_4","274_5","274_6","274_7","274_8","315_1","315_11","315_2","315_3","315_4","315_5","342_1","342_10","342_11","342_12","342_2","342_3","342_4","342_5","342_6","342_7","342_8","342_9","358_4","358_5","369_1","369_10","369_3","369_4","369_5","369_6","369_7","369_8","423_1","423_5","423_6","423_7","423_9","44_1","44_2","44_4","44_5","44_6","443_1","443_2","443_4","547_1","547_2","547_5","549_1","549_10","549_11","549_12","549_2","549_3","549_4","549_5","549_6","549_7","549_8","549_9","Extra_1","Extra_2","Extra_3","Extra_4"
"100_3",2.22044604925031e-16,0.56407393020567,0.523868602589136,0.661072703671626,0.55654882616917,0.526091716502949,0.664303184670993,0.482071381482561,0.527567077557997,0.596708993590065,0.611876853801895,0.620885915686456,0.584294820832252,0.61235067102909,0.626228567201325,0.631840129410159,0.519233494989352,0.566505006970579,0.603345986150811,0.745617493316534,0.705963041405627,0.660140063275237,0.655080188195689,0.741710304844657,0.729600976494339,0.681045703442088,0.625141987914123,0.568484493145761,0.675749674019503,0.533036668562408,0.637444280232347,0.614672097595955,0.777631311510715,0.584841250119148,0.513343411668606,0.673756579077559,0.553401663896255,0.585090756764057,0.674613551076032,0.627382196658324,0.543472765692982,0.622628074487408,0.564348443141348,0.548362322802048,0.57490219054112,0.52785509727023,0.64631106920598,0.630167604975816,0.503020353669381,0.629736945135352,0.579254837683351,0.607625452339442,0.535691311179289,0.625926509333753,0.607242803035204,0.572915683268032,0.5255404481587,0.54475104728819,0.830946500731396,0.749649860032164,0.536321095114229,0.607587399542379,0.785911144140575,0.543787255009913,0.646539172761171,0.680695716769438,0.728935835733237,0.58295719257877,0.618033674496258,0.532576634649443,0.525933108776865,0.527500331602751,0.571345564547358,0.590054187654516,0.506021197314682,0.493062292642851,0.572054144522527,0.54682066163554,0.607866570332466,0.533647387367014,0.577464479746137,0.603666470749299,0.6143509155479,0.510248958373306,0.535449401095963,0.55668445213487,0.625842809321987,0.607609859951912,0.589812681821662,0.657090655031091,0.599781701255255,0.568709011461212,0.519443884087918,0.575331357953723,0.661043789234801,0.564114956515532,0.579244030003261,0.652611158747763,0.517860665835667,0.621581194504662,0.512477845279772,0.483708189659221,0.492992351674244,0.54981005077967,0.542999371741189,0.527491358906873,0.473187995796529,0.543063965647469,0.528938203237478,0.523719746670098,0.491825423754463,0.570929280471685,0.53141132538332,0.503706275985679,0.499898336895098,0.487270860854336,0.579219982661275
"100_5",0.56407393020567,-2.22044604925031e-16,0.437662119243291,0.59548779926686,0.406415651510139,0.497301543526416,0.573312737553634,0.50206325433639,0.390213752351709,0.425641803026309,0.478030717699569,0.462264187883958,0.490980806555013,0.494879271725319,0.442498692129606,0.547520495848384,0.498303848445953,0.502688582888388,0.515426092350448,0.709493482820856,0.628027288402003,0.649942677566057,0.539145990920824,0.666467254367899,0.69326979638525,0.594510420551372,0.549447608264282,0.52812012175242,0.499071945048477,0.502904061716891,0.474355568365545,0.487664843642424,0.757115563775434,0.491693275960494,0.425599983220118,0.520728992060921,0.50534740191708,0.505958532684044,0.494632270639012,0.485042099786464,0.471707668910637,0.50444376897126,0.521997186463257,0.449402086597872,0.46374261831555,0.465995682192778,0.530833381033784,0.440721831219202,0.437993110317084,0.468002818446175,0.445096706299678,0.539786460964539,0.464572708117106,0.529396783106636,0.531731387148496,0.426972156653236,0.425344115123282,0.45043735095945,0.811545095119973,0.682310623290971,0.470871362008241,0.539760989374421,0.820995198309799,0.528300280164518,0.559349367875286,0.544084137081689,0.4903007670928,0.539663307947518,0.527274100084241,0.492007865737263,0.46874809747645,0.519381845395043,0.454376636633917,0.491310037090189,0.445327283270371,0.429536491260389,0.455386739666429,0.431700323091174,0.537151555644686,0.545857447354521,0.526119733578087,0.460443629681862,0.486877134711424,0.460276772745901,0.524051380158078,0.649428069344116,0.599060599794741,0.497089034499047,0.484981755500767,0.538513183193354,0.554743491150407,0.484033931736743,0.526549249266719,0.55685664399898,0.639451644263812,0.509067278533277,0.462011686999221,0.565521939681691,0.484341448691449,0.50698662276694,0.493341701571427,0.582668065708857,0.609945956336424,0.582037371018466,0.584140314792265,0.607450202821104,0.534697643699499,0.580675538663019,0.561320711768271,0.565094114656592,0.560964928832803,0.581283948892732,0.563306176844886,0.59695552368123,0.541919685397693,0.55653356746052,0.544371418985391
"100_6",0.523868602589136,0.437662119243291,0,0.558219166242405,0.494141171173717,0.463612955331982,0.635678220956299,0.529269268298464,0.413677336590326,0.53119288234669,0.514420196343095,0.465624980861933,0.5772056513809,0.536110643198924,0.548414514313916,0.592398804927178,0.515197947490973,0.546594506464809,0.595495419884856,0.694054156363418,0.681090455606267,0.647651056813754,0.594106853399031,0.645884048704717,0.685512829486812,0.600588933346272,0.521576943027172,0.574278220963507,0.580450866069881,0.529115410422791,0.572710850976284,0.523003353072096,0.705236977806188,0.552476549450839,0.445674777285436,0.579990638641426,0.529868369318545,0.53097744390596,0.599141259518956,0.516666304389379,0.571012899047969,0.539142848598253,0.521129306933997,0.46993188518711,0.504346410651885,0.516576551410207,0.544500347344633,0.566415395780245,0.515994421557072,0.514360680223514,0.501135089450851,0.505777027889825,0.537100660418411,0.610607350779341,0.54268108487018,0.467371917842647,0.544478994808709,0.480755464182931,0.791343073558562,0.705645937612593,0.501985079342752,0.525699400167396,0.764679215661477,0.489260422330273,0.587380194965924,0.59340328840368,0.564927782618939,0.53788096312962,0.533142213937492,0.510030126938989,0.518307936214646,0.538315532733154,0.554885109532491,0.44964062342752,0.511947753896095,0.507090435418884,0.56287508920118,0.496394143140479,0.600798294790518,0.519864206595512,0.517233706990157,0.55028993108901,0.538845388334769,0.534924725041616,0.508438563071173,0.599588440222334,0.54295775414792,0.522054398404833,0.477807987343587,0.542480052334225,0.51451450819454,0.504189075888393,0.476571343840522,0.565448248758627,0.661759020474708,0.583776852140311,0.530197618839729,0.53721902819896,0.479252183232566,0.510760483269894,0.490084802525016,0.590900557487649,0.571218636794599,0.576500892522716,0.511082184280794,0.5732571230587,0.549509688097591,0.573415195401945,0.554809890103467,0.60771965125703,0.512913962739693,0.528854176018911,0.575483923929781,0.567389012409988,0.523779998006873,0.554633771266312,0.577680186438775
"100_9",0.661072703671626,0.59548779926686,0.558219166242405,-3.33066907387547e-16,0.55292614932128,0.560881130780083,0.417123674977618,0.652305066293052,0.503736894559176,0.631462767440676,0.477008954660125,0.614472276513168,0.663401863954006,0.54266709209301,0.488705427422568,0.438793703898947,0.62667059340262,0.652705197963702,0.681936843169554,0.436417715381412,0.571623651126969,0.602229542683442,0.441190032007006,0.466294847337895,0.381956111501015,0.44028884456397,0.62476218700862,0.605816476181176,0.532321353606346,0.550197842086109,0.569036597422005,0.451293823184081,0.526357978610967,0.556836957059695,0.568138017422274,0.68028480597578,0.684592499522434,0.657630353257883,0.595756135194557,0.512850878360206,0.674087957574592,0.607615616436004,0.71742441273391,0.631823615926184,0.473115676164911,0.601127085232918,0.462419297149223,0.629870733054231,0.530657876013895,0.50093879715371,0.438414445588202,0.620903727524149,0.608548850020834,0.545641559124992,0.618071019476629,0.548864354598974,0.541990500783412,0.476211292877866,0.649851532911942,0.587674345498311,0.587554778901714,0.531148629318038,0.480915578557445,0.594507378228854,0.567647398238464,0.500058399974727,0.590742173208817,0.622619392231885,0.42437761836503,0.640972326789281,0.626093816993931,0.650666434680961,0.658651581386594,0.671836919955753,0.548754669939892,0.579956757882098,0.561683799367412,0.465195962909004,0.610774677980816,0.596372855195465,0.533032621528437,0.515045563097109,0.415970131673227,0.690425743318401,0.672251738465873,0.620140711474777,0.471340492186776,0.534125598987625,0.647909887403266,0.453376871274058,0.561021996316001,0.49941665925277,0.69040665989975,0.68992677669116,0.629017042775113,0.659014032547645,0.647739185499545,0.616700816783796,0.62139398610184,0.653283293540923,0.591624301422451,0.723748228104404,0.740157617060531,0.747477908127327,0.697638769112966,0.729343172466968,0.70521115037491,0.677808067561489,0.714086899070082,0.72679602230522,0.717525069487729,0.68814830069334,0.7200128007144,0.695992164045199,0.703108229400389,0.718818611464413,0.686174263590541
"142_1",0.55654882616917,0.406415651510139,0.494141171173717,0.55292614932128,-2.22044604925031e-16,0.447540493172947,0.627971644053549,0.463369747492369,0.433901019175066,0.41298641545975,0.496220834279374,0.527453513647318,0.410933723410886,0.496929571813121,0.494230936525319,0.578381935542147,0.498050950968257,0.487586773968192,0.425277749374948,0.690125631026768,0.683501520953557,0.569164774161456,0.594599336764435,0.664159854236034,0.647557218164778,0.614727049069483,0.449944216964115,0.429836163233078,0.524174194401808,0.494821311779396,0.507339481784706,0.554930687964033,0.680959079707052,0.54824905930675,0.445226667090761,0.506171287653762,0.52133266999742,0.503285921714115,0.564306717282163,0.58002728241635,0.590799176027386,0.438367819502661,0.522113420193599,0.479392869971024,0.417814387558101,0.44870342321776,0.553944502831995,0.411189773097447,0.438938109879655,0.537034400730335,0.468823114308281,0.527188860513891,0.467086313759185,0.457443856112951,0.444752695110026,0.41872424591686,0.427624844571473,0.51714448115379,0.738890024329948,0.709881394257915,0.472294913508306,0.552735094727368,0.742724039117146,0.463385931025785,0.556695814236781,0.590184537300329,0.513916612439646,0.463688899606203,0.458220891847836,0.462010420862836,0.449850222189013,0.531415928812308,0.427266658496182,0.510389191798837,0.332861642292149,0.463127986113037,0.480163369504152,0.429510254314342,0.499962396399726,0.50263162246165,0.500500684608371,0.488481092214501,0.502051388910855,0.446459504931956,0.425797522164534,0.562974502089529,0.516896443954945,0.498024380137997,0.46628551169912,0.530005031155635,0.487285756783282,0.436114936258341,0.486230024399624,0.520829470017761,0.498414783489579,0.469225341315921,0.429287789563591,0.472033510917099,0.434498334439778,0.434588544265802,0.49910899035348,0.55283730978334,0.554324194688068,0.568971675070669,0.553849712796366,0.541402659473756,0.512068685489367,0.576754115839231,0.574495906126286,0.574268139029243,0.556363518388248,0.568535431433917,0.498429177725391,0.582680062070689,0.523992660751977,0.555494873824383,0.496388508232404
"142_12",0.526091716502948,0.497301543526416,0.463612955331982,0.560881130780083,0.447540493172947,-2.22044604925031e-16,0.582222188495339,0.512007533219158,0.402252026390653,0.570959557292429,0.429112301855468,0.534860603499937,0.555080918500526,0.448074624900729,0.470125273235948,0.571590292136346,0.547214758316163,0.505195594857635,0.513526330413498,0.697261090342584,0.672602693469921,0.586849542621278,0.613763636240773,0.659904722888281,0.644109343162854,0.589144364005084,0.480116537985963,0.477875808241417,0.585323061607774,0.531350990272536,0.510859380399316,0.548289430554343,0.751370888821238,0.624827448824327,0.515515651138897,0.605143513683577,0.565338362962329,0.53965615104514,0.632070753173333,0.528780854846097,0.558090388230097,0.537245430200929,0.553085106098871,0.520629658899982,0.403927278428072,0.510661668799203,0.568642791812773,0.516265672928544,0.472517077071475,0.497684025000028,0.47125964589336,0.459854900197466,0.519060264919273,0.494220171901634,0.450621813580954,0.553271596143933,0.475850656259536,0.510231422035655,0.799924651293608,0.714188948665953,0.489116620212729,0.623813476270698,0.749094738147723,0.489449848441608,0.586398020078705,0.530123368581213,0.521508657297089,0.476329192608321,0.538927782108083,0.481050531218703,0.455949404279484,0.577482660329247,0.526399198187871,0.49558942439642,0.460482737206745,0.465252693434141,0.508856700217215,0.466925032446004,0.448559642774871,0.490199589732341,0.441630141927026,0.448704776469251,0.444696606056973,0.476468560671621,0.404067396568822,0.624095591112284,0.519508689980505,0.507038404279571,0.524709735339402,0.606943273133965,0.54748671922339,0.477530796640752,0.596513870859369,0.592453018956512,0.628102111970742,0.502384262491398,0.486845759993067,0.522380097271937,0.438360119348591,0.519014889743316,0.48432601574455,0.561896413267452,0.568871326290454,0.545560012027568,0.549454846203141,0.473286629270256,0.509633952540935,0.493635076860348,0.492131290975541,0.550640082491232,0.565496175297692,0.580435438399332,0.608165420682758,0.615144557440771,0.532557440870413,0.549636463678752,0.585383920652009
"142_13",0.664303184670993,0.573312737553634,0.6356782209563,0.417123674977618,0.627971644053549,0.582222188495339,2.22044604925031e-16,0.587219772219761,0.538506891842071,0.61369867770389,0.550477131226494,0.602796011656575,0.705122190341971,0.564003442599845,0.462983614543777,0.439976693992513,0.647095832874321,0.684880450217433,0.635125707040196,0.484914390941395,0.458461913699753,0.547471808117845,0.426758402092118,0.472153600055399,0.46298624392758,0.429101911550851,0.658315933149904,0.660771824377313,0.531996310462112,0.570740577999475,0.539271902637703,0.417051842722573,0.589124685269667,0.519015319826439,0.605234150315469,0.658247934958763,0.636708123387518,0.680935654863812,0.497692632879551,0.521689211434715,0.658387658879151,0.605614026151091,0.725232070893251,0.709285684716289,0.56651576508445,0.609673771722255,0.427786547149868,0.641173818047579,0.610150634617266,0.483931942047112,0.505212748114269,0.648335526768001,0.611240373487843,0.533416793307806,0.614254371279498,0.584196993227891,0.534537110221413,0.54816330293657,0.72565103973744,0.526518260877968,0.677721753998226,0.568671279680695,0.694829491289094,0.621374058150494,0.523608300074328,0.450838815519551,0.50081008616791,0.640506440108033,0.546281798162529,0.624123142334619,0.613891008420017,0.713741810518073,0.641127416055187,0.682749163738151,0.624002747680981,0.530446843213952,0.464811462429953,0.515132588021542,0.667148298044309,0.593636406805049,0.546327329615651,0.455195963049582,0.434783339909499,0.576796897524331,0.678222327356084,0.77064645921632,0.618677051272215,0.553174376817191,0.622519497073278,0.596999991335532,0.588535663205678,0.594318539219927,0.748276794004342,0.722840095431236,0.700195607382874,0.630643121440369,0.606878939337116,0.657371949016029,0.649986383168104,0.576809003928672,0.595047247041344,0.692277827963906,0.712290294008155,0.71066239567181,0.69504398250789,0.707283138488364,0.670810186057655,0.711100621838669,0.708163596989063,0.726531054143942,0.634592060196711,0.656704227564408,0.708180944721638,0.726226909644351,0.70382894073457,0.653586923635784,0.694668875158336
"142_3",0.48207138148256,0.50206325433639,0.529269268298464,0.652305066293052,0.463369747492369,0.512007533219157,0.587219772219761,-4.44089209850063e-16,0.469592723902748,0.519985240443661,0.541159733443159,0.56961989157403,0.519184981531086,0.554176644986595,0.556939964192285,0.641829889754784,0.538575137690543,0.509626435407612,0.544451294499642,0.729205659516194,0.723016356222433,0.625291651570377,0.585441891815884,0.703192304333653,0.679878637885681,0.636698183220705,0.582119777112495,0.537348425103594,0.570485599848817,0.454557302898516,0.623601887744551,0.581361417770587,0.734591734673834,0.560377577755298,0.499695827283349,0.547970862346893,0.526920464918936,0.498570010514624,0.607830915765694,0.570222856092484,0.493067610068106,0.543804652288188,0.563843451191567,0.517898855185874,0.537565305821337,0.474134395002159,0.63419255201994,0.570176546721347,0.447804834910904,0.511734682267428,0.51505102742407,0.553078866225015,0.508526649206394,0.580582228430949,0.554548860982289,0.438842454953661,0.558642708982611,0.515808702609438,0.798654791206745,0.724024387430278,0.546051388477145,0.589729840961324,0.766358760255896,0.519598369555379,0.594895251414781,0.654022718727248,0.630096478515678,0.466790064414389,0.532040889605186,0.480894694662964,0.433305462023073,0.456400050598914,0.477108619476187,0.532132687224107,0.444027383089529,0.455743188548769,0.549000074455722,0.482975458897334,0.46063789166442,0.520434758979808,0.491800270455286,0.533825944811284,0.566222294365701,0.426505802689832,0.524973826393525,0.616206682805619,0.624901432499871,0.590009442351739,0.491470431235196,0.623900732958311,0.525758886037768,0.483888649887181,0.560067802972205,0.515387761532775,0.59863936955062,0.530158462395265,0.475440899439765,0.483527431532332,0.473361187499258,0.517020594531816,0.507645486210794,0.437308516528298,0.406538575190303,0.513290200785728,0.452508564873003,0.424408378779361,0.428437254500989,0.505113071602765,0.491187092412671,0.470787876023908,0.440909668139683,0.465195351623278,0.50120132876172,0.467149321287182,0.461333927496675,0.405265077993571,0.443177208811707
"142_4",0.527567077557997,0.390213752351709,0.413677336590326,0.503736894559176,0.433901019175066,0.402252026390653,0.538506891842071,0.469592723902749,0,0.438904844520629,0.351961386811638,0.434884499628677,0.455196116513451,0.458562402007905,0.460198509148134,0.518134739410513,0.446451045214498,0.422739410875165,0.468247422994808,0.643368389099934,0.582141977016893,0.573940803185412,0.497325145239609,0.559064823654696,0.55050070741472,0.485009057894563,0.494003356364187,0.480580430914864,0.481167530694471,0.393003916969244,0.481272357233514,0.445899905301213,0.668004747093099,0.503009314645289,0.400346631143488,0.475251960567195,0.497765548223913,0.437638898388136,0.483730766015238,0.446031854600866,0.439913261294148,0.430211175246229,0.414018501535549,0.481362331533345,0.413392923800501,0.443058815097077,0.467691442824308,0.490428250077931,0.404630111515125,0.469773386940014,0.455316376103741,0.466117486154586,0.43619952857454,0.487576463010637,0.414883163253008,0.357783045022602,0.402813195577674,0.429926402925355,0.720560891555823,0.660740550240668,0.448778904375007,0.460370965419665,0.774531533684514,0.458790652021851,0.479400061164296,0.481600831817898,0.470466120067034,0.404979043206143,0.510887785537017,0.423548373559168,0.361332226940455,0.518623242821574,0.42396926432829,0.427916516757028,0.414254650395872,0.385672473064791,0.428410101413784,0.354360151135076,0.486094512706572,0.464106911570768,0.487098277776413,0.480748664204649,0.393400943264233,0.367724639712013,0.407855760238815,0.583071026777752,0.494524568147318,0.513052750312273,0.413787145663447,0.532540321758078,0.447678121326704,0.441634286024817,0.520348260318587,0.521096502876589,0.541699240817292,0.459460809527788,0.48989363336623,0.487325126716609,0.435216329439859,0.490067984981251,0.437547572977013,0.524364874194567,0.519055893987253,0.529803614223516,0.512874155696277,0.526663577950367,0.492588892867168,0.558138455912813,0.504428651319184,0.593763699757524,0.517163799279959,0.485389483077623,0.489160070518503,0.555740641160688,0.512114561456535,0.547500270285271,0.565233474218012
"142_5",0.596708993590065,0.425641803026309,0.53119288234669,0.631462767440676,0.41298641545975,0.570959557292429,0.61369867770389,0.519985240443662,0.43890484452063,0,0.513212061630089,0.453158532741823,0.408738040033781,0.520202006272092,0.465115103423921,0.61920410083292,0.453263156287877,0.438888898679195,0.415145179516419,0.764086913065983,0.66657952119759,0.582621329847384,0.622105129157724,0.706059107907729,0.670039237036141,0.61532103647611,0.512425569733165,0.495319986905579,0.503902489597964,0.441608329423316,0.560486021854407,0.569974785332916,0.717928271070886,0.492086595679406,0.463135554117797,0.510877321039682,0.499307335046536,0.478490869538368,0.595553362587686,0.504558564205223,0.588817532358862,0.465852948666414,0.494263659623312,0.460333016915722,0.553197963533174,0.511613351883985,0.525027314864975,0.514557911267438,0.477832280287144,0.547611252727892,0.456048151524408,0.495532734700296,0.525960202772042,0.565952004415493,0.481473832480993,0.418087506394151,0.512319147026187,0.593649404136775,0.849308025175234,0.67960307007664,0.526296472603001,0.533869580885828,0.79481263076387,0.453645472974638,0.57891005310681,0.679742542213789,0.553531905278764,0.498654725598971,0.570131008734624,0.441449242237897,0.410014507203349,0.466762107897793,0.495311381086466,0.439403119311647,0.465448132296112,0.383885987633602,0.458212585013886,0.52610743121036,0.605477238000677,0.523151017011189,0.568380343502489,0.528110300415328,0.592364228399428,0.480744123948676,0.535009300310137,0.657359498803003,0.662504377839331,0.529211612538981,0.353650199891758,0.564369501566392,0.585401415249172,0.509772264908008,0.555507960619712,0.510581072411593,0.524302008057862,0.493585260746545,0.464594451742748,0.536718030358032,0.482102974749096,0.484861658485703,0.471171770906927,0.48554876115076,0.543430360601972,0.567190293292639,0.573764136958316,0.565368939759849,0.567193680949691,0.606110009079042,0.602168475162928,0.583762872882341,0.51582533704826,0.543459520167598,0.515598602166611,0.602122385268774,0.548741700420254,0.536388946127162,0.544032208320923
