"site2","100_3","100_5","100_6","100_9","142_1","142_12","142_13","142_3","142_4","142_5","142_6","147_1","147_11","147_2","147_3","147_4","147_5","147_7","147_8","152_1","152_2","152_3","152_4","152_6","152_7","152_8","202_1","202_13","202_2","235_1","235_3","235_4","235_5","245_11","245_2","245_4","245_5","245_6","245_7","245_8","245_9","269_1","269_10","269_11","269_2","269_4","269_6","269_7","269_8","274_1","274_2","274_3","274_4","274_5","274_6","274_7","274_8","315_1","315_11","315_2","315_3","315_4","315_5","342_1","342_10","342_11","342_12","342_2","342_3","342_4","342_5","342_6","342_7","342_8","342_9","358_4","358_5","369_1","369_10","369_3","369_4","369_5","369_6","369_7","369_8","423_1","423_5","423_6","423_7","423_9","44_1","44_2","44_4","44_5","44_6","443_1","443_2","443_4","547_1","547_2","547_5","549_1","549_10","549_11","549_12","549_2","549_3","549_4","549_5","549_6","549_7","549_8","549_9","Extra_1","Extra_2","Extra_3","Extra_4"
"100_3",4.44089209850063e-16,0.73308957952468,0.610278372591007,0.898832684824903,0.60730593607306,0.827324478178368,0.79765708200213,0.620889748549322,0.75,0.757352941176471,0.95619881927252,0.720779220779221,0.795121951219512,0.959992306212734,0.914893617021276,0.947169811320754,0.544871794871795,0.685333333333333,0.818181818181818,0.900497512437811,0.960264900662251,0.957317073170732,0.88099173553719,0.908235294117647,0.974554707379135,0.950765136393879,0.854130052724077,0.953882352941176,0.982031789910159,0.890518084066471,0.918822479928635,0.986653956148713,1,0.675550405561993,0.66824644549763,0.824175824175824,0.713939393939394,0.783382789317508,0.934615384615384,0.892086330935252,0.479885057471265,0.963314358001265,0.681940700808626,0.499462943071966,0.935446685878963,0.780189959294437,0.969932607568688,0.465313028764806,0.685508735868448,0.949412827461608,0.928613920285544,0.899721448467967,0.808823529411765,0.889695210449927,0.964147286821706,0.858622790981109,0.975068561455996,0.882575757575757,1,1,0.67530695770805,0.946119823080016,0.976470588235294,0.690647482014388,0.937694704049844,0.964545454545454,0.963610916724982,0.730875576036866,0.9875,0.630718954248366,0.638766519823789,0.619217081850533,0.862288135593221,0.789046653144016,0.775019394879751,0.845644983461962,0.835051546391753,0.89951690821256,0.643835616438356,0.849427168576105,0.666666666666667,0.837209302325582,0.858333333333333,0.648241206030151,0.737486095661847,0.991899852724595,0.893408134642356,0.975717439293599,0.730134932533733,0.916666666666667,0.512367491166078,0.9375,0.501945525291829,0.646525679758308,0.958915365653246,0.780246913580247,0.711864406779661,0.728813559322034,0.627408993576018,0.696750902527076,0.733031674208144,0.537848605577689,0.651724137931034,0.588607594936709,0.66883963494133,0.69704433497537,0.697050938337802,0.771851851851852,0.625,0.772899318697956,0.726479146459748,0.596460176991151,0.721311475409836,0.763397371081901,0.610027855153203,0.639921722113503,0.696381288614298
"100_5",0.73308957952468,-4.44089209850063e-16,0.413489736070382,0.834745762711865,0.647779479326186,0.656422379826635,0.927209705372617,0.475409836065574,0.396424815983176,0.562582345191041,0.928649835345774,0.4632972322503,0.624096385542169,0.912449205762837,0.795036028823059,0.818039215686275,0.477949940405245,0.672538860103627,0.731778425655977,0.954619124797407,0.925509486999297,0.848987108655617,0.779649122807017,0.799061032863849,0.972027972027972,0.821885913853317,0.832963784183296,0.862393162393162,0.879663056558364,0.82875605815832,0.904761904761905,0.941106484235574,1,0.719851576994434,0.55996222851747,0.71830985915493,0.576923076923078,0.637795275590552,0.776892430278884,0.710903426791277,0.587266739846322,0.789532293986637,0.565308254963427,0.617801047120419,0.769230769230769,0.592436974789916,0.896455223880597,0.568238213399503,0.563973063973064,0.740634005763689,0.74789029535865,0.771047849788007,0.759229534510434,0.776548672566372,0.87011847301448,0.725215517241379,0.907714150496923,0.808882907133243,0.97,0.989958158995816,0.732067510548523,0.954848260547742,1,0.346303501945525,0.794567062818336,0.855072463768116,0.784671532846716,0.563076923076923,0.935755258126195,0.402660217654171,0.426008968609865,0.577863577863577,0.716997411561691,0.44879267277269,0.507978723404255,0.748663101604278,0.691220988900101,0.8496,0.501374885426215,0.675544794188862,0.675265553869499,0.696969696969697,0.72620320855615,0.482758620689655,0.692998204667864,0.951478661236055,0.851293103448276,0.948945037770252,0.748299319727892,0.88021778584392,0.650602409638554,0.832679738562092,0.533607681755831,0.562143671607754,0.913174782936958,0.726829268292683,0.6388088376561,0.65173116089613,0.530791788856304,0.456436931079323,0.506849315068493,0.49630844954881,0.493818181818181,0.588993981083406,0.441955193482687,0.559883154819864,0.502601456815816,0.493929712460064,0.659117997616209,0.526041666666667,0.487961476725522,0.661538461538462,0.565949485500468,0.614617940199336,0.622722400857449,0.587712206952305,0.482195845697329
"100_6",0.610278372591007,0.413489736070382,0,0.892857142857143,0.567190226876091,0.59125315391085,0.895716945996275,0.4079754601227,0.487944890929966,0.628865979381443,0.929446713702191,0.696404793608522,0.754666666666667,0.930633670791151,0.88366124893071,0.954811715481171,0.570487483530962,0.733333333333334,0.801896733403583,0.955307262569833,0.959791511541325,0.926565874730022,0.915241635687732,0.939086294416244,0.939196525515743,0.931623931623931,0.775333857030636,0.892035398230089,0.940581542351453,0.880829015544042,0.904080774084981,0.968312004875076,0.994565217391304,0.675350701402806,0.740551583248213,0.803108808290155,0.620833333333333,0.735475896168109,0.926808510638298,0.84655737704918,0.670276774969916,0.898601398601399,0.735461801596351,0.649155722326454,0.87379679144385,0.729357798165137,0.942829457364341,0.666666666666667,0.62274368231047,0.864623243933589,0.868942731277533,0.839592616168045,0.797421731123388,0.883495145631068,0.884492951341519,0.795045045045045,0.939700916546069,0.809954751131222,0.96875,0.996412556053812,0.716589861751152,0.917620137299771,0.973770491803279,0.502170767004341,0.908925318761384,0.964882226980728,0.928388746803069,0.473770491803279,0.915581854043392,0.419009370816599,0.480475382003396,0.440459110473457,0.66079703429101,0.370205173951829,0.442415730337079,0.836852207293666,0.760702524698134,0.852991452991453,0.434223541048467,0.621983914209115,0.561312607944732,0.74906646751307,0.857309941520468,0.532786885245901,0.638297872340425,0.964792527393569,0.867924528301887,0.94732641660016,0.755610972568578,0.851380042462845,0.626794258373206,0.856433408577878,0.553158705701079,0.590966122961104,0.908135461268976,0.767195767195767,0.716961498439126,0.720620842572061,0.521594684385382,0.497822931785196,0.570190641247833,0.466198419666374,0.405405405405406,0.584487534626038,0.35920177383592,0.408658922914466,0.577752553916004,0.465319865319865,0.596837944664032,0.417582417582418,0.363636363636364,0.608571428571428,0.603640040444894,0.574733096085409,0.563892145369285,0.543647363872082,0.43217665615142
"100_9",0.898832684824903,0.834745762711865,0.892857142857143,0,0.895316804407713,0.77732379979571,0.784722222222222,0.882352941176471,0.748865355521937,0.927505330490405,0.846599690880989,0.859519408502772,0.9,0.977751756440281,0.887382690302398,0.809137055837563,0.861566484517304,0.955555555555555,0.916102841677943,0.559633027522935,0.8693733451015,0.810276679841897,0.763876651982379,0.612903225806452,0.701828410689171,0.80672268907563,0.747883349012229,0.845853658536586,0.759475218658892,0.862869198312236,0.794185509921551,0.916666666666667,0.847908745247149,0.769035532994924,0.729518855656697,0.93950177935943,0.928,0.846410684474123,0.767875647668394,0.910266159695817,0.867954911433172,0.929614873837981,0.886056971514243,0.932242990654206,0.907228915662651,0.930513595166163,0.936353829557713,0.856589147286822,0.928730512249443,0.846657316503039,0.877957658779577,0.951506245407788,0.723723723723724,0.713355048859935,0.869281045751634,0.973180076628352,0.967479674796748,0.527593818984547,0.781818181818182,0.953591160220995,0.738601823708207,0.825041459369818,0.852631578947368,0.787941787941788,0.817567567567567,0.863529411764706,0.909896602658789,0.887128712871287,0.84,0.929236499068901,0.852242744063325,0.839835728952772,0.825086306098964,0.980241492864984,0.940691927512356,0.9375,0.85734664764622,0.839583333333334,0.977528089887641,0.899253731343283,0.853658536585366,0.78919397697077,0.764341085271317,0.850574712643678,0.946601941747573,0.983572895277208,0.764890282131662,0.98196675119752,0.959459459459459,0.662835249042145,0.894230769230769,0.776558603491272,0.931662870159454,0.969335604770017,0.824501907587961,0.817687074829932,0.944074567243675,0.893063583815029,0.923469387755102,0.94572025052192,0.945504087193461,0.984930032292788,0.988940092165899,0.988545246277205,0.956647398843931,0.983717774762551,0.973174366616989,0.959215686274509,0.970856102003643,0.982343499197432,0.99163179916318,0.963265306122449,0.992297817715019,0.978118161925602,0.944012441679627,0.989440337909187,0.994328922495274
"142_1",0.60730593607306,0.647779479326186,0.567190226876091,0.895316804407713,8.88178419700125e-16,0.622413793103448,0.944497607655503,0.502407704654896,0.66270783847981,0.698461538461538,0.900317341795782,0.781163434903047,0.686546463245492,0.957398680490104,0.889473684210526,0.936535162950257,0.53972602739726,0.696261682242991,0.747826086956522,0.937007874015748,0.992389649923896,0.944700460829493,0.939209726443769,0.97489539748954,0.840807174887893,0.947793660658794,0.655948553054662,0.842223218287763,0.859626529298133,0.83170947741364,0.850085178875639,0.968644328312327,0.946251768033946,0.700722394220846,0.747368421052632,0.779273216689098,0.576799140708915,0.828205128205128,0.973821989528796,0.891711229946524,0.673316708229426,0.915826911677534,0.709905660377359,0.53519768563163,0.867463335143943,0.682087781731909,0.958722358722359,0.546628407460546,0.581093605189992,0.894827586206897,0.886961387800784,0.874189364461738,0.66147859922179,0.761006289308176,0.822119815668203,0.806525472238122,0.963565703181929,0.77602523659306,0.924398625429553,0.983425414364641,0.675804529201431,0.841881989973004,0.971014492753623,0.658610271903323,0.898971000935454,0.930615784908934,0.942671009771987,0.546599496221663,0.871508379888268,0.557103064066852,0.585714285714285,0.616766467065868,0.582857142857142,0.673992673992675,0.554121863799284,0.697926949654492,0.648526077097506,0.870289219982472,0.498981670061101,0.732217573221758,0.770909090909091,0.764885496183206,0.905569007263923,0.48221906116643,0.590049751243782,0.989165763813651,0.875457875457875,0.979088471849866,0.560155239327296,0.868778280542987,0.629820051413881,0.814272644098811,0.632258064516129,0.588541666666667,0.833858267716535,0.663755458515284,0.585836909871245,0.642611683848798,0.56020942408377,0.584848484848485,0.68978102189781,0.58918918918919,0.639810426540285,0.548387096774194,0.651775486827033,0.699346405228758,0.619718309859154,0.688186813186814,0.69041095890411,0.707077785564121,0.623570800351803,0.624441132637854,0.691666666666666,0.687671232876713,0.713592233009709,0.622340425531914,0.627118644067796
"142_12",0.827324478178368,0.656422379826635,0.59125315391085,0.77732379979571,0.622413793103448,8.88178419700125e-16,0.819385912101143,0.620661824051655,0.46639231824417,0.772511848341232,0.478319102628495,0.695067264573991,0.676888556469708,0.704779598040872,0.608200455580865,0.67003367003367,0.680534918276374,0.71875,0.62109375,0.937722419928826,0.922279792746114,0.862857142857143,0.831262939958593,0.874045801526717,0.368700265251989,0.885842696629213,0.26236559139785,0.404285212504391,0.378515444905487,0.900286532951289,0.358299595141701,0.905401912638925,0.939531368102797,0.815772870662461,0.715197956577266,0.88962472406181,0.709114414996767,0.769340974212034,0.869466515323496,0.788825757575758,0.805359661495063,0.706469821971342,0.726775956284153,0.721718088324258,0.601953601953602,0.769705277587389,0.735948698604301,0.696877380045697,0.689675516224189,0.579700272479564,0.587182688306284,0.594068582020389,0.538053097345133,0.38483345145287,0.321608040201005,0.58950486669488,0.708852736108177,0.383999999999999,0.850055126791621,0.992949471210341,0.463917525773196,0.390464319102524,0.952914798206278,0.679186228482003,0.868249258160237,0.903490759753593,0.860529986052999,0.239623685666851,0.320948110185779,0.550224887556222,0.552721088435375,0.496884735202493,0.188475390156063,0.510538641686183,0.408254599701641,0.693063228974831,0.663551401869159,0.524188958451907,0.456821026282854,0.609902475618904,0.629502572898799,0.244029075804776,0.676837725381415,0.346474601971191,0.383096853793954,0.776405589860254,0.496864111498258,0.722963644730787,0.739380849532038,0.572778827977315,0.862686567164179,0.30406852248394,0.79126213592233,0.708092485549132,0.386565272496831,0.406005221932115,0.664082687338501,0.68300873069174,0.567703952901597,0.656739811912226,0.718213058419244,0.643105446118192,0.547290116896918,0.740119760479041,0.584956346541303,0.544980443285529,0.809264305177112,0.522200772200772,0.786032689450223,0.530102790014684,0.594980034227039,0.81041181041181,0.630710659898477,0.745178258328463,0.6875,0.721330275229358,0.574123989218329
"142_13",0.79765708200213,0.927209705372617,0.895716945996275,0.784722222222222,0.944497607655503,0.819385912101143,0,0.930604982206406,0.883842144452718,0.958297132927889,0.818368043700922,0.955846279640229,0.957446808510638,0.902514640027558,0.826934795856185,0.744451109778045,0.917140536149472,0.971997052321297,0.963406052076003,0.486620416253716,0.84793388429752,0.970053475935829,0.375894331315355,0.676046671242278,0.832017229002153,0.679620853080569,0.846418338108882,0.920937042459737,0.896786757546251,0.879754601226994,0.634257634257634,0.868407032498668,0.746688741721854,0.565986394557823,0.910406616126809,0.971061093247588,0.927374301675978,0.925058548009368,0.704918032786885,0.941912869303956,0.826554105909439,0.96617915904936,0.980726464047443,0.971391417425227,0.910333048676345,0.931547619047619,0.884069400630914,0.951585976627713,0.860759493670886,0.902871322226161,0.888986013986014,0.954968184043074,0.899507389162562,0.790123456790124,0.842755522276301,0.908362989323843,0.93980077955825,0.804405286343612,0.972222222222222,0.838689350976686,0.795522388059702,0.905623787976729,0.966537966537967,0.857265692175408,0.785987261146497,0.827573922337015,0.865422396856581,0.932624113475177,0.934153641503159,0.975389663658737,0.949104618284637,0.981180496150556,0.905867182462928,0.993722536095417,0.957805907172996,0.820343461030383,0.86117136659436,0.661388550548112,0.958192852326366,0.889983579638752,0.600380589914367,0.687465488680288,0.581009796533534,0.90531561461794,0.946879150066401,0.997681735386653,0.899999999999999,0.983928149373671,0.952904238618524,0.944856839872747,0.975280898876404,0.883885374023074,0.998215878679751,0.995271867612293,0.937520552449852,0.936485532815809,0.907885554780181,0.975254730713246,0.951582867783985,0.925925925925926,0.927550047664442,0.986343885785227,0.981890209394454,0.984565916398714,0.978165938864628,0.977448907681466,0.97930524759793,0.939703628002044,0.980503655564582,0.980290456431535,0.99023199023199,0.979522184300341,0.99315537303217,0.991228070175439,0.986415094339622,0.976672805402087,0.985057471264368
"142_3",0.620889748549322,0.475409836065574,0.4079754601227,0.882352941176471,0.502407704654896,0.620661824051655,0.930604982206406,4.44089209850063e-16,0.52442996742671,0.61042524005487,0.931199411331862,0.632958801498127,0.7,0.955794947994057,0.876948318293683,0.914859437751004,0.57972805933251,0.666310160427807,0.691691691691691,0.952299829642248,0.979899497487437,0.929824561403509,0.915412186379928,0.932367149758454,0.927909371781669,0.919431279620853,0.768707482993197,0.845887445887446,0.912990196078431,0.839403973509934,0.902760609806345,0.974789915966387,0.94147582697201,0.696564885496183,0.710398445092323,0.812652068126521,0.62970297029703,0.748544819557625,0.898775510204082,0.84,0.607264472190692,0.884484711211778,0.715210355987055,0.609318996415771,0.877083333333333,0.676789587852495,0.955534531693472,0.595360824742267,0.611398963730571,0.884118382659442,0.862808145766345,0.847008019740901,0.824620573355818,0.832951945080092,0.891507336594042,0.788608981380066,0.958055290753098,0.820476858345021,0.962162162162162,0.982832618025751,0.70806100217865,0.917664670658682,0.983098591549296,0.508771929824562,0.914634146341464,0.946331236897275,0.893432465923172,0.497637795275591,0.924951644100581,0.488080301129234,0.41471048513302,0.472556894243641,0.66696191319752,0.460290350128096,0.476255088195386,0.752747252747252,0.737773152965661,0.891803278688525,0.409990574929312,0.628140703517588,0.596184419713831,0.748020158387329,0.809944751381216,0.465473145780051,0.653136531365314,0.984689335944454,0.910913140311804,0.968495668154371,0.671361502347418,0.896353166986564,0.653846153846154,0.875496688741721,0.562231759656653,0.541912632821724,0.901489117983964,0.766834170854272,0.572700296735904,0.634453781512605,0.46319018404908,0.464140730717185,0.588516746411483,0.451640033641716,0.452788104089219,0.583406884377758,0.464285714285714,0.458375125376129,0.56390977443609,0.49185667752443,0.532756489493202,0.47941567065073,0.504934210526316,0.522666666666667,0.63618864292589,0.563884156729132,0.521594684385382,0.52112676056338,0.447647951441578
"142_4",0.75,0.396424815983176,0.487944890929966,0.748865355521937,0.66270783847981,0.46639231824417,0.883842144452718,0.52442996742671,0,0.552742616033755,0.795932802829355,0.543137254901961,0.579980372914622,0.932893092985901,0.756606397774687,0.681693989071038,0.523346303501945,0.610051993067591,0.717569786535304,0.975186104218362,0.933002481389579,0.825136612021858,0.75092936802974,0.779904306220095,0.789915966386555,0.758783429470373,0.643320363164721,0.769869513641755,0.71366828741221,0.669236159775753,0.755857898715042,0.895240777245847,0.952238805970149,0.616416732438831,0.556089743589744,0.844380403458213,0.648494711147275,0.61038961038961,0.674515235457064,0.777034559643255,0.663636363636364,0.781360201511335,0.521815008726003,0.58501872659176,0.718560074801309,0.677475898334794,0.876553793399057,0.521608040201005,0.600580973129993,0.746371275783041,0.731414868105516,0.801086956521739,0.726600985221675,0.694419030192132,0.763371150729336,0.762347188264059,0.911664779161948,0.663090128755364,0.938879456706282,0.982658959537573,0.641160949868074,0.826357661708752,0.986062717770035,0.352083333333333,0.65764447695684,0.664362519201229,0.719585379159847,0.443922095366017,0.838088445078459,0.551181102362205,0.470862470862472,0.503105590062112,0.621661721068249,0.470503597122302,0.458948611931483,0.676582761250953,0.608474576271186,0.799861014593467,0.49375,0.65320197044335,0.740566037735849,0.578358208955224,0.661921708185054,0.372627372627373,0.610130468150422,0.977039067854695,0.828111011638317,0.975670307845084,0.710550887021476,0.808108108108108,0.73216885007278,0.772141706924316,0.736383442265795,0.74108818011257,0.826638477801268,0.795716639209226,0.757723577235773,0.69598633646456,0.598163030998851,0.555323590814196,0.666666666666667,0.580965909090909,0.5076726342711,0.692307692307692,0.525192143467122,0.519736842105264,0.739130434782609,0.513112884834664,0.721789883268482,0.525797101449275,0.565156794425087,0.713106295149639,0.664546899841018,0.699928212491026,0.63458110516934,0.656381486676016,0.567989590110605
"142_5",0.757352941176471,0.562582345191041,0.628865979381443,0.927505330490405,0.698461538461538,0.772511848341232,0.958297132927889,0.61042524005487,0.552742616033755,-8.88178419700125e-16,0.957166392092257,0.683574879227053,0.671100362756953,0.970430604324524,0.874799357945425,0.911949685534591,0.662679425837321,0.636174636174637,0.715399610136452,0.960912052117264,0.974647887323943,0.866666666666666,0.89873417721519,0.92467043314501,0.977955911823647,0.919533527696793,0.862222222222222,0.94522892597347,0.890295358649789,0.693927125506073,0.953545232273838,0.958916344150045,0.918819188191882,0.778604651162791,0.729166666666667,0.86336866902238,0.780135004821601,0.774266365688487,0.854632587859425,0.863920099875156,0.715859030837004,0.904071388733965,0.685534591194969,0.68153980752406,0.884951206985106,0.816649104320337,0.944885567491827,0.678704856787048,0.741772151898733,0.928276999175598,0.892234548335974,0.866504854368932,0.809677419354839,0.897891231964484,0.93585237258348,0.830545062061522,0.977267345488989,0.902702702702703,0.994962216624685,0.969798657718121,0.792592592592592,0.969618377176732,0.994764397905759,0.528645833333333,0.938723404255319,0.940298507462687,0.879341864716636,0.676175790285273,0.976263399693721,0.611650485436893,0.492492492492493,0.558139534883721,0.835640138408304,0.559265442404007,0.67221852098601,0.703306523681859,0.823886639676113,0.948676824378509,0.648897058823529,0.744835965978129,0.832317073170732,0.84180790960452,0.858369098712446,0.641532756489493,0.783978397839784,0.990077958894401,0.924324324324324,0.981751824817518,0.592718998862344,0.912408759124088,0.777777777777778,0.946771378708551,0.732782369146005,0.74141876430206,0.956916099773243,0.819960861056751,0.728323699421965,0.760980592441266,0.737849779086893,0.676240208877285,0.788990825688074,0.601973684210527,0.639941690962099,0.722413793103449,0.63023493360572,0.630859375,0.791231732776617,0.63124199743918,0.791866028708134,0.666014350945858,0.626709573612228,0.742599742599742,0.774859287054409,0.795170691090758,0.741935483870968,0.747163695299838,0.662453531598513
