"site2","103_2","103_3","103_5","103_8","112_12","112_3","112_8","125_5","125_6","125_9","129_10","129_11","129_5","157_2","157_3","157_4","157_5","157_6","157_8","160_10","160_11","160_5","160_8","165_1","165_4","165_5","165_7","199_3","199_6","199_9","236_2","236_3","236_4","236_5","236_6","236_7","260_1","260_2","260_3","260_4","260_5","260_6","261_1","261_10","261_11","261_12","261_2","261_3","261_4","261_5","261_6","261_7","261_8","261_9","307_1","307_2","307_3","307_5","307_7","357_2","357_3","357_4","357_6","357_9","363_3","363_4","363_5","363_6","363_7","363_8","399_10","399_12","399_3","399_5","399_6","399_7","399_8","399_9","69_10","69_11","69_2","69_6","69_8","81_11","81_15","81_3","81_7","81_9","99_10","99_4","99_6","99_7","99_8","Extra_1","Extra_2","Extra_3","Extra_4","Extra_5"
"103_2",-9.99999993922529e-09,0.093217894216477,0.0836473600452541,0.0806209238373361,0.0851402422013865,0.0797250254435304,0.0891553370549838,0.0729333095055593,0.0781762080426769,0.103399454556719,0.0687373374474669,0.0868153038678021,0.0848801889581636,0.101176272826624,0.0908589203898611,0.0973495496450527,0.0833525473665924,0.095512012308288,0.0901555166787165,0.0901646487714871,0.0785910873481972,0.0920881025484637,0.0866501280172591,0.0919064276350761,0.0848311773054538,0.0984906371931209,0.0821557940987885,0.0836945410098082,0.0892403395282799,0.0749907240082957,0.096077821364259,0.0839262640770071,0.116085351257238,0.0943345054497637,0.0989226665417569,0.0908440279507805,0.0973761257597914,0.089724204469303,0.0980839472215218,0.0992120103118148,0.0865852232488384,0.0981974769001746,0.0950014666876919,0.0912221538661251,0.0985446430320498,0.0947954116219121,0.0889558895986631,0.0918196627010162,0.0965735783642145,0.0854023220358278,0.0948096788861021,0.0921488657075253,0.0882700434644426,0.102331963401829,0.0983344264016373,0.0943555852648676,0.0920175436414929,0.0912404899417782,0.0756305725578126,0.0935928634377619,0.0941008447235856,0.103529403493876,0.0904685638326768,0.0945664793487269,0.0987356173786547,0.0866993824234186,0.0903950266373652,0.100944974712446,0.0975159152819769,0.0968423436535604,0.0848817129907882,0.151202871054709,0.102591464009252,0.0960976402586844,0.0954885699921404,0.0936950749016654,0.0783490421707678,0.0872713414529209,0.0850446351897387,0.0780662520562088,0.0833155952901219,0.0762827973062654,0.095898473664831,0.0761723456475298,0.0855801119319031,0.0897149941619579,0.0830414959821242,0.0857575174322533,0.0793735994695521,0.0695636945721174,0.0745209931977397,0.0702091108731908,0.0803101006220384,0.0866049038113808,0.0882335332009871,0.0986197386745817,0.0878610178795847,0.0789200682256896
"103_3",0.093217894216477,-9.99999993922529e-09,0.0621717084150928,0.0658942700227214,0.0657203345655273,0.0773939181502652,0.0813240919491991,0.0696916642221219,0.0690482928892087,0.0739714843126771,0.0859665217430823,0.0836283620228711,0.0818041656504653,0.0938307736939485,0.0759945821631272,0.0809440655532314,0.0854194951932692,0.0729119111657681,0.0576149026456774,0.0847625387137096,0.0801652245312445,0.0849667787092396,0.0754900993022298,0.0715165755498619,0.091276348605108,0.0878894336091014,0.0758637537643605,0.0631570355460871,0.0709760993212469,0.0697823773415369,0.0799405773915223,0.0743381864248338,0.0936150588252405,0.0837569464448504,0.0795828345181047,0.0861062708769913,0.0775386581000097,0.0643606375606989,0.0792092087553704,0.0764265683245529,0.0735042774065355,0.0772541428242051,0.0780226858873909,0.0746403507794997,0.0837707307578439,0.0816873009798227,0.093620010809625,0.0677569756119507,0.0838574806070567,0.075056791329094,0.0706720745268885,0.0763744342662493,0.0838912994056293,0.0820848092473665,0.0775185496888433,0.0769257242304608,0.0813449494371319,0.081538983460764,0.0699477137927149,0.0796340575357446,0.0650315963684276,0.101858077604088,0.0936473214718798,0.0754945248244303,0.0750481797831826,0.0830473530477858,0.0786973038342058,0.0794086813442987,0.0730157328518672,0.0733898134993807,0.0808490525575842,0.141617787868027,0.0888274415365378,0.0893260621989034,0.0898810082557069,0.081859519724671,0.0698473896053666,0.0780230384113181,0.0791550238923728,0.0795504286002116,0.0759943600587631,0.101386583774548,0.0683613384780595,0.0664680159330717,0.0776455357700234,0.0808791799416095,0.0890899713710736,0.0799520302098007,0.0771310078222192,0.0892147666547776,0.0711711985696943,0.0916450327894163,0.0748779509607682,0.079734489557713,0.067686095941714,0.0742158473816028,0.0823146600972118,0.0721484688127316
"103_5",0.0836473600452541,0.0621717084150928,-9.99999993922529e-09,0.0749127194501922,0.0792844965908255,0.0832306361029329,0.0885645381466131,0.0641725865008325,0.0662558903728234,0.0841635355247603,0.0844339277294175,0.0801820542095919,0.0766177025392716,0.084032692345879,0.0839562413512274,0.0961372003746046,0.0858865472029422,0.0895680785952881,0.062572844789972,0.0986147199478802,0.0953234881474148,0.0748870365364522,0.0727715802074966,0.0686520989305928,0.0855806871075317,0.0952517014475154,0.080795985587659,0.0792706151322187,0.0723694983044669,0.066066854174256,0.0963148194112124,0.0799691329179306,0.0803923155320934,0.0832585579917227,0.0930377778718501,0.0926536902729573,0.0891984895310869,0.068479057413356,0.0841944573728488,0.0942593190380014,0.0747885524166139,0.0872940156165347,0.0910989311889008,0.0844143119435119,0.0951972216616181,0.0967616294911271,0.0997727763073366,0.0811000462425062,0.0918797535871438,0.0832922343046767,0.0854583820687076,0.0931239556570178,0.085428246145443,0.0891296646766406,0.100410439470109,0.0839010531722659,0.0899875716058844,0.0867609855032216,0.0759015621523795,0.0788001077880456,0.0675555094723255,0.089432926609091,0.06610431232145,0.0580385353098305,0.0825949022271555,0.0907903695762631,0.0926294260088862,0.0902620671517385,0.0821932380944299,0.0885868003702688,0.0923970454044265,0.131527190632682,0.0941538782624238,0.0933140996316293,0.0989206985524309,0.0847944958394007,0.0527384431599958,0.0855350550713792,0.0898309210807511,0.0872145377329638,0.0751853266570064,0.0818566104484761,0.0816086682643711,0.0680212370968063,0.0888724822960349,0.091415252243962,0.0843209299077188,0.0917526523405101,0.0818173275760576,0.0824513371290299,0.0593439233420963,0.0835661673062345,0.0750823179708782,0.0927538598820854,0.07983206216379,0.0910994593693926,0.098806229299087,0.0827880903321763
"103_8",0.0806209238373361,0.0658942700227214,0.0749127194501922,-1.00000000502476e-08,0.0697636420837873,0.0843196549010132,0.0758918121196197,0.0739155331335084,0.0707494278506846,0.0819228189421164,0.0756362400625756,0.0782930859890707,0.0615208991232568,0.0839895557182606,0.0715554364623847,0.0875166985887328,0.0722196058869946,0.0802473923157663,0.0681499274625108,0.073510699453696,0.0656054794933441,0.0760365622240791,0.0697310282892558,0.0803499620830452,0.0627343932368951,0.0828113015989815,0.0778384091825548,0.0711317569770056,0.0608546239936034,0.076980041641419,0.0810323305957092,0.0756491639520451,0.0993099542372715,0.078048649303077,0.0857375206195716,0.0764438879479328,0.077593585774214,0.0671810861234137,0.0692988909816312,0.0849420197844186,0.0607446405517382,0.0767671056668586,0.0791208647244879,0.0802306647033975,0.0834784692301178,0.0843588630385146,0.0712807306086956,0.0776755190065863,0.0730232995958815,0.0736809837020804,0.0703605353071135,0.0800789410844467,0.0693853405954412,0.0825192167291502,0.0741271128688843,0.0706735547978816,0.0809541727357921,0.0736937388568608,0.0732456380782525,0.0776151246791446,0.0929949661899967,0.115665576518012,0.10036333552736,0.0883335514006869,0.0821086841396625,0.0841362043009382,0.0736843513948511,0.0838722224984112,0.0731679885852856,0.0839107056385777,0.0771798212678392,0.159242279285735,0.0917775179221527,0.076407195603744,0.087732830358169,0.0846716464620425,0.0782659743512168,0.0763594135935517,0.0725796080662295,0.0847646610167381,0.0654131204328174,0.0976470759069903,0.0702899945180344,0.0589793156406595,0.0786650048766899,0.0600469555669643,0.0757049737859206,0.0778586408154229,0.0729070031798531,0.0763832645775073,0.0681747415889966,0.0740206940569714,0.0575341018237747,0.0726011857410747,0.0642692119134167,0.0796876260412909,0.0820978603708611,0.0596509921827804
"112_12",0.0851402422013865,0.0657203345655273,0.0792844965908255,0.0697636420837873,-9.99999993922529e-09,0.0838878979835374,0.064177375790829,0.0824166198911844,0.0858793234407487,0.0574012663938543,0.078232583833808,0.0816042699701838,0.0566227850703194,0.0817464057237962,0.0550891726546527,0.0554533570887821,0.0588075265417902,0.0606179280929129,0.0654415609245027,0.0510315949211848,0.0779023122567555,0.0733098690875336,0.0635763502539568,0.0768938379856783,0.0817747319833957,0.0693882009132558,0.0698740418292405,0.0512933682228311,0.0695481698880598,0.0741094117672918,0.0738506820967697,0.059235939852659,0.100616067797164,0.0606641222347242,0.048936906656418,0.0451738151711529,0.053253149508834,0.0642323921202339,0.0544277806953326,0.0602564435750674,0.0569217198156304,0.0579311480159226,0.0684955162857728,0.0595686580517054,0.067203206928685,0.0626485019078873,0.0644901844607848,0.0606674299918535,0.0703628123515809,0.0584757433034249,0.0660972782020235,0.0658556195097115,0.0587769185332694,0.0605533598324186,0.0661114026758605,0.0512007883308094,0.0501409541919362,0.0658870259401794,0.0505840762667058,0.0489477101962033,0.0839862949353241,0.111289028704936,0.0831342267082378,0.0845078797131733,0.0573193810673094,0.0605413192235795,0.0625707618978524,0.0633623374321386,0.0498323863300671,0.045793681131838,0.0645456784415621,0.148097860285665,0.0691605387123173,0.0689523597626629,0.0651810920880007,0.0630859991786819,0.0764629478237362,0.0462280696218837,0.0695745797804499,0.0854502212484594,0.071616802165507,0.103133219608851,0.0673499282367327,0.0644397058408812,0.0537269323053275,0.0628199631666477,0.0796594357194802,0.0555284351568486,0.0802989891829455,0.087308762818856,0.0759595974184497,0.0651665608742791,0.0818585488465668,0.0608276749163879,0.0680463720977351,0.0621745352272136,0.0532851972599218,0.0614857107500422
"112_3",0.0797250254435304,0.0773939181502652,0.0832306361029329,0.0843196549010132,0.0838878979835374,-9.99999993922529e-09,0.077544218927079,0.0764290358319393,0.0795372496290223,0.0849358153911643,0.0716916967291563,0.0862219286212282,0.0764281259774544,0.0771986471778408,0.0797684438064619,0.0848715672027569,0.0870723124001025,0.0825364022987825,0.0595383251629575,0.084834857998338,0.0897624763432887,0.0859977716604599,0.0776102376876113,0.0746092654899568,0.0785532822682182,0.0875479042596681,0.0712139679352619,0.0746032760519268,0.073826424378918,0.072888667712091,0.0852466329137522,0.07545573578266,0.106752785351117,0.0787084848507758,0.0810824288243182,0.0894947182653114,0.0792390927305051,0.0692735861274512,0.0784248682057318,0.0830009059360253,0.0883010929620049,0.0848249011083944,0.0793108596988288,0.0813534159443223,0.0905922566605855,0.0855704084366589,0.0841693352360973,0.0758677772843881,0.0840394117748993,0.0819939065822881,0.0805450241993544,0.0792702074474623,0.0791891127873081,0.0830731809870069,0.0859362299239548,0.0808004318605668,0.0860383315219901,0.0773886860848996,0.074643477011741,0.0803306158868691,0.0735850666807314,0.104181918909913,0.101136988418975,0.0718349256043465,0.0857459216414775,0.0779973609186229,0.0773055542132572,0.081194411338122,0.0846966165450578,0.0839154662690162,0.0818060342196947,0.128680074943628,0.0940545204667731,0.0807671003321864,0.0939090298897653,0.082004357467105,0.0705532066575778,0.0735094566442072,0.0848442529788271,0.068347433058034,0.0686550534868577,0.0830718219726334,0.0781538861856532,0.0597551469671886,0.0706475640247972,0.0646580482895875,0.0738483715310121,0.0858685677736963,0.0747284617698893,0.0884569866426599,0.0705044783249764,0.0756509604610058,0.0865070632839631,0.084128669089504,0.0792074774781972,0.0789610499686682,0.0806022052635256,0.0685585200811893
"112_8",0.0891553370549838,0.0813240919491991,0.0885645381466131,0.0758918121196197,0.064177375790829,0.077544218927079,-9.99999993922529e-09,0.0896452085301982,0.0946900296154458,0.0632004335106755,0.0882154384277178,0.0941435017472783,0.072090296191972,0.0615644016398817,0.0628747911337499,0.0628474484538279,0.053595629522746,0.0520595707399525,0.0700334976513253,0.0647486251703486,0.100318506010015,0.0965913976201431,0.0797444220330041,0.0722655169600341,0.0674239319377379,0.066324783875392,0.0659727314048797,0.0572197348762877,0.0709300376336639,0.073268199940218,0.0695904962039793,0.052105026879008,0.119710316762914,0.058412373555645,0.0648701455169722,0.0626683102709913,0.0600165139177211,0.0672916211720049,0.0692327412508407,0.0623919574752443,0.0707826237121498,0.0585363557333916,0.0598468078930272,0.0543370707649387,0.0593821627993278,0.0599172247242514,0.0599369649767063,0.055443806696972,0.0636961463605989,0.056969849037787,0.0566575041578357,0.0598015225408646,0.0591338740358165,0.0566208353940967,0.0578390347718671,0.0607147128042733,0.0683691065990359,0.0589305009223686,0.0663168181668794,0.0715267341260992,0.0939533291696211,0.11620992831999,0.0991410368849948,0.0843492481831503,0.0579008330593116,0.0571583450498714,0.052771475207654,0.0630118679960112,0.0535557613399833,0.0604633194794517,0.0598128351757732,0.137406799358163,0.0638215055176703,0.0594464334145224,0.0654594223566332,0.0655113759355874,0.0831281067153731,0.0653947813663225,0.0765594223374355,0.0769183198345564,0.0756698673388012,0.0940674145698017,0.0761542875678896,0.0632658124325618,0.0623478488643316,0.0671552875410628,0.0764163151199329,0.0623980037396932,0.0841209278299979,0.104342859375013,0.0812330660348752,0.0800686665061212,0.0928219523998293,0.0512017942680103,0.0486306318893595,0.0653854084924859,0.0646760716752326,0.0610412742983517
"125_5",0.0729333095055593,0.0696916642221219,0.0641725865008325,0.0739155331335084,0.0824166198911844,0.0764290358319393,0.0896452085301982,-1.00000000502476e-08,0.052041222486336,0.084428786409839,0.0703045475624726,0.0801802347567295,0.0757279799599191,0.100542530413052,0.0903058267587353,0.0888778802630406,0.080616056037055,0.0866451609857741,0.0747616137544234,0.0803613747197249,0.0845812959526471,0.0877401929440051,0.0643315259604715,0.0796124183339091,0.0858104935599444,0.0981739901256484,0.0830325448108771,0.0727717101786052,0.0828236730351497,0.0700672971738421,0.0938463854303653,0.080727629079048,0.102342659102975,0.0847840551112329,0.0909925752713061,0.0838481076057529,0.096492741224228,0.0707223963983168,0.0932113090385094,0.089291148722574,0.0780298675363791,0.0864283166802851,0.0837903460132401,0.0798258109207937,0.0929308835973881,0.0883276882662829,0.0939079668524281,0.0755819454897693,0.0890362523786388,0.0842902980511469,0.0765273554398838,0.0888848626629564,0.0856537313545822,0.0868588268541897,0.0911482580693417,0.088217973950073,0.081116796564914,0.0834559675953406,0.0819838941152264,0.0831269760464306,0.0726385043473234,0.0930338322552966,0.078822774271734,0.0721704843943267,0.0841219210778221,0.0863445197601682,0.0791795501639472,0.0873610792676669,0.0839333351976765,0.0912960212263136,0.0838454531851454,0.151418936518555,0.0962271058395829,0.0958396052783399,0.0891825413283736,0.0864667206370608,0.0660135656882943,0.080408810604176,0.072793355984724,0.0758851754102343,0.0665847900471563,0.0913017990612799,0.0799152566402048,0.0652326561314081,0.0829721439270712,0.0826118341884223,0.0756912970812729,0.0769969601708065,0.0631561741977575,0.081144866864473,0.0490937503944822,0.0764819059837252,0.0584366938810172,0.0793366598292615,0.0754085374260378,0.0873034827870047,0.0867238075227528,0.0688979343275062
"125_6",0.0781762080426769,0.0690482928892087,0.0662558903728234,0.0707494278506846,0.0858793234407487,0.0795372496290223,0.0946900296154458,0.052041222486336,-1.00000000502476e-08,0.0849439438546158,0.0759468757049084,0.07263040648756,0.0729431825854472,0.0836961702073662,0.0934276127784808,0.106008136892578,0.0899382155220227,0.0934648456299896,0.0747626203305283,0.0876028483706648,0.0750518967425193,0.0844405755936735,0.0613091976168496,0.068609692815756,0.0795347848883221,0.094316129744151,0.0812613854309236,0.0764140523304129,0.0598419296297708,0.068203305087047,0.0857680467361406,0.0877062753123534,0.107711234754591,0.0917671866428502,0.0918934371013287,0.0945580897851437,0.102620257583377,0.0710724273595327,0.0942523306051042,0.0954556058466025,0.0845994563195047,0.0942889321428761,0.0944574353801677,0.0926615061077212,0.095642652168306,0.103773242979021,0.0998284674045478,0.0851039193388847,0.100465276438661,0.0899827179922079,0.0811038935076773,0.0857023702780058,0.0911443070229889,0.0986271802923373,0.101987553374659,0.0853804098031303,0.088404198617241,0.093200409150441,0.0888279764055691,0.0903690450261243,0.0670844219798197,0.0998417331196471,0.0811243271647542,0.076227198249234,0.0945543061372263,0.0929796103130831,0.0958185285858777,0.098496684254219,0.0947125722381295,0.0994611014235092,0.0842222336905538,0.133746221036941,0.104946409684197,0.102002091993975,0.101139381207598,0.0967613586762748,0.0647962084168077,0.0885126533284608,0.0880614417541545,0.0884711472200879,0.0714687456531138,0.0880528514446433,0.0872088947517575,0.0689246937789418,0.0979902311438041,0.0830896782481241,0.0778339597558855,0.0884640139858601,0.0675425249595205,0.0741685448835387,0.0538238385808405,0.0765022639529016,0.0604067072197871,0.095752905881717,0.082977366368048,0.0893137083096931,0.0865500790848599,0.0772399680591831
"125_9",0.103399454556719,0.0739714843126771,0.0841635355247603,0.0819228189421164,0.0574012663938543,0.0849358153911643,0.0632004335106755,0.084428786409839,0.0849439438546158,-9.99999993922529e-09,0.0882520021799009,0.0801653935234401,0.077028071059408,0.0565158489147255,0.063239835237582,0.0639363755031257,0.058858017319275,0.0530333861807284,0.0630577115026092,0.0554654760867588,0.086746927939449,0.0901026630477533,0.0741070921556759,0.0647311746233028,0.0666860076720859,0.060180506452377,0.0618373792363724,0.0563313573089952,0.0671669703474467,0.0694303176806854,0.0730382417960005,0.0627479058685365,0.11592441702442,0.0618473787032863,0.0541704932474514,0.0578472513864494,0.0575651381289006,0.0670230713602515,0.0677007822616384,0.0634878529628184,0.0743961904787414,0.070638314221821,0.0628879085131091,0.059793978433017,0.0625064522067047,0.0643922125029894,0.0724266807894907,0.0640687942886651,0.0702505155241469,0.0598918986795631,0.0631170101002749,0.0634493610372728,0.0569176075618982,0.0603716073591256,0.069590869490207,0.0532638830720731,0.06791709707229,0.0686389512487866,0.0599700397487211,0.0720148090145347,0.0867815332735151,0.115233608993692,0.0964291260246186,0.0885292621404175,0.0625371058777886,0.0616527577818424,0.062677446732903,0.0676346908138161,0.0643860544371813,0.0581140990294573,0.0630837877573642,0.148891008977346,0.0727982468824067,0.068849188043935,0.0660429027981728,0.0683981714337476,0.0891870277009945,0.0561864239229355,0.0789456448293717,0.0713120669274927,0.0703531038487961,0.0940917686272409,0.0633479082361033,0.0665472147174533,0.0596168456063064,0.0698765788013025,0.0827076195495038,0.0650758341454518,0.0738962432578409,0.0960847137016638,0.0726695347409676,0.082110512516504,0.0846875951219233,0.064137058973682,0.067764245437419,0.0658476879528382,0.0588070863601862,0.0691310878100522
"129_10",0.0687373374474669,0.0859665217430823,0.0844339277294175,0.0756362400625756,0.078232583833808,0.0716916967291563,0.0882154384277178,0.0703045475624726,0.0759468757049084,0.0882520021799009,-9.99999993922529e-09,0.062005212188067,0.0691816982019724,0.0988308764406329,0.0832565161534959,0.0889680087905289,0.0826058540031958,0.0883359749845507,0.0721562734667855,0.0777980503854887,0.074701322926477,0.0727789872534428,0.0701370893312787,0.0841530716299985,0.0823336793526703,0.0902253471765331,0.0882763429264717,0.0780510066276334,0.0786418827916948,0.0725291317424004,0.0946789271843045,0.0748087740861021,0.107296301206642,0.0878804763075365,0.0842163071941497,0.0827099797130113,0.0794920971762527,0.069488793538514,0.0821944404504515,0.0841646220283696,0.075492986310987,0.0853336849178428,0.0816900997556456,0.0830311630797926,0.0940462629551559,0.0937752993674057,0.0847133397055004,0.0807234493462523,0.0812603438100947,0.0826699808721088,0.0853005062091008,0.0827201716960237,0.0749449514439777,0.086143913450939,0.087207176230504,0.0749937849847271,0.0767826138389813,0.0832049863999977,0.0778830088048945,0.0788035054076441,0.0845201873098458,0.115131341175557,0.0901940919348301,0.0852447967842169,0.0857571571605822,0.0800924535996335,0.081353849771697,0.0797522564369531,0.0843091006154244,0.0816252065120169,0.0820696609344773,0.162324276209845,0.0904691139031035,0.088121509344349,0.0907491139403962,0.084090790744455,0.0836719334524949,0.0815411412694047,0.07744480928463,0.0700981274812069,0.070468360014458,0.0939082149270618,0.0876984496116313,0.0590458362845856,0.0681504274738374,0.073858293974123,0.0729800495799344,0.0742060991809979,0.0712527477352221,0.0647376026181465,0.063623989844722,0.0743206778034995,0.0767241758709027,0.0825647711286559,0.0861085970667386,0.0785803172622526,0.0713094557498606,0.0773440128223501
