"site2","103_2","103_3","103_5","103_8","112_12","112_3","112_8","125_5","125_6","125_9","129_10","129_11","129_5","157_2","157_3","157_4","157_5","157_6","157_8","160_10","160_11","160_5","160_8","165_1","165_4","165_5","165_7","199_3","199_6","199_9","236_2","236_3","236_4","236_5","236_6","236_7","260_1","260_2","260_3","260_4","260_5","260_6","261_1","261_10","261_11","261_12","261_2","261_3","261_4","261_5","261_6","261_7","261_8","261_9","307_1","307_2","307_3","307_5","307_7","357_2","357_3","357_4","357_6","357_9","363_3","363_4","363_5","363_6","363_7","363_8","399_10","399_12","399_3","399_5","399_6","399_7","399_8","399_9","69_10","69_11","69_2","69_6","69_8","81_11","81_15","81_3","81_7","81_9","99_10","99_4","99_6","99_7","99_8","Extra_1","Extra_2","Extra_3","Extra_4","Extra_5"
"103_2",-1.60171325190746e-16,0.883720930232558,0.773210088882559,0.814327223886562,0.947973117238364,0.828992172872776,0.938889568332779,0.829772839392407,0.87652041136502,0.951205629698133,0.795072110732011,0.874893603344259,0.794796567019615,0.90810925137576,0.831992034720627,0.98477962705987,0.929326628883189,1,0.889461145779247,0.958730282372645,0.865887062517099,0.937663745613503,0.91140945727631,0.905105871116971,0.86797875332681,0.955801104972376,0.918512947336871,0.891639350734062,0.887018749986967,0.867076835212177,1,0.960681806260069,0.971675999195919,0.966480446927375,0.973436382669478,1,0.964071856287426,0.91433529695241,0.983983212196724,0.989690721649485,0.96525278322175,0.985872371783777,0.931921477066589,0.94601325576159,1,0.972258554444152,0.953921644725456,0.973874244493608,0.976047904191617,0.955801104972375,0.946560043365107,0.968151589570365,0.978378378378378,0.984695069432425,0.956369105944792,0.967023171105698,0.952167038189001,0.949949789195642,0.906976744186047,0.926829889922383,0.898407364594569,0.934312682388158,0.894633172358415,0.931060825325691,0.981349928173353,0.940566515260757,0.953715054456515,1,1,0.973436382669478,0.954545454545454,0.935295356957417,1,0.956339153042845,1,0.943138222044752,0.862294553140866,0.951896222515585,0.915456028400298,0.749997205709263,0.827195453158287,0.857046118129176,0.968211439407052,0.841495690500727,0.980798150900376,0.879136788274308,0.86676569798032,0.941154118917156,0.881101153062325,0.850422075625299,0.83293212665074,0.824567954988974,0.782124611596385,0.934239108199787,0.895656091042045,0.940974678170032,0.933611805542201,0.931303902518125
"103_3",0.883720930232558,6.40685300762983e-16,0.756658704108222,0.54796701856887,0.71059984264974,0.764800969361427,0.862231909506043,0.701577086906044,0.730296928772623,0.684731429235288,0.786755125639556,0.681005141571124,0.669089781625344,0.80757671805122,0.844038285718327,0.917780468443045,0.842237351351538,0.889076639226155,0.722565914086728,0.763631218901693,0.780497859460596,0.801907323783212,0.664130492582202,0.72184342931415,0.836288392768365,0.854362247988139,0.846146009703441,0.729989595226453,0.68049418382095,0.742373479501586,0.8963221043214,0.820215905036402,0.934014312761476,0.89043270967919,0.859549318915267,0.855128969538345,0.833642643776081,0.726849002535997,0.843909497851924,0.819122884436994,0.747430628747887,0.896512396347154,0.884561202902126,0.795491307536853,0.915222203274415,0.883570662806736,0.913208522406404,0.804136959510823,0.855947441194823,0.918439752885621,0.945490388860042,0.79998501111788,0.863319995798604,0.919427769801463,0.820832090777074,0.81477361814002,0.77666646908787,0.882406731942376,0.815224895454998,0.77288341258399,0.7873559121616,0.929417232533532,0.829432539343816,0.775344473057963,0.88834092507718,0.921247457694146,0.844079748443994,0.887945262224938,0.928511307130689,0.833965103989511,0.903259407283804,0.968031684181229,0.957250852806764,0.886801150192804,0.95369885958916,0.856899047700812,0.797839103475684,0.855843617389527,0.855262116869687,0.853505399168524,0.746463000289879,0.819618780067833,0.720309873704791,0.619920753147903,0.824973513208069,0.746936495973807,0.690335172344073,0.796209596821636,0.777074123348102,0.799989516781703,0.694294098468777,0.869577048139773,0.655439399757476,0.806600592759392,0.801155282119063,0.705531218976458,0.832924526193081,0.874061271488865
"103_5",0.773210088882559,0.756658704108222,-8.0085662595373e-16,0.695448281071527,0.85481601684758,0.87152558916394,0.880015811702785,0.626190303401791,0.736295859993303,0.809244664352826,0.859928823808396,0.792905754520855,0.694631040287525,0.898286108751181,0.791606137279863,0.94430452374429,0.900537592324799,0.934522084157549,0.794454361583071,0.940259646070738,0.926022547004923,0.80981809825594,0.680200312651263,0.599127321925638,0.852006726005918,0.924703282335085,0.874450847197269,0.840309021412318,0.702759967565594,0.866086655685561,0.952332025344763,0.858293199292694,0.8503513870651,0.908069489570025,0.927529088055945,0.896563844504502,0.88208358450229,0.778128235564422,0.842654507639315,0.912621321114828,0.808825086000002,0.96516565932481,0.966941349974038,0.841629752084041,0.989404278837833,0.930791403144953,0.982257882454614,0.886420498800453,0.929142283979033,0.917361688594673,0.953288173698258,0.923743781727813,0.889110747105098,0.918932738969372,0.920766106675392,0.918603894147479,0.846647132106314,0.854033012000076,0.850897543042437,0.800712985964634,0.739825523406786,0.813265182355953,0.677298896040359,0.773672821268553,0.93012047430779,0.97251828066259,0.954341426939552,0.934367340835098,0.942141123567751,0.892686214739279,0.902550507396619,0.888188639144304,0.977186311787072,0.885086319985477,0.972134182700629,0.873839078000837,0.646756509339784,0.913348749950074,0.846828352331625,0.914912635739979,0.767906695318692,0.720904177531422,0.852731342270156,0.770993882357427,0.839313567102684,0.842812954566529,0.748553769561462,0.88014438267289,0.678640062313258,0.801066593424074,0.547127128755995,0.808896108881856,0.504030622252701,0.930676252193159,0.909403051655354,0.880062000550648,0.934959831356513,0.900238717406374
"103_8",0.814327223886562,0.54796701856887,0.695448281071527,6.40685300762983e-16,0.838648013958033,0.762692120004754,0.796880188880811,0.670227361503504,0.714319336521089,0.778891699687734,0.730802354799906,0.719044842924382,0.701128498098248,0.681159925667537,0.754300471205301,0.95709981931055,0.818298513212066,0.900628485095364,0.77020687691273,0.807834606610217,0.732707659420889,0.783257246305357,0.664205912011706,0.742387989129457,0.741343164514457,0.859175406659972,0.855973852830414,0.790930573482717,0.661790204163,0.8174147463435,0.913125753579311,0.70150225883776,0.810529836698785,0.796643031406636,0.923146873925134,0.881856540084389,0.881168483607699,0.788025126161236,0.792516991351418,0.86428355680852,0.641531192691962,0.861681997737211,0.827816046471378,0.846258054655182,0.906579777739317,0.911540309563558,0.837815084555709,0.88297958189884,0.909031414058285,0.861074038041233,0.928195486091079,0.870583878079166,0.879088611866357,0.903095782625844,0.823247614295652,0.83709545773782,0.789940665946889,0.889085397590338,0.767386493837006,0.767253885140408,0.822353342907724,0.951125507729285,0.901197588603048,0.872344314759837,0.963133640552995,0.950136529116117,0.795576793959542,0.909803780508912,0.86373243243584,0.904751139514745,0.814341571453298,0.925403012894947,0.969935293981257,0.827360198151601,0.946222820132844,0.929153065996915,0.779949214457418,0.884155859705464,0.824742130567301,0.882862617518364,0.78210329230764,0.785774848343468,0.759635931178526,0.758992201022976,0.807562587348444,0.698146770393023,0.746566429300089,0.846168888739983,0.778603559687789,0.677701751684559,0.706421732766848,0.778056801942931,0.608793943430542,0.855277425825296,0.78708132199502,0.796158816906752,0.885114053735154,0.777718954753622
"112_12",0.947973117238364,0.71059984264974,0.85481601684758,0.838648013958033,6.40685300762983e-16,0.907718349972598,0.761004919661338,0.891634861913212,0.901773564531193,0.688180862107151,0.833384276687506,0.768951073643729,0.734483607292293,0.781734129855886,0.691965950674809,0.589274477926276,0.68738591212803,0.760824009798776,0.838832632799638,0.647852245008555,0.861313929512797,0.727300016623551,0.768307021625904,0.90706331528703,0.887261251360338,0.727903769159952,0.866676120252404,0.656288182888946,0.845888942509688,0.863942492226309,0.715308410828497,0.703916052988486,0.933659772207202,0.688848315423312,0.51904621145595,0.540328358169942,0.605934275949842,0.832410485077347,0.629938690544888,0.719326330336969,0.69059124989422,0.767307444978952,0.906293287209688,0.690148545477362,0.743139607588137,0.750599433731858,0.807881097009409,0.802767180351068,0.795576793959542,0.76641071856712,0.840551714193421,0.769238462179862,0.730301947068879,0.769544184502696,0.716959712668237,0.605922221645815,0.593203206554342,0.734754838153288,0.595444680417798,0.603873942559794,0.880361476095947,0.988636363636364,0.916326143306528,0.877435028616665,0.634654787715058,0.754354964034862,0.713844725793956,0.692869263803194,0.580371818533024,0.479679607832822,0.860602322380727,0.970168260541844,0.737220286309307,0.760948199938023,0.864875779161528,0.709709198470571,0.895670002438152,0.624297455093269,0.852153579671531,0.869373453321145,0.893058585776794,0.970533075854851,0.749896431373976,0.740361523892682,0.625924148325012,0.777282845325686,0.90168715983069,0.674199822696759,0.932439626640548,0.868478852196128,0.851357641845818,0.826212857430354,0.818459803941394,0.762355981039425,0.871280700665755,0.756631252880946,0.547673208902514,0.873298622813967
"112_3",0.828992172872776,0.764800969361427,0.87152558916394,0.762692120004754,0.907718349972598,0,0.885208599847812,0.877566873389858,0.728435750521415,0.924573516147272,0.747676814869796,0.738088603659399,0.697534185624443,0.820952963360437,0.826451840336926,0.979999543966474,0.928633634885943,0.932079808278351,0.722273155593479,0.913843717984203,0.903659708845622,0.757350382765975,0.522389106919315,0.911210556025506,0.890298075281294,0.947763018528077,0.92744042787309,0.746364508913048,0.763132381740911,0.832814749577816,0.944725375811217,0.729162355569837,0.821934342749433,0.882371783978874,0.90953502584752,0.932566443864072,0.951922508881399,0.736019836451333,0.812076877799075,0.894612943996027,0.583107248655981,0.885815959243758,0.873075978119548,0.909801350575972,0.959044077512114,0.921698302826676,0.91610678034316,0.911929548230877,0.963115558802135,0.961880974583605,0.965504757735575,0.915308339768443,0.909180524314104,0.944338340215646,0.905833811526276,0.936211341597222,0.699232517643451,0.90078989624852,0.853163087282092,0.777119081653306,0.711510781975784,0.913039146874401,0.852123726600872,0.768931326495552,0.95640570638214,0.915889875161352,0.928038991411316,0.959712262758102,0.934418842865359,0.922195455692389,0.944676258233997,1,0.977074404775006,0.915057011038177,0.990692947627826,0.922032043935439,0.789774101549814,0.89804960404934,0.841241529587431,0.821114122388848,0.777769381649484,0.928040522799636,0.854380478273745,0.7340644436215,0.923571604965539,0.608581086417588,0.702997699795792,0.731420950394567,0.747926678857832,0.850771090102351,0.809628603267306,0.78008666994118,0.796538331241059,0.934046556203053,0.922592358839541,0.817266626240973,0.876811594202899,0.88917388032114
"112_8",0.938889568332779,0.862231909506043,0.880015811702785,0.796880188880811,0.761004919661338,0.885208599847812,0,0.870747609440017,0.914940534232428,0.775938383348126,0.913310304063799,0.912055561431512,0.829453547505209,0.792017402197422,0.771894341988362,0.797569654274629,0.6208448620141,0.741510347301259,0.888415272152942,0.768011215654785,0.917695117890559,0.935229707574951,0.887157848003745,0.885650366447866,0.869901060101802,0.755214729619571,0.822942811499013,0.756016097399349,0.874459285058405,0.929965569734154,0.75865306826503,0.713993691563021,0.936385946374629,0.759570233689413,0.772123506160233,0.728290576471936,0.725199769407712,0.874703487913872,0.850759823743571,0.745884501916311,0.823158560907879,0.658071794436791,0.750078376489145,0.703764052625988,0.714226851687926,0.72460643462171,0.66963334966909,0.75972982956756,0.695336902239038,0.717434953494076,0.773395057535548,0.737621249958776,0.725194810413054,0.686160345451989,0.705268817119614,0.754958037060639,0.888057419206567,0.682986504268545,0.702801614358682,0.81378310811087,0.866779931720144,0.965685703430327,0.939291452749619,0.874490869729588,0.795274924596821,0.739417884905719,0.724617280323918,0.741172169286331,0.718787697603503,0.715562280132575,0.738600700049615,0.969396452614994,0.902465838576413,0.675136755144229,0.817603161528608,0.812430793227688,0.906000313402267,0.834628990683271,0.887618150196639,0.914060207174103,0.868946193841994,0.934492624925435,0.849368893275194,0.800488282181072,0.729398479910542,0.79889392802779,0.858840268205942,0.721153882179311,0.845275424219613,0.984976331028534,0.875943652031976,0.86086747171281,0.939178915781888,0.65687072115034,0.685955266316864,0.797327114415186,0.77915192675979,0.787734981607811
"125_5",0.829772839392407,0.701577086906044,0.626190303401791,0.670227361503504,0.891634861913212,0.877566873389858,0.870747609440017,0,0.465621661891696,0.723416991170606,0.826413129905514,0.761149252307214,0.860559769035907,0.820434479510434,0.931444680410479,0.961649832379174,0.87116450456149,0.884864733833059,0.677436837127,0.890099204640738,0.790130236851328,0.907331085894936,0.759722058259418,0.735461221409973,0.827029745573002,0.915843781330251,0.845612403667991,0.791544830090135,0.650583716377901,0.632376049355631,0.893840104706165,0.857356473826996,0.976885496669149,0.852544674069778,0.925014308683036,0.882586234929195,0.963719780189356,0.760833775679748,0.883113869764235,0.88748687559657,0.858830234503123,0.944092743589411,0.916931330068019,0.832205364633812,0.950671909654684,0.901525709215779,0.990697674418605,0.882367728556049,0.914844374016158,0.937374414381685,0.94371087359734,0.898353522969843,0.945790104832123,0.915390351375871,0.896797834579712,0.935541428757689,0.861685008994794,0.937990658067665,0.883280616955883,0.831118932291453,0.815982079746259,0.86776531357587,0.751678038198338,0.794014570490191,0.96359239950836,0.948044021728679,0.854542503886419,0.918453363081303,0.924454816158228,0.919145423521409,0.93164458652319,0.947728397856383,0.986881488084935,0.908569372283785,0.938493720213239,0.933165968022455,0.780253199144018,0.891064680535664,0.789650781925617,0.803158702902158,0.547729306118873,0.625096472575012,0.824500115958177,0.744763172834761,0.817084390682372,0.863295842139009,0.718242532804623,0.887478837280271,0.536804019658926,0.664025849144149,0.476348828124537,0.771478409561085,0.402529572319007,0.926711591956121,0.912389848385887,0.824480750183495,0.91012376452948,0.876184092184863
"125_6",0.87652041136502,0.730296928772623,0.736295859993303,0.714319336521089,0.901773564531193,0.728435750521415,0.914940534232428,0.465621661891696,0,0.840186302495948,0.801292323975932,0.807273278006034,0.766798873822378,0.764878846716353,0.905372483769249,1,0.917023974374816,0.929264825724856,0.688272225849394,0.893996114456616,0.767723363961038,0.802332194589304,0.650597920268688,0.857890904827694,0.749323817652073,0.892193422491156,0.885422084586618,0.782943337589606,0.540392333312127,0.661971609041857,0.911894730110827,0.826633575911949,0.906205512826288,0.866462184199597,0.918849583067111,0.917230380367296,0.970731707317073,0.752805841615511,0.837572930533004,0.910289185377987,0.767987886281183,0.906496389116476,0.906820016692998,0.890589221941014,0.9549993885005,0.945603038083885,0.924801548124006,0.923577686398605,0.984170182937383,0.951920890351686,0.960357687314691,0.913437618452652,0.955792419058638,0.942823883271973,0.916947413430429,0.883814976011818,0.817078517106893,0.951290136878825,0.877573781216444,0.834246880728245,0.774070642927633,0.792619552009577,0.709697017424906,0.716798351176867,0.968137323103003,0.95706889346338,0.932439626640548,0.953774437510816,0.955965222402535,0.953917050691245,0.8843330101209,0.969952662057069,1,0.92853811059626,0.859649437293207,0.958984420310758,0.681108866271357,0.912522215918924,0.81976433002359,0.896140106480707,0.6725424987537,0.810038707123361,0.811524365022016,0.634179000444253,0.912651646973683,0.758584083643424,0.633887893004897,0.826578809153571,0.561017271389387,0.6748727962958,0.645846752971857,0.778228875858946,0.554275817872468,0.957836400817111,0.923063582024719,0.867493833983701,0.903578937424279,0.840893017943778
"125_9",0.951205629698133,0.684731429235288,0.809244664352826,0.778891699687734,0.688180862107151,0.924573516147272,0.775938383348126,0.723416991170606,0.840186302495948,9.61027951144475e-16,0.905263157894737,0.813349128020561,0.778891644223668,0.601561237980084,0.729714400368516,0.753017922615548,0.737096041122023,0.666197590609577,0.731621495994879,0.498919837832361,0.762169741643464,0.800045694058273,0.729330850423945,0.802790668351333,0.80574941487538,0.675544121346241,0.779251892962105,0.641391577320086,0.741516813746153,0.802732143140313,0.786486298593093,0.676307718473533,0.917772229142888,0.774093682563066,0.636828124186599,0.650998115502545,0.67499440833333,0.827614127649516,0.799081334588164,0.763304612302462,0.79432402823224,0.871971979368161,0.80044633096777,0.736364648065537,0.797807607587237,0.7747038464171,0.800587313607541,0.8036364038019,0.738921875706869,0.747646640902448,0.834863940473148,0.736763742046828,0.710885074801431,0.72864576772075,0.771584087214858,0.656007474273018,0.774623891997472,0.751373263513554,0.717313518782384,0.781038848406355,0.845556310356152,0.952330242292189,0.866765087776812,0.917728939651092,0.755761688856011,0.80854612081402,0.716289715316355,0.817431882446938,0.788926207269867,0.673494856270101,0.839161851218591,0.982758620689655,0.822692297973486,0.685875062288095,0.878182291619223,0.740591126565847,0.898911015201354,0.729712048660349,0.856623724312635,0.866579065972598,0.764107764134697,0.802020140398984,0.597267859056345,0.76482576980608,0.668358284145086,0.768217199721272,0.883999317808796,0.751519711134875,0.783203923414419,0.865918290961646,0.734053738357416,0.873919547390564,0.756992148474877,0.68790057196747,0.753180236398778,0.764193491243128,0.691995521316005,0.768416511898507
