"site2","100_3","100_5","100_6","100_9","142_1","142_12","142_13","142_3","142_4","142_5","142_6","147_1","147_11","147_2","147_3","147_4","147_5","147_7","147_8","152_1","152_2","152_3","152_4","152_6","152_7","152_8","202_1","202_13","202_2","235_1","235_3","235_4","235_5","245_11","245_2","245_4","245_5","245_6","245_7","245_8","245_9","269_1","269_10","269_11","269_2","269_4","269_6","269_7","269_8","274_1","274_2","274_3","274_4","274_5","274_6","274_7","274_8","315_1","315_11","315_2","315_3","315_4","315_5","342_1","342_10","342_11","342_12","342_2","342_3","342_4","342_5","342_6","342_7","342_8","342_9","358_4","358_5","369_1","369_10","369_3","369_4","369_5","369_6","369_7","369_8","423_1","423_5","423_6","423_7","423_9","44_1","44_2","44_4","44_5","44_6","443_1","443_2","443_4","547_1","547_2","547_5","549_1","549_10","549_11","549_12","549_2","549_3","549_4","549_5","549_6","549_7","549_8","549_9","Extra_1","Extra_2","Extra_3","Extra_4"
"100_3",-0.00333041323011729,0.469295787818801,0.343556338771783,0.333070108034408,0.540921368321703,0.452719634228188,0.503526277181081,0.427868326632578,0.585302314853379,0.595091534124686,0.653957326623754,0.398804368540598,0.379217003610828,0.432273158958125,0.427202740078281,0.441932240394314,0.438503607337535,0.589750357795875,0.444140924664588,0.405266705501921,0.606263517679442,0.472207976391277,0.474929472256546,0.595875479053815,0.480066936029566,0.462039684605918,0.485120966355393,0.364886294420511,0.388796809781337,0.577847313097551,0.469920195697001,0.565377596668408,0.71543492674022,0.473376172530786,0.524895651569152,0.406660925643611,0.461280757376091,0.58148857708589,0.470295933415138,0.439621417387244,0.386076775093128,0.495033460001787,0.410858833301744,0.522899551513094,0.411761592278145,0.450228248513391,0.473064306642536,0.416206205345108,0.52101524194511,0.537175924082589,0.47638743590733,0.52532573053751,0.59099660240053,0.446921207752734,0.387620329027361,0.483083552252669,0.451013542514471,0.469843769383779,0.717470284706768,0.222575902345794,0.462773236143715,0.443925472176328,0.189048157609822,0.52768075191267,0.524418592937014,0.405282261691966,0.324375734384733,0.614048577709139,0.677995541484887,0.531155274576049,0.590208326236302,0.606399481958684,0.522239369685138,0.515916974563544,0.516033188266815,0.541346589532768,0.46498073146426,0.349327330443574,0.483402801535005,0.423947418107665,0.457995477053875,0.39846627624206,0.423849442920995,0.488278607157073,0.527335406273356,0.606396758747442,0.71538292629725,0.659551050014323,0.530117650475308,0.633048448728389,0.61216009614937,0.684974396507412,0.409335857271315,0.543655730247026,0.267815601971443,0.239681475449527,0.416500623985879,0.450855320175382,0.552449732905942,0.447631946460016,0.424759293553011,0.432302251531608,0.412709854157241,0.610050152517541,0.563636948574446,0.418781471687614,0.504315514183538,0.533094350333358,0.458367929959564,0.45525065860582,0.446585045624834,0.403343038494785,0.550700884357826,0.4817459759608,0.457096908263464,0.486388448343659,0.495872315251364
"100_5",0.469295787818801,-0.0015232054005212,0.698313053182278,0.319836428718616,0.0920163115348573,0.124543435142947,0.233608827616437,0.124332555156788,0.1126219946081,0.123037936676739,0.272666270274576,0.114687710372317,0.196677478848455,0.133641547811662,0.0866375506945252,0.218685720050812,0.109153422059623,0.109914259164656,0.0721532241902507,0.248370734784752,0.220163414059075,0.224843801569765,0.266504747159223,0.205354406602915,0.220872747609203,0.192344292830626,0.114798635099483,0.144475225202361,0.17360981221941,0.132734915513813,0.181420893678919,0.148116485562582,0.311947890339036,0.164853774946696,0.110041075729175,0.183060128473497,0.152593163728873,0.127358916687228,0.230923324061097,0.145713510236529,0.172546489335665,0.114911176299361,0.100048637031161,0.0855030004702606,0.172006592271046,0.12561251101143,0.193403813508518,0.173182857061908,0.12992024664193,0.113579252437125,0.147357425696625,0.0908098921545522,0.25087272706753,0.155750110728733,0.167833893299134,0.107440117747767,0.201551923033073,0.118463919718272,0.396120181009512,0.660559398439733,0.122643585330712,0.186631006618912,0.69677498104677,0.0520369555494336,0.165488646517641,0.199948324836443,0.176001471085164,0.192416067650133,0.29077535561352,0.0800984014584443,0.145776446118255,0.13387225847896,0.0932254385567193,0.0964264368460934,0.15229338442121,0.0769235237535486,0.170595079986505,0.230900866084015,0.118331867410989,0.0862658369650811,0.139393833230036,0.128824215406157,0.225564837529195,0.08192957146486,0.0906825772300057,0.286748010114825,0.327662948105809,0.329488124802926,0.0937290765467664,0.304848131399682,0.869201517271344,0.252707368339061,0.17635770361966,0.201899914476243,0.230131904298365,0.288308383679447,0.143198529505847,0.195559442857377,0.15585298136624,0.161306872608079,0.0873265227111335,0.104491168327993,0.121494296921595,0.166052270926535,0.129568533271067,0.136348546959273,0.112978691569418,0.101936296258883,0.132784309851256,0.145989989677178,0.119542881834242,0.141778118969621,0.0995144602464404,0.164916401558594,0.0993787394321961,0.148562650066701,0.141817278609243
"100_6",0.343556338771783,0.698313053182278,0.00197209917193075,0.654251780399731,0.726614537894799,0.653919791439492,0.6371184095463,0.624475687760988,0.726843855323134,0.776182812929262,0.806123236248932,0.608508168263723,0.540493054259753,0.607167559156259,0.625974111149082,0.581294606193345,0.629816204947821,0.74177957606833,0.666552571008289,0.560232258648542,0.738791478368827,0.60964872289921,0.616741514117192,0.718638106470684,0.672081895683787,0.666439010487523,0.692528993349385,0.610801694820585,0.630668769582101,0.724864871328484,0.675663192899101,0.696788493857193,0.809957587299073,0.62978142617098,0.701169408251287,0.592581259030045,0.642964070691316,0.727165920499856,0.616462558981107,0.604696334669272,0.563716727701068,0.677007037101847,0.632931769772784,0.708539969573031,0.579258609533759,0.636124521814555,0.605054917518427,0.56956183202633,0.670764501775967,0.67481667215883,0.66380723941434,0.7199420540001,0.773548141874804,0.649498045285195,0.57560557452555,0.65332578294939,0.610402147961507,0.669873424846337,0.851650501124636,0.247477282129061,0.701703538547617,0.701941825281004,0.207994490661967,0.732036798528873,0.651545159911258,0.567850113931104,0.535991872398595,0.768343275995452,0.811503767147765,0.71829432576023,0.760175407906592,0.743379664017753,0.706175313238096,0.709262027683849,0.667864841547431,0.711140863954582,0.60966059461251,0.531169188646994,0.660107971376926,0.659979651330417,0.633957464866331,0.61763778515819,0.565606684853183,0.700889706408741,0.696981103152689,0.782159455548614,0.835001722042639,0.807469233068254,0.712963333458762,0.812060084098901,0.483777810458033,0.802039404527704,0.65563041508986,0.735885253132869,0.557667294327737,0.518834263901394,0.626938702248056,0.610267460126021,0.721447184404153,0.592377124495912,0.616625786389263,0.648885137575801,0.615497669132836,0.758557317322404,0.720045409473872,0.633163382981956,0.669095613594384,0.719613691751619,0.643283509862835,0.626544730703426,0.637417646680954,0.61824529478134,0.705219977875442,0.643451357572628,0.656343965323632,0.657193345061023,0.648239629102626
"100_9",0.333070108034408,0.319836428718616,0.654251780399731,-0.000932809106792387,0.380535795323472,0.304646335073232,0.302919285997632,0.341331907026216,0.409014757979398,0.449265256978694,0.344003350034397,0.333166335128088,0.324205824458073,0.302459142381387,0.327315693379867,0.308952018981005,0.334821792025526,0.407236068586635,0.351057985246586,0.312097647456712,0.387724534343864,0.293355984778413,0.310151061914065,0.341802201934027,0.241762305079109,0.234841770416303,0.244993704766485,0.226129862798457,0.18450777396146,0.415980884042608,0.178341849255475,0.365220559576119,0.455599853965696,0.329803065839622,0.381067444199363,0.337771616385446,0.368848655683502,0.404276925073925,0.321489196039056,0.355237313764654,0.334133871360147,0.348246464197057,0.360419946208073,0.381549150115126,0.341564478459354,0.342716115670156,0.309493384061678,0.327967038346321,0.37024156166247,0.352082416974074,0.323453725526487,0.396118419804498,0.21771100016627,0.287954428200536,0.277986027322226,0.33649069327715,0.281414927687235,0.26516501142504,0.393316855445169,0.559589316377278,0.250117422344337,0.117072070277966,0.529792883320195,0.412989107860997,0.35207543896888,0.317924336437138,0.355515745413092,0.348692015009394,0.356622533505344,0.338225279635393,0.340319367124209,0.378894943979466,0.317517129053561,0.346485905902333,0.331022195678011,0.356528671194895,0.297738350778414,0.252504643885366,0.343362939278729,0.360646927310782,0.309099769095007,0.250937991862069,0.322197107443338,0.31076737176156,0.366120360853264,0.243249756905298,0.41459725823524,0.350360654121833,0.378606725800513,0.259781350948321,0.838282465707195,0.397392315632057,0.216154375471325,0.286023604646977,0.100753466650565,0.188069001672508,0.354268115444357,0.358660636635524,0.307093636502567,0.345797319080977,0.334623785017726,0.361888723036808,0.355070926119941,0.392602778610502,0.414625575730194,0.333343031556274,0.380427042993598,0.406783437591639,0.357551890933192,0.355284860974487,0.376076014010789,0.35747209636332,0.385054939942085,0.372760471923166,0.369268134682411,0.375559074463553,0.368287564767998
"142_1",0.540921368321703,0.0920163115348573,0.726614537894799,0.380535795323472,-0.00127950984802228,0.112334052110891,0.274399924169374,0.116130757114166,0.111295796215314,0.0675645489631307,0.234540993932863,0.154279347792722,0.204548493916256,0.152650243631389,0.0976279792676038,0.273885077009945,0.105306187705972,0.0758130969098303,0.0717617450573682,0.32146961503918,0.213832101711551,0.254831924040802,0.27075524411996,0.194252847228058,0.233099396689607,0.192052873988428,0.114358509019842,0.161379519933493,0.207739503240843,0.0961360151161146,0.181766429120468,0.135588662659172,0.275201993586583,0.185414768528825,0.075259425080316,0.206054502660057,0.121382865765846,0.130676430081498,0.230407042364404,0.152267176042492,0.204730098668605,0.0991567149448656,0.101440831985624,0.0568031610627151,0.201962110718201,0.108876848100975,0.218773874944105,0.224585143095122,0.125821588983064,0.119907562390272,0.166292747500413,0.0640473520319533,0.225451809808509,0.178554905539234,0.178638776733128,0.113730799621482,0.206061900792889,0.158261436857044,0.354831152848422,0.713401373425901,0.0934003626155255,0.183753053153822,0.735207291182624,0.0874068608521281,0.166695314738003,0.213717866746347,0.217941677367214,0.150102877423896,0.255890027509813,0.0637134494055911,0.0994127314747917,0.124061800908786,0.070201476072961,0.108131402430102,0.148396735949964,0.0493731030806153,0.161734227979617,0.267570715371974,0.0956436274457313,0.122138520912658,0.135929478108952,0.153655292032129,0.229835884328603,0.0529743827774969,0.0456673354509691,0.266114946814257,0.287040162319329,0.283944317537568,0.074279556100769,0.257715215527785,0.879768807751387,0.223464404330801,0.203125129121613,0.191033088070049,0.309303762437193,0.318900776088222,0.131787163495815,0.215230191908278,0.110963229303473,0.144715621023871,0.108310091753374,0.0956214919421268,0.119724197811258,0.108087478467115,0.0996732574676626,0.163839179970457,0.110683317506636,0.0669988560206922,0.148639010774432,0.174218828172663,0.113424883593143,0.161797328985099,0.0808997909701474,0.169982128060208,0.144811710431895,0.165847621369812,0.122483749115929
"142_12",0.452719634228188,0.124543435142947,0.653919791439492,0.304646335073232,0.112334052110891,0.000249729921728337,0.219691245880976,0.0856635516720401,0.128391074888021,0.174528083670087,0.285890086339829,0.0927421625570064,0.156693749790573,0.102833960210745,0.0980718075707341,0.227073349091141,0.098208979584536,0.163800897187888,0.0899934023461204,0.250317176198296,0.24805513667154,0.176028563916623,0.228194378537917,0.199738513860812,0.22076619434451,0.160282351999678,0.152716786118627,0.0873697075765949,0.097822736225021,0.146917762687726,0.166798453658003,0.169376014444585,0.346055908836329,0.162100776641803,0.102388904676525,0.184564534575738,0.132091706864275,0.159638375648987,0.191681884184182,0.108492049394891,0.163821814208537,0.0812488116889181,0.113894563312239,0.0839759563732043,0.128602709644377,0.104597348624113,0.120641016984387,0.116708903083512,0.0777166563553404,0.0949181409066608,0.113556839867895,0.134467589981859,0.281738657037416,0.139183144850634,0.127619821165975,0.0803579619080912,0.102027608997155,0.114134573387138,0.45525946760844,0.637200715143736,0.121763096421902,0.176939597832479,0.662614840008012,0.153348759730501,0.129392237870885,0.173974984709516,0.171915293323506,0.20623268305459,0.338884518658728,0.119851972259756,0.205324359069828,0.173962992647992,0.131846915239519,0.176198136046031,0.166983943332318,0.104432123974912,0.0907624149542459,0.184875050067711,0.0847531552856444,0.144971529195148,0.100500616897472,0.103315310478456,0.155742189843067,0.122773404659404,0.106582950326884,0.304444194365622,0.362309092324039,0.341371481914638,0.146664757594247,0.302448424098198,0.849823219744281,0.274810688572266,0.235183123084381,0.256630260176687,0.228948492157223,0.279890554933405,0.114635454625941,0.158665889289505,0.146066291333069,0.129843057807303,0.0950553367323068,0.10286294373902,0.123250389260177,0.193088686579285,0.156929608898062,0.136888431762434,0.151252557954573,0.135955560225003,0.137823277983953,0.145365345242863,0.117133755189541,0.15727521715163,0.144175389030558,0.172978303855374,0.155085467686253,0.149057739356458,0.137610875254292
"142_13",0.503526277181081,0.233608827616437,0.6371184095463,0.302919285997632,0.274399924169374,0.219691245880976,-0.00229185663048037,0.211705824223866,0.285631012522396,0.365080593301599,0.362102209448727,0.240603740686094,0.228676409603118,0.162753676201064,0.199523771605196,0.0917293718572483,0.176823366238374,0.190973661994083,0.251888840632135,0.0761830035879425,0.126487131492166,0.108723848250771,0.197471222723945,0.170484564822252,0.0665911910889576,0.166464939778831,0.180533562853925,0.216256974850609,0.146004825453157,0.29271125083791,0.0832864410557803,0.252338899807071,0.299848997472016,0.168281923927768,0.262032054728766,0.254737718793412,0.27428251556975,0.273143077589681,0.171802856555967,0.240941445791553,0.205934027991699,0.249755386322044,0.260982259105545,0.245909928014594,0.266412020941939,0.240561827271802,0.237514963434665,0.242200203489688,0.244563095270235,0.173112750741855,0.243530775460293,0.284149579811816,0.202900448141901,0.214674725263384,0.2123900888826,0.227450276470197,0.188026382943948,0.198583420125313,0.440343018178725,0.611725529337133,0.254113213835336,0.201235241526037,0.613589468652201,0.270264724656041,0.150583896847875,0.200768824609369,0.262835239245838,0.283576770680984,0.275562997280895,0.290709818416623,0.311544099254847,0.197090129634773,0.167058777600886,0.24728219439552,0.0713467210833929,0.196428615158203,0.129240290139278,0.142676889556924,0.215207235926875,0.258104928740872,0.144671848866159,0.175338707421424,0.242089150277057,0.190208959889413,0.254642112742055,0.337247163264082,0.360863054607047,0.411474495811746,0.304386627675646,0.317733272221881,0.855242844684401,0.299496343136938,0.287263809505668,0.308340149916532,0.299351711019898,0.251183564022111,0.239101298633912,0.253645055787222,0.153985883537831,0.234839898088187,0.20966745192678,0.240734824691996,0.234703305672751,0.295209429522297,0.266991342607006,0.206394949572462,0.24385759170654,0.307584437962102,0.251541959609377,0.209243501964144,0.260774422922763,0.255241305123269,0.228813077899525,0.244792187910911,0.253305977243872,0.242369041853639,0.213781237434346
"142_3",0.427868326632578,0.124332555156788,0.624475687760988,0.341331907026216,0.116130757114166,0.0856635516720401,0.211705824223866,-0.00109780087384159,0.146873792648444,0.185305684347156,0.339697602971027,0.0957776385192823,0.103118934220155,0.106621133158766,0.072744880671149,0.191062822904596,0.0471976146626745,0.153567859397191,0.0875433302722948,0.204879538393633,0.219669000776076,0.191706481392789,0.223504636638399,0.218983097060622,0.201558981450158,0.156437989569379,0.143973281021406,0.123509720374928,0.159271124565017,0.1400489165683,0.20561714652139,0.181621878408601,0.35702711475525,0.0880045883280638,0.0864033129965236,0.130008665968359,0.0731959013711769,0.131292657419344,0.147931720186871,0.0724098622070179,0.0873087856200494,0.103999057565729,0.0712918499978785,0.0869639587754834,0.159702903753361,0.0752409768513782,0.173237467398853,0.124526258760077,0.0993372504152881,0.140411609043442,0.148699303059677,0.12597306356234,0.322736735559689,0.181997743921415,0.124871431297477,0.109101793288757,0.145101745938037,0.166751158060652,0.487017010773605,0.615606876763696,0.113720054334061,0.225258384894414,0.661325327307157,0.164343381162606,0.148721300638943,0.182316664094977,0.160548281177726,0.236735479127008,0.370639409310669,0.165320605045675,0.248252093965016,0.214553977470756,0.145917625609894,0.170380870433754,0.17134270259885,0.123195654155362,0.116240043587879,0.188478855699002,0.05969119011961,0.139669096262457,0.0957889341159084,0.121837972714287,0.197798509951485,0.13065802759157,0.133438224297304,0.350729891296633,0.422603729809736,0.374708590788895,0.15891143160087,0.369097566638807,0.830689473054049,0.308255949194101,0.231093714870365,0.268294106884583,0.243903033102122,0.262572216248963,0.0561197718869331,0.141461528435274,0.167107215753708,0.0851973194825713,0.0571617653301342,0.0612893355428268,0.0824568727284509,0.208375417237018,0.127108279138623,0.071149946820249,0.107477431128165,0.143732820363065,0.0821253003931028,0.108701796573748,0.0791957635434171,0.108166743736591,0.124158532383005,0.121086536912822,0.109071979279568,0.114159632306748,0.0912515789681962
"142_4",0.585302314853379,0.1126219946081,0.726843855323134,0.409014757979398,0.111295796215314,0.128391074888021,0.285631012522396,0.146873792648444,0.000632706612671674,0.154217007578181,0.198649262554369,0.165568166770379,0.206494792409365,0.132241416149266,0.139590546986643,0.29630273494449,0.13133934462126,0.105509166067035,0.14181566804775,0.332686380413139,0.229783366145043,0.267833839844173,0.290209049403755,0.181757364178192,0.265599463033336,0.215831752142132,0.117459847269015,0.195742808632876,0.183551617615103,0.0652096354621203,0.204887430568509,0.143070088229363,0.273312746421894,0.14768364609406,0.0707398054794444,0.237165482423503,0.15071238575094,0.0457664790563259,0.245626729840433,0.146017538888595,0.208768852708104,0.108462552976667,0.163546747332262,0.0844737588767843,0.212322052746047,0.141396874208769,0.184283548851439,0.163156512023288,0.0706030785680758,0.0986341862887812,0.118631484982307,0.154088203956612,0.236846708633026,0.201486248686046,0.197363486594886,0.101772969387301,0.212066932425211,0.117768854067144,0.372600917761075,0.722536436483934,0.117904843864272,0.201577062500448,0.749410496758935,0.111531584013466,0.176794507008069,0.247021023548551,0.283102573983637,0.127233424043806,0.238283400176254,0.0985393690938059,0.141735276956251,0.104243262899825,0.135655871821063,0.159620404622592,0.190173084450197,0.102981745363792,0.166550967231497,0.278129658487896,0.110065168738312,0.212206998566607,0.124533923924213,0.152882849937128,0.247829923649031,0.131297445119239,0.0975235652286504,0.261093323738737,0.252664106934883,0.291058682987053,0.162804276127259,0.255432725126949,0.885076806586132,0.151860359107704,0.294489011042954,0.255874281116594,0.334885070918694,0.378298991609248,0.171442088516036,0.191243744092842,0.13400927105361,0.169592195211501,0.120076754439086,0.168398620543592,0.195238147231955,0.14179937053419,0.128883031464075,0.21735561339084,0.120192309761952,0.1559125617004,0.150967221419039,0.197477019721751,0.184556029912488,0.229647865968516,0.109879379952559,0.176160962556688,0.157032923723308,0.172805446107734,0.143759268744657
"142_5",0.595091534124686,0.123037936676739,0.776182812929262,0.449265256978694,0.0675645489631311,0.174528083670087,0.365080593301599,0.185305684347156,0.154217007578181,-0.000258305482167209,0.243069475533539,0.218876388699656,0.311124605235003,0.233411253498902,0.162093985194619,0.369560386725369,0.173273063608937,0.0964713429890809,0.115997958114932,0.417936487590816,0.257953096951142,0.366119075795746,0.379058474443472,0.240579089100342,0.277797677282216,0.254478116982549,0.204110900347815,0.259226818173108,0.289778177166011,0.138325578865549,0.280336732166244,0.209972738006575,0.28641857079413,0.279609449059407,0.115251125816843,0.296469647613776,0.163875987259709,0.167994751286437,0.328362269254632,0.215088859190421,0.279032619376452,0.170450450917135,0.150311156228564,0.0753073754352049,0.301782104170894,0.174416413007164,0.314958675245825,0.314672575275873,0.196108131071879,0.199687369797515,0.255459210878567,0.054896720756866,0.269648907201343,0.295074381609051,0.294916576822851,0.189659130704997,0.31672128052075,0.230707495827769,0.398518062091446,0.756663744044468,0.135900303235482,0.265048735156661,0.790587850624868,0.0798348645176936,0.252927528745235,0.345395687621257,0.305901413625978,0.19645485302951,0.278731960228188,0.104199650776796,0.113917040281208,0.155058717966118,0.127225032417351,0.150670310312001,0.214435981421644,0.0791241869407033,0.25974488452813,0.375620506180857,0.154820940272999,0.154602961019361,0.237958110016515,0.23832393933606,0.334195839578902,0.108060418693879,0.115839315553509,0.307428999360528,0.293148170141372,0.278567579082441,0.0801396345088818,0.268668911476289,0.897096647551586,0.262706562475867,0.260026441423582,0.234210377792991,0.399362656631401,0.43323668860257,0.175107327061938,0.304513729091864,0.164695052991419,0.24399636427338,0.177663516910587,0.140576294925761,0.18413836666257,0.134006245114648,0.134272294942316,0.195210158545031,0.178965909503672,0.0645583393148599,0.212912693965697,0.244250498792144,0.168668103570464,0.202812754859702,0.166653903857283,0.257551841104804,0.198858830504401,0.217760208040389,0.195612435724791
