"site2","100_3","100_5","100_6","100_9","142_1","142_12","142_13","142_3","142_4","142_5","142_6","147_1","147_11","147_2","147_3","147_4","147_5","147_7","147_8","152_1","152_2","152_3","152_4","152_6","152_7","152_8","202_1","202_13","202_2","235_1","235_3","235_4","235_5","245_11","245_2","245_4","245_5","245_6","245_7","245_8","245_9","269_1","269_10","269_11","269_2","269_4","269_6","269_7","269_8","274_1","274_2","274_3","274_4","274_5","274_6","274_7","274_8","315_1","315_11","315_2","315_3","315_4","315_5","342_1","342_10","342_11","342_12","342_2","342_3","342_4","342_5","342_6","342_7","342_8","342_9","358_4","358_5","369_1","369_10","369_3","369_4","369_5","369_6","369_7","369_8","423_1","423_5","423_6","423_7","423_9","44_1","44_2","44_4","44_5","44_6","443_1","443_2","443_4","547_1","547_2","547_5","549_1","549_10","549_11","549_12","549_2","549_3","549_4","549_5","549_6","549_7","549_8","549_9","Extra_1","Extra_2","Extra_3","Extra_4"
"100_3",-3.20342650381492e-16,0.382562674610262,0.44351801508848,0.355933553420315,0.433555203624684,0.420772225446397,0.513672430406081,0.37680814522027,0.483515407585213,0.465591075281257,0.495010742736904,0.402070511808102,0.393638009741955,0.435394270368749,0.406865031213155,0.490236653680727,0.395228964406584,0.510222636652433,0.392449445362261,0.453803308234919,0.531671739210098,0.481880398469965,0.581933808549304,0.547485202090271,0.451933770755369,0.440840962000122,0.425367866467303,0.393194367475411,0.408660427345997,0.524430997625572,0.410620215525006,0.504802184280356,0.672232370301889,0.470335420638597,0.451318112022746,0.477807935706565,0.405727510452717,0.505147896677283,0.485653012016515,0.42969958444629,0.4177950807328,0.456004969891316,0.38374159035325,0.445199295039272,0.44205742019182,0.447173477436649,0.511628478565684,0.439074088302381,0.495783904577199,0.498793270806391,0.475258861736325,0.454305215777982,0.464974724105632,0.461457625860795,0.437832594707401,0.443681535294277,0.480951486766277,0.432902409479174,0.561831193667248,0.343893316673725,0.395297475089874,0.415428766439604,0.332594923935591,0.4262724543882,0.58541249969913,0.446946309506356,0.369221296029351,0.478369810755033,0.523970253898535,0.434290311763772,0.462126682548047,0.503449717937834,0.432006978907654,0.419289443423378,0.438599605227995,0.470595534810733,0.484667583595214,0.42008664422344,0.438348701724744,0.356525769108912,0.416115910128812,0.364813042174015,0.478032942143589,0.413707329948148,0.448566103247615,0.493399929976288,0.573813458822037,0.531997440114316,0.485694098974776,0.525322285949452,0.528965432317546,0.54792164149364,0.339046740893957,0.447390024935297,0.339038182171486,0.318306196201033,0.396896399573399,0.44901716741133,0.442214247482111,0.414022372953193,0.366832236422693,0.373430162169355,0.381419284572978,0.484830831428211,0.48148136704204,0.423712797535667,0.426644505636537,0.414140414928429,0.413650293294273,0.456768205769347,0.400284680136333,0.424747283558349,0.452502075020377,0.476625214172009,0.440763084111404,0.470153569912861,0.438994841277028
"100_5",0.382562674610262,8.64925156030025e-15,0.60198267551236,0.403946640427516,0.225987057489396,0.290308501877807,0.432472065410367,0.249850532888983,0.243342997433297,0.195263405286524,0.302579356116408,0.240496082368108,0.276575193773328,0.274294229941614,0.217341787543559,0.364171148122961,0.234746926273423,0.214000165129152,0.190571367539845,0.396920750090504,0.367863041064411,0.329578234445717,0.47462475327133,0.351544476402696,0.381874117222688,0.342385331848366,0.237841529565806,0.278569623691745,0.290136930878775,0.287871171584611,0.283926315046818,0.288464926575264,0.500180918670215,0.294271869079783,0.23349123043201,0.346424626970164,0.269540099899584,0.252068589928416,0.378820064718445,0.298050003798217,0.292385772413224,0.278825334973096,0.256754492430326,0.233699339714768,0.295986092962067,0.278210874053611,0.368564539300891,0.274507898409805,0.306228711271076,0.273843208600985,0.304207173200861,0.237552163274098,0.316828648537504,0.328703091094871,0.32194614775047,0.220247156270827,0.335858766641822,0.248258375405795,0.408106746490868,0.551390238789269,0.227603712236245,0.28868100438708,0.602836203788545,0.14535017691943,0.420799293576623,0.33893463330385,0.321351458311185,0.269868234936846,0.321080505128622,0.193087286443819,0.235170105435955,0.225950993741464,0.238016221622051,0.181604377842193,0.274048932158819,0.232689068186861,0.319898501071868,0.362504315163262,0.234710404168766,0.215384046370394,0.266313684349158,0.254539127714388,0.360534520231282,0.23428179416335,0.259249140436991,0.344266808072944,0.351659929410627,0.371041531359878,0.261934561303993,0.387845462790715,0.759242865664074,0.308879515902758,0.217277379245569,0.286619938186673,0.297537636982101,0.366071698154188,0.28716765388063,0.320632977614014,0.277456765502687,0.287338179557833,0.221758924918862,0.247011943183218,0.251465685731478,0.256978526698281,0.27845657368566,0.309839642010686,0.247210270476234,0.246198375281781,0.256188535046527,0.327347587056667,0.244560936238697,0.313090195329125,0.239041713651372,0.344092117684899,0.295723866291201,0.329053638548978,0.280726789872319
"100_6",0.443518015088476,0.601982675512363,-1.12119927633522e-15,0.611379536083702,0.59152689211547,0.549611002961081,0.578111586733774,0.48208552264413,0.556507800228853,0.652363235349002,0.656426021320912,0.533178303977975,0.479290747280985,0.475918363345928,0.521566882018527,0.512335970846069,0.506317560626656,0.622654222002573,0.56865181587626,0.526783231298413,0.652872083455733,0.547985030657803,0.56956386749876,0.598957594765063,0.619826798477697,0.567289213613769,0.590029178540284,0.534594865004111,0.552488026423861,0.599559831820886,0.53099855077757,0.57727064390529,0.712156623907594,0.502169836382076,0.565631824279854,0.525677960028355,0.483605280688233,0.556499979314614,0.532747892724152,0.489512170729133,0.445541480170143,0.598198713921424,0.495000936050634,0.559799638703045,0.493606861405749,0.533402151449189,0.512269883455528,0.45718581704144,0.515213429394725,0.527828272744838,0.563192182708334,0.565287659921465,0.614274093802725,0.547579550447647,0.495146019043651,0.503385270705275,0.490288467447762,0.534961396798466,0.759841576638805,0.466192902601791,0.569128967047675,0.586974754569435,0.434209477690771,0.58006390186448,0.59511427775397,0.480623678130611,0.482041131706592,0.602415703958116,0.665991239425429,0.585594158464661,0.593230053724484,0.587204387563549,0.567218979822663,0.57786335985041,0.545919979663721,0.571453075880329,0.481294237566209,0.481045830444958,0.529521423467477,0.55606521186399,0.502373200794913,0.494329655840531,0.472457031226933,0.585607449197076,0.552349728211617,0.652711969595134,0.716210590398919,0.683591082735868,0.554330150580266,0.689952490440586,0.589879498666468,0.633032354396867,0.538745006559494,0.633036792997036,0.437764831933922,0.497976272950124,0.484199773046918,0.536099452196636,0.563849699213412,0.479045641207326,0.482950867690436,0.530728185039627,0.49769600013791,0.609943630043914,0.587136329665621,0.556460563058758,0.520680893946363,0.562211740063702,0.541056377461466,0.506254088144211,0.530924972594647,0.527985104150794,0.57201694316195,0.530356063991411,0.535838613828139,0.548369551269591,0.524786768942562
"100_9",0.355933553420308,0.403946640427518,0.611379536083708,-2.56274120305194e-15,0.475572246753262,0.464688951908194,0.421864283701152,0.472625124510088,0.503002997595063,0.508606273959285,0.385442026359029,0.471218150341799,0.448625432472111,0.421308230891261,0.411636937130486,0.414124643676225,0.453278338543731,0.489605971523728,0.447363936477449,0.42656911279511,0.468040356508765,0.392957684652142,0.528773726894887,0.404741583439455,0.336502569645195,0.347296961027538,0.382830159387534,0.377433574031601,0.317654961369627,0.510725798810402,0.307575901986782,0.460710946022761,0.485272444424776,0.462780299929434,0.465800884134565,0.543662284934193,0.464548822222805,0.499808931941078,0.468190161758586,0.506782747334433,0.435930699294134,0.476813107468089,0.498315909783992,0.512318668408883,0.473510629363189,0.493953183022419,0.468192429579775,0.476109762286489,0.512730283717457,0.437625082662739,0.480325605386751,0.485817888303367,0.304873704933157,0.422727470748656,0.44974451217968,0.454088934116427,0.457842378397381,0.36734314859528,0.365074924659365,0.514470694703458,0.374760499656456,0.286327415273979,0.415957491001716,0.489388110089043,0.500297482314113,0.478494573741978,0.504937577290084,0.411560709913753,0.362867066750462,0.461631965357349,0.417991824714112,0.450219444714074,0.378442547931284,0.429315487577995,0.449489364647604,0.42339368205872,0.429234891444496,0.378848707250584,0.470489776062787,0.470456961571766,0.437614993296007,0.379376405768654,0.51394789515191,0.40821170753743,0.488523555066901,0.321730171181693,0.393166493853895,0.380627445014735,0.501531804688139,0.287183158566966,0.768763297607837,0.396936042578631,0.357554538543926,0.394656590956444,0.265026574702266,0.299700298373095,0.499419371329546,0.504889280840459,0.370300658178299,0.492659006114171,0.463243658824705,0.476514175773283,0.475211125861058,0.455293884356433,0.520023587233062,0.470279286883948,0.474483589316549,0.51959185063946,0.454186423498836,0.518218875576377,0.484190756539902,0.486672366036058,0.485879339500457,0.526589817938659,0.52011367734491,0.545081937800254,0.476340983841196
"142_1",0.433555203624682,0.225987057489386,0.591526892115466,0.475572246753258,4.80513975572237e-15,0.194235761197438,0.419163630764477,0.21533630876992,0.187526745169867,0.171612738458762,0.242504621843299,0.22341549632221,0.226307117912641,0.207402018112608,0.190997898461655,0.383697479407507,0.181921763393674,0.21296825249926,0.170648454171776,0.408927197106685,0.352660100008209,0.353896774929865,0.379652863446363,0.331343733299086,0.384018273929192,0.32282574571847,0.237051360654811,0.24035890035294,0.273122136660334,0.200562927223784,0.250601486110194,0.256980829646674,0.486846827952732,0.25713439258608,0.171854244320044,0.302696400038959,0.225950466329365,0.220590408897991,0.356846588716688,0.217006017594168,0.247942314784545,0.174412942049787,0.166320746260473,0.16785708203686,0.271590493917438,0.190466255821321,0.298145768736882,0.250146528841868,0.202457438005745,0.226384901880182,0.226766351994972,0.195697244591375,0.284043976094002,0.257548601625108,0.235850772026051,0.209659430551831,0.247757128628227,0.237650275394712,0.379269964224687,0.576248746222312,0.192566969446883,0.272585339715832,0.631362860000773,0.189086566123465,0.346284418057669,0.259983875738968,0.245526115714769,0.196180467779895,0.318203555746613,0.177236820120106,0.17853032162559,0.218085200427282,0.184282596496669,0.204979254801616,0.200144471222406,0.155803698247837,0.238273251731108,0.318660873132257,0.18452037066407,0.215816079748663,0.199987868668436,0.228593842214022,0.27319290076875,0.165869896497652,0.146956768410407,0.331848126014206,0.334232330410767,0.323020663383286,0.201642663553931,0.349317835189444,0.766324520403042,0.284384779049205,0.260045378177551,0.273515237997136,0.300474662505543,0.340005931864463,0.2275554866701,0.279038834496017,0.212215130478826,0.214851815385792,0.172193269310316,0.188727987463195,0.217488787124837,0.210392409009842,0.244366174441721,0.303698977313512,0.200174502403959,0.191324823481508,0.249531130148812,0.29528047050279,0.206317964213062,0.287848809455821,0.178545293505436,0.285852782050745,0.259432965001942,0.308460252524919,0.240214146008334
"142_12",0.420772225446404,0.290308501877805,0.54961100296108,0.464688951908203,0.194235761197438,2.24239855267044e-15,0.405691613706625,0.216595015140178,0.2001210147564,0.270347535847147,0.304316889048527,0.234722224223703,0.240621587608655,0.209914062996833,0.239871212918846,0.404302402292562,0.237839284779861,0.299686027180859,0.247889983926853,0.407583625366649,0.412170579587305,0.326934709827937,0.382163851136755,0.33262922686213,0.387244209238446,0.317751868461478,0.323715723293241,0.192116044155703,0.247126220928371,0.277461448369095,0.269922545194699,0.324802278104341,0.480179289484067,0.279114212189647,0.228693339979224,0.370133928860361,0.281649305501268,0.252337616114316,0.339603219671375,0.256684293107864,0.269888275278035,0.198355324923125,0.221951263676545,0.197386693789342,0.259915646193993,0.211845858235429,0.243644993711755,0.248513464386904,0.190140894108471,0.208844368286184,0.234053563308349,0.265715231555011,0.324197029631782,0.254767890004709,0.246049674651154,0.218597994787018,0.220622440803914,0.230686456474316,0.442058109299327,0.557137920756388,0.253522519526845,0.274970245855284,0.594824594524969,0.259451254453327,0.310072513779823,0.30662078554303,0.273412374562645,0.220727200106782,0.355927433353045,0.214088159585086,0.234168170948029,0.253381037693567,0.234435245846765,0.270224710145318,0.263606029429732,0.206830870169447,0.206920178744794,0.27910901307106,0.216044058143323,0.279154082103479,0.184153275392921,0.210957807679082,0.257488766791921,0.237670296267869,0.204950705477786,0.350647731471455,0.348087464965041,0.354238814500566,0.278012300913262,0.328110719091026,0.739447970767405,0.299381195368237,0.348401509960411,0.35735619597455,0.318047116317595,0.389466393512586,0.228130168940542,0.338007843356475,0.222684533110966,0.258311816586271,0.215347271222041,0.238201644423095,0.258087654850457,0.264518311119794,0.273033482875687,0.273608260781374,0.269326724613125,0.247610484659385,0.263675760115685,0.257515701051053,0.228605858899703,0.32187763145737,0.247225543321926,0.308286856772797,0.271987748809214,0.276906423836809,0.285663920693719
"142_13",0.513672430406077,0.432472065410364,0.578111586733775,0.421864283701149,0.419163630764473,0.40569161370663,9.61027951144475e-16,0.409448830255539,0.448986674807974,0.486339751173191,0.402952105780608,0.427985998684753,0.389752925434792,0.345329501647719,0.3594647524473,0.282139543193847,0.390659250366221,0.414608699570679,0.448350224483643,0.225264234059637,0.299295013370289,0.310395448139335,0.303017191402052,0.32212930928666,0.25181057713954,0.300176507776116,0.413838129810959,0.406511101807159,0.322427349190844,0.469374472839961,0.298184133176091,0.406024189587971,0.288780861585739,0.354457116569649,0.404339621650725,0.435439414363061,0.458833491026636,0.453822471226055,0.320616979967573,0.399693387464524,0.379181528695781,0.397792151728161,0.419648898769645,0.455070717797009,0.43558532329926,0.412034538396719,0.417221686449511,0.416164524741151,0.425513374802646,0.3456515651923,0.41640027864518,0.430734679728488,0.33333350375337,0.398730009029884,0.455070491762527,0.413072434973531,0.3981663079575,0.349242106503459,0.487332294864456,0.542664496106696,0.407496576333097,0.365285917992257,0.560159943569209,0.421449844683335,0.306756013239542,0.346007665695856,0.3696414537777,0.413638065446408,0.371041674029777,0.467404087071997,0.431576353558231,0.342499076510907,0.327645134450034,0.442583419474868,0.276447996860494,0.365224557106431,0.342811664062266,0.301903896996449,0.40696227017785,0.400370959596538,0.322558919111993,0.363523039533296,0.450323410423024,0.346565597315097,0.425401284327704,0.462971498994429,0.416438593189342,0.502103127937697,0.460719595499982,0.360280321880165,0.772647376338459,0.369723787213934,0.4872294957256,0.500824789939647,0.455200917154973,0.418674060975895,0.437086136166008,0.483931974117268,0.321934803359655,0.471896263889467,0.422596114963154,0.39436192998475,0.430100703666193,0.442498296006971,0.465387778481095,0.442870851916915,0.424868542050848,0.45873086892346,0.431220581684808,0.40950711265838,0.425397840339704,0.409720491778105,0.411066757470426,0.426077157990695,0.442093501888655,0.442422160333631,0.439105392191224
"142_3",0.376808145220261,0.24985053288899,0.482085522644126,0.472625124510089,0.215336308769919,0.216595015140162,0.409448830255546,-2.56274120305194e-15,0.219212333295421,0.2562565394704,0.361260155647843,0.231814081103074,0.214522764923982,0.251204056785865,0.228600315517458,0.359067038153647,0.186755777786368,0.252881306260624,0.236651374037483,0.404927550441295,0.383953164136103,0.374427812742933,0.418069576670704,0.340711253725984,0.38453181559214,0.324454743811709,0.292192357030716,0.270743156516925,0.313592748688573,0.264688619720874,0.303331976256269,0.302715622239363,0.478950035389547,0.219094391412841,0.195449822298724,0.297400588634076,0.199492011206692,0.205002091222946,0.314592340495901,0.197503738254283,0.214253183310496,0.246174296385807,0.180687906102068,0.178157086025649,0.294907837130562,0.20663595023685,0.309593034274612,0.221900026139783,0.218568086452564,0.252172985250618,0.289594619254348,0.232562678401554,0.370126682109226,0.339715786720192,0.275492553948521,0.22801385801072,0.270011474308128,0.274765148621041,0.497339109683257,0.533712984205549,0.223838606121619,0.32508649471109,0.590228830984679,0.217526644754682,0.367699737666811,0.31093497919636,0.277524775646786,0.267740386288881,0.380759095218091,0.258921690975368,0.292390420300939,0.248793776555689,0.263925766547432,0.246115673896487,0.254700231916364,0.240260223668792,0.253226690326583,0.319611197147827,0.161551894033776,0.246184324499108,0.201177629132654,0.26386728522488,0.326660839565779,0.252677039286315,0.238110233133913,0.426493782324855,0.44168972461867,0.412055102559738,0.259754765126685,0.418548566408825,0.704064950731389,0.307953449360912,0.309755039743145,0.351202958883955,0.310119929701,0.385309976603387,0.171934422092984,0.296900365542537,0.240923484785909,0.208457367224199,0.166982177707064,0.188296051833843,0.197392518471527,0.2730615236035,0.224368189763243,0.216304870094351,0.194935556072947,0.206057420902708,0.195918024913414,0.234064725445411,0.203423526027727,0.264023586258564,0.211813095327685,0.246630725400591,0.22420405198793,0.243810795077139,0.215513833279423
"142_4",0.483515407585206,0.243342997433283,0.556507800228853,0.503002997595057,0.18752674516987,0.200121014756388,0.448986674807974,0.219212333295415,-5.28565373129462e-15,0.230519226550309,0.25353573905414,0.219109048653687,0.214972901330365,0.177923696662195,0.209194883743489,0.399727616321233,0.214682570307429,0.209078340436019,0.231978027768149,0.419897670332504,0.390792009005,0.344849357264707,0.382809174583179,0.31762206706573,0.405979877449156,0.332793663712054,0.263677665267825,0.265129030385197,0.245127615044058,0.176954194015283,0.266282194536989,0.269646137899095,0.479047740840969,0.240702375046489,0.149286470015888,0.327630854895142,0.236466129016986,0.144999386368717,0.350890283804297,0.202262809172865,0.232803615813713,0.216501586894556,0.204164274129394,0.179475264826079,0.274017531074615,0.217566982899978,0.235127607737254,0.200086756408392,0.140417884023999,0.192921447178778,0.198350488405619,0.245149334365236,0.302739565586651,0.279024457414042,0.236998895427663,0.186982612211753,0.22748190112773,0.203273206761122,0.415019860465119,0.602813982788078,0.196497462195771,0.281760937165779,0.648171719788501,0.1865829935639,0.316453080412512,0.283933692552473,0.309838944484353,0.205577915462521,0.326408187076793,0.190400169634461,0.207827279064851,0.192334714851603,0.256853747963606,0.246064579598296,0.263867667293165,0.203876019146301,0.221626241829646,0.325629490094667,0.202553031339842,0.289329767282536,0.167543241841163,0.227455874350062,0.2669792498098,0.236418220266506,0.168863065147816,0.350658706908389,0.314504076108168,0.353511662797668,0.231347978055623,0.350071272348415,0.783783967714215,0.249531483626524,0.338043512382884,0.346516142712199,0.327806537350296,0.406217895642517,0.220514800827695,0.279980272114489,0.23449815368437,0.229808171637726,0.194841264289917,0.263199218168363,0.255094981266133,0.248129502005619,0.217982121798166,0.318259988627019,0.228140127331316,0.239726365694147,0.25544262504051,0.267757983162966,0.25930510835632,0.325580759223564,0.205005902279772,0.269173442354381,0.243044752084545,0.283534394790829,0.263079561148435
"142_5",0.465591075281267,0.195263405286521,0.652363235349007,0.508606273959289,0.171612738458763,0.270347535847138,0.486339751173195,0.256256539470402,0.230519226550311,2.24239855267044e-15,0.301390012727122,0.240567723927908,0.273630775747323,0.271019453193364,0.204545693809784,0.42744698865543,0.235863029393494,0.190390462646751,0.160323333434275,0.470195251333456,0.359639752661159,0.397397633790434,0.495681558688022,0.376662246687772,0.385242570728405,0.342621896993408,0.25998789495223,0.311137504180287,0.315459340650315,0.235271252509931,0.328103009370495,0.304663597558915,0.510590297022474,0.348397541812862,0.196268960753753,0.364770909649162,0.263657171773275,0.261870458494401,0.428105576978046,0.273339331807505,0.32679734511299,0.231336850079417,0.226747474205519,0.17037318307306,0.309411310746693,0.257500996902183,0.38919314013181,0.322814886856633,0.288625091441098,0.277412904861034,0.287496238546669,0.198132995226765,0.321384963625206,0.343443911206237,0.3184507998382,0.215708759671941,0.340454977347389,0.292956139747501,0.413535064679232,0.60734130180936,0.230507916197402,0.307553819069597,0.676499025192401,0.15592292327257,0.418268669959604,0.374996114244769,0.349383912396257,0.272796059393561,0.355790172723898,0.20156201967889,0.192200471733354,0.248786339391652,0.25473369476493,0.196437706888162,0.274064938273252,0.191641740309818,0.301116635088993,0.397674001986977,0.243734085331608,0.216064176452917,0.297204339814683,0.271105050707607,0.34796247214554,0.208647113335087,0.229155170476407,0.371112363105079,0.361698212099296,0.340956739440854,0.224299781708259,0.37120734693153,0.781285045301041,0.343456956895187,0.283359367951215,0.28736817102619,0.367432896337785,0.413055210355418,0.269600090387718,0.3393277175653,0.289845218142152,0.286889120089146,0.236020698182347,0.231284112369618,0.269872180294426,0.251352171242282,0.271634317161484,0.331629111517019,0.273355244693822,0.193375031619052,0.291897379523852,0.373649063004404,0.255343811798028,0.324517892531412,0.272866087512722,0.376641478545913,0.303079615972746,0.353973427481942,0.2956789061394
