"site2","100_3","100_5","100_6","100_9","142_1","142_12","142_13","142_3","142_4","142_5","142_6","147_1","147_11","147_2","147_3","147_4","147_5","147_7","147_8","152_1","152_2","152_3","152_4","152_6","152_7","152_8","202_1","202_13","202_2","235_1","235_3","235_4","235_5","245_11","245_2","245_4","245_5","245_6","245_7","245_8","245_9","269_1","269_10","269_11","269_2","269_4","269_6","269_7","269_8","274_1","274_2","274_3","274_4","274_5","274_6","274_7","274_8","315_1","315_11","315_2","315_3","315_4","315_5","342_1","342_10","342_11","342_12","342_2","342_3","342_4","342_5","342_6","342_7","342_8","342_9","358_4","358_5","369_1","369_10","369_3","369_4","369_5","369_6","369_7","369_8","423_1","423_5","423_6","423_7","423_9","44_1","44_2","44_4","44_5","44_6","443_1","443_2","443_4","547_1","547_2","547_5","549_1","549_10","549_11","549_12","549_2","549_3","549_4","549_5","549_6","549_7","549_8","549_9","Extra_1","Extra_2","Extra_3","Extra_4"
"100_3",-3.20342650381492e-16,0.693842414123005,0.894119899030376,0.640328448181971,0.74851211952363,0.744503370544218,0.866352840950636,0.794160673829124,0.791083609457434,0.782921803854557,0.731441550469935,0.77239950562255,0.837669293814644,0.835750264337697,0.80553385773181,0.944809756009323,0.794805540447958,0.886247208536249,0.80216906860223,0.927306380948486,0.93102827244972,0.914984611374874,0.966806861098007,0.954884317021424,0.86584474226706,0.862985401519072,0.76702075986024,0.760710806429386,0.706187932981781,0.841147931582959,0.726310408203295,0.883973015825494,0.992395437262357,0.925453196807863,0.811122825954302,0.94019009431241,0.828963604754036,0.855819680275435,0.910204398615952,0.83299626421861,0.847485854058706,0.827985586532601,0.765030499268989,0.768110014723126,0.893120103584599,0.817365269650121,0.929945665383727,0.850788275861464,0.839413847596955,0.855159262851306,0.872479091751374,0.819290220642109,0.695732726961439,0.852143356489443,0.844928115131123,0.822768505787314,0.903738070725881,0.74573569808872,0.755478251543935,0.745232597929896,0.710761759629185,0.715397528275614,0.660833898009808,0.714181281164275,0.978378378378378,0.806865285905294,0.726465203781268,0.775304207867594,0.780616465176049,0.740931456880821,0.724921665201582,0.811669327061651,0.769294408916635,0.780876090113903,0.806149578391284,0.825380949661245,0.908154562293293,0.827989283472333,0.841792704560818,0.715503571266355,0.783481346177668,0.685243384111221,0.880635415831459,0.73871732394109,0.813042196431823,0.83443884232918,0.832826675234038,0.893123924802719,0.901167202370651,0.777078579688784,0.742301415342289,0.860898387641041,0.707328469434849,0.828980661984175,0.734811395349823,0.729302327998306,0.761072146770204,0.859277085158342,0.757998161855151,0.82901320617802,0.721697202223924,0.776959928872092,0.795270979536111,0.783327000228897,0.811769787786658,0.819311400065971,0.77428512551484,0.74806915096927,0.768236403590343,0.847969262939524,0.78191638881596,0.856003101584383,0.827874772681307,0.854959415497245,0.767654651706185,0.841119803721944,0.81975335281203
"100_5",0.693842414123005,6.40685300762983e-16,0.875477099684246,0.77694409387143,0.755314338775279,0.753020751453448,0.826641185391513,0.807328105625545,0.591432374711744,0.56262413167941,0.700778832863462,0.653264589091195,0.743101908009738,0.677956176089743,0.660218038139927,0.874775975049966,0.655069341953092,0.616398335517949,0.65277610559223,0.863761599988723,0.936244332257824,0.85494309094888,0.853003010895118,0.924131465703639,0.89796983053426,0.912968878023675,0.700421232368031,0.702805538319002,0.697752354577979,0.680228440718158,0.776471234890418,0.814296166982091,0.960538432295561,0.771236614982105,0.673938093545388,0.810501740467143,0.757556463760668,0.610495449528596,0.879743301131566,0.71689559057624,0.6603577977132,0.708462473134573,0.693862607617842,0.680073801395285,0.747327468627522,0.716458800345401,0.778621334362303,0.638303590450953,0.724045015092333,0.707698134436177,0.757686990054187,0.633502774904232,0.739990623544115,0.803733946190503,0.82852818270187,0.647264070896631,0.839546436631595,0.63789233022321,0.859292740931101,0.901961243317563,0.65121736959733,0.761102956127066,0.916015503731277,0.437961829945705,0.898324589628733,0.784871333330025,0.73439897122271,0.688873691562637,0.693526289358583,0.533498079068283,0.600352413919509,0.5494268543746,0.684974397946433,0.517139512933923,0.778702647015372,0.631304481400391,0.755077408269738,0.768353091182653,0.756879996577957,0.668096506952234,0.768778300059434,0.715320436663149,0.809756881932481,0.742345548446008,0.780171873675233,0.830229012544967,0.765616606915712,0.850037416136712,0.693486003718478,0.84953226429482,0.913136302834273,0.732496803140306,0.708059001936697,0.74841748656333,0.704772255516682,0.848155797849466,0.735617295696916,0.822582399444156,0.755505128248044,0.809859154929578,0.610912876876571,0.781026788207119,0.767895803309601,0.742959481476295,0.74653471925056,0.748500781783622,0.705619280676158,0.777454478397368,0.736197816755961,0.778502747147223,0.735629192804729,0.745579007123045,0.708971712294087,0.807038143329744,0.750143158441286,0.79722037824005,0.7759513165152
"100_6",0.894119899030376,0.875477099684246,0,0.892307692307692,0.905722882334438,0.870930635568613,0.856730391450979,0.848892709289126,0.770650957841362,0.910925957158481,0.899744138248629,0.860904585098237,0.804314867264065,0.805521176745914,0.803607951993596,0.893979058988654,0.801748026108383,0.865862335348633,0.920967376633953,0.911784515980726,0.913675078884979,0.873318195501833,0.832104353033104,0.889056476944991,0.93154138165512,0.895387121643394,0.869387465096045,0.925139634673977,0.871684188589486,0.856307660513577,0.83824221223875,0.813485155455967,0.930470049068677,0.86221246137095,0.831237202282786,0.907003214223901,0.804500382312431,0.852432105531916,0.82971406663392,0.820976735729971,0.838504255793143,0.939288575169716,0.835587461578297,0.843146469265035,0.870128101649879,0.819276590015665,0.782479134984126,0.796979426596405,0.822562871205203,0.824970051850791,0.906114196231371,0.821247594502219,0.881685085605766,0.938248214257618,0.847356020318402,0.784904288242154,0.877950599053835,0.843106918699029,0.966838489168132,0.956271626949786,0.881522562915757,0.832561764634926,0.85879213706188,0.829094817367525,0.863364014187952,0.799183928637099,0.83274115253602,0.843940841141881,0.843179739160229,0.811683031405305,0.765152285924293,0.806693934480485,0.834639590436697,0.856608435022241,0.874914405670524,0.811362452930878,0.733634835118851,0.796993266823324,0.842574944219042,0.919311430878353,0.825784152585518,0.757076652946385,0.764849871647486,0.868789485116932,0.826152888157413,0.908455546815213,0.917537357778876,0.90338860091347,0.863655267120595,0.889401186315448,1,0.866567852216896,0.852420207159108,0.914421463417485,0.821943479904825,0.867766971491948,0.865881926460741,0.857159226217306,0.785662660386786,0.80326277484225,0.752510107292656,0.894119899030377,0.895897295666185,0.85806331724784,0.905067012716515,0.955801889051388,0.858781658782956,0.820549486979399,0.864276361617091,0.884804111813638,0.876383253108049,0.887829913748342,0.883904808515198,0.914245689338706,0.86288483182864,0.921972503417819,0.846717520646214
"100_9",0.640328448181971,0.77694409387143,0.892307692307692,3.20342650381492e-16,0.895560093551566,0.829433937454851,0.787791456973828,0.976479316153199,0.877114757995395,0.927099464117113,0.636234489014736,0.905609826836111,0.888647543634079,0.840624971709459,0.841066721743786,0.870682816241287,0.933690290939804,0.90891210005949,0.886031368846441,0.842606591445854,0.914358199055916,0.755439946170849,0.859751122853303,0.790875669876007,0.703716076539255,0.68683673417866,0.738744097886474,0.720233972031812,0.595332558648191,0.93958147035483,0.620646806816563,0.834515357107346,0.770712091092658,0.893489774330698,0.901179506021655,0.935192188216967,0.9586531521551,0.926595784328896,0.865138861340148,0.955670362439835,0.87953074934079,0.897347822515503,0.978867166657051,0.936999093791311,0.903987485842487,0.909162314776418,0.85217343972961,0.89430956624261,0.896163911594705,0.819816442432942,0.896065305072165,0.927376940833781,0.540888796277813,0.817128082736274,0.838702641040773,0.903533148892784,0.864375634882493,0.68829343532046,0.588218556445533,0.790457984204881,0.760303455206597,0.518746273335084,0.636296096894922,0.908867658223199,0.883817746232655,0.899373437530048,0.967385804041844,0.748692404685842,0.666512088355471,0.847013040371474,0.763747902273859,0.794066136128313,0.781939143768762,0.898501647218886,0.856357916050257,0.754884307602195,0.801758074930767,0.713995869226507,0.896173054060944,0.972972972972973,0.826935295018457,0.781261453028962,0.900139904167467,0.797566796015442,0.892691831576378,0.667084124106034,0.693769289347567,0.819112017308807,0.93392677203894,0.534709738975251,0.936553312369102,0.732527742611623,0.768720264924875,0.865722216258571,0.506526853452831,0.604950919240093,0.978088076026897,0.961737673581062,0.713722521726645,0.935386842474301,0.949518530682777,0.95067933114984,0.972222222222222,0.848484383863759,0.924627869626046,0.93747125249803,0.902923011566332,0.942098600685909,0.910315034539743,0.949346340099835,0.982300884955752,0.981395348837209,0.95282748305488,0.966914606632883,0.92379187987269,0.978800205361252,0.936478697925681
"142_1",0.74851211952363,0.755314338775279,0.905722882334438,0.895560093551566,0,0.550999264419243,0.841203435026374,0.61214613866865,0.669064192690447,0.618745152150826,0.676606793180444,0.719721040133558,0.645173396665209,0.699750747642952,0.662593436392437,0.914457613275127,0.608770652034665,0.681148556665984,0.633644978456353,0.896446664824927,0.910726353254752,0.876554448795251,0.778677618280406,0.898782960679403,0.954228115534776,0.868531698976458,0.636922605511342,0.597964843660256,0.736418479782011,0.642375044982438,0.657026389169738,0.765670142774282,0.968991982148994,0.76775695777973,0.610384471621714,0.811721586215885,0.700160221978074,0.746186422178279,0.834497403685105,0.710133308690966,0.748936454516428,0.579071728452335,0.613885894258431,0.591983968701845,0.704521931817256,0.608348155096609,0.710745314800443,0.728320991847688,0.630469410030077,0.692284445573688,0.611920964556957,0.706468934980329,0.696520136588114,0.688349342754809,0.661784063117327,0.661039061406951,0.703463669639893,0.732965806158054,0.820533571302728,0.932196651722953,0.67336256507919,0.779173554639437,0.945597346086098,0.702112818409656,0.819078103675219,0.657505424196332,0.651529391828016,0.601867118943023,0.803036082601687,0.6231791279332,0.600346150474131,0.706446227679602,0.549602804884543,0.733229539444177,0.589507637097155,0.590599747322049,0.687331336812348,0.749822621182571,0.589834665907321,0.661217660348466,0.596045211994221,0.653426009245114,0.651351844881255,0.515173069442584,0.469663274014104,0.805211712596426,0.789139893531463,0.801895300535317,0.694170820903275,0.823733220890325,0.889398560277563,0.741739313972902,0.789928435366865,0.740409871594017,0.688180598165474,0.780845062504128,0.67691925500159,0.78128436095069,0.585968749906344,0.623571546366821,0.57385831925237,0.648863345179632,0.615297672819449,0.61839134993824,0.726568596975456,0.787585223336029,0.690701414899666,0.574016314952983,0.745327641676217,0.774012330641515,0.625640530879092,0.797677723190871,0.575664320544143,0.780422852235715,0.803245223379655,0.820354729988759,0.72445953617808
"142_12",0.744503370544218,0.753020751453448,0.870930635568613,0.829433937454851,0.550999264419243,6.40685300762983e-16,0.806000254103104,0.629659380936301,0.593318706533643,0.655226161847701,0.662643334281788,0.671713962780891,0.749909232016072,0.647205654298294,0.687263982739248,0.930853942772554,0.676466809236779,0.7457392941074,0.687525647868496,0.913310304063799,0.931643605693153,0.773429897426781,0.783073168596492,0.864213687332127,0.904577973174392,0.817428538086719,0.726339760906941,0.576154912939355,0.652291238890417,0.741345599289709,0.672015656869285,0.780349513691285,0.91009337259562,0.728857298071659,0.66382114833122,0.836597687317334,0.690723709795283,0.722508750908349,0.833953254026107,0.684521782324434,0.771325959480662,0.64736058038837,0.698530173352429,0.583642989591816,0.725124771793669,0.637351526850034,0.65267225811941,0.663106970337976,0.592754983668521,0.616613937998106,0.647523910499765,0.757329453150714,0.774418494264346,0.710213130956316,0.667126542929643,0.633037533504479,0.633193241629789,0.689839511370377,0.797055737787851,0.93670941309231,0.721952430697551,0.721345848623314,0.921330606113054,0.658705924220921,0.777176424018483,0.764991689461072,0.692757641013325,0.576427480642528,0.756507405002401,0.596304351935599,0.609029120839934,0.686723590002565,0.626812016986205,0.733437118590751,0.645936469857769,0.615913861909653,0.633201078492908,0.766845523783843,0.596065293363658,0.758201727020769,0.53627576286706,0.655102508649496,0.720702223535724,0.590206844147315,0.597326022113885,0.760423591313732,0.791559977387328,0.762704296059078,0.779177289737099,0.721477804244356,0.870902149543174,0.684345335274542,0.797762210469196,0.767381186183801,0.750709249614923,0.760406779458877,0.66147699256151,0.741808123323814,0.545456985761148,0.662696646852812,0.622198839475914,0.668969278177163,0.725682161272468,0.633713201684975,0.746284009279615,0.745440037100796,0.745741687908111,0.619532926712437,0.693958024167074,0.742260330487689,0.676036706864449,0.837448125489217,0.700336214724396,0.808175872018981,0.758311296557418,0.762066044169324,0.719247736288396
"142_13",0.866352840950636,0.826641185391513,0.856730391450979,0.787791456973828,0.841203435026374,0.806000254103104,-1.60171325190746e-16,0.899108485342354,0.849112177565998,0.913274579024341,0.697829055496783,0.874247491263273,0.856116612911589,0.744357351510059,0.751846336669393,0.604643082242391,0.877992025626851,0.788927865516477,0.877319139274959,0.486329212278633,0.561456036380039,0.623062044559426,0.625184463937449,0.696548516893857,0.486249216600798,0.64168996052264,0.757409200308239,0.872249938799484,0.647981671692269,0.884953179655421,0.550458314734871,0.849350615820793,0.566206764883801,0.775470954937284,0.835903535151413,0.893995558710111,0.934977944241696,0.905418393352141,0.741431902878155,0.81838996462213,0.842443471051414,0.902806252073881,0.909241455677946,0.927254290251567,0.908632696789307,0.867138074479829,0.793093047378376,0.793358258514309,0.821494538798878,0.701201931569299,0.809554372668128,0.885999049441653,0.611928962179629,0.75267981389952,0.873669301834898,0.819005191802914,0.765969515310573,0.708763218550692,0.789727872456171,0.841900722865376,0.8553757738722,0.702313359329925,0.857768435920284,0.798637677622456,0.64596579507789,0.701503148792664,0.808588914982802,0.816843331332219,0.674581857136443,0.906517977601821,0.804909896327144,0.674043198999558,0.714456262948793,0.903605303928207,0.623697740886739,0.770404762160593,0.712786271721292,0.662666150125133,0.862390462508405,0.8487006039808,0.716078938003145,0.764796857353664,0.84298198364252,0.752085341509358,0.878072289934337,0.810727400363702,0.711463057381843,0.878988184365783,0.943484740190919,0.597898938217419,0.961342378031191,0.681255117035404,0.942149466764081,0.923720962190875,0.872277562336845,0.786713820981253,0.916142932236375,0.879894394801517,0.661900355922674,0.941841016583193,0.860056029632781,0.912069153967666,0.973062677850542,0.842380552051798,0.974630703400856,0.991150442477876,0.909805021908536,0.975074215859175,0.952442920594272,0.95516997865097,0.924058681003584,0.925354815519366,0.875706147391331,0.92411352075785,0.928409844911617,0.976723483508561,0.940696599694031
"142_3",0.794160673829124,0.807328105625545,0.848892709289126,0.976479316153199,0.61214613866865,0.629659380936301,0.899108485342354,-1.44154192671671e-15,0.697913514302083,0.69563782055974,0.848720717500471,0.77451537478172,0.692138932456956,0.811165970343864,0.737888275087529,0.966547894081792,0.616199174252944,0.757461309454541,0.744470821394608,0.952161747876999,0.934277790796917,0.956320585078764,0.882715539261292,0.927240595245514,0.98712256945303,0.897974093036303,0.756798154364347,0.750469804238597,0.86741781279177,0.746462963319117,0.829318707489027,0.884971150221068,0.976261127596439,0.712008509363187,0.6625669240999,0.774483530283329,0.632122075211467,0.682840458529807,0.884944054781307,0.649980069384227,0.711571011735189,0.74105966298884,0.661366618842079,0.627085402591449,0.858406566299223,0.709806253096824,0.815637495796553,0.755812434105302,0.704578520094941,0.781869157394421,0.835871761550053,0.719077824054236,0.85067517484022,0.900953872685384,0.832505597954102,0.767337384677876,0.773621657475991,0.853414910704487,0.963288654879546,0.987179487179487,0.776725670654166,0.88300948752142,0.987096774193548,0.74637360735575,0.875280317063718,0.866792604155145,0.756547643702712,0.736025544958393,0.890469780822991,0.743224922015009,0.768984030695144,0.758956039955846,0.714486580573236,0.767204165064516,0.706814146919617,0.735610800156674,0.73974830515562,0.895483097910496,0.539849735718823,0.729477887245949,0.645673456035502,0.792127538033131,0.859156730842829,0.690849937048273,0.71540091213973,0.947882736156352,0.959930619745646,0.927258851072066,0.7578489438973,0.948683073132404,0.910059936337135,0.785312998147322,0.774817100872282,0.827689797671813,0.817740356784312,0.916888411755953,0.581407858888808,0.790577537527932,0.689298232480276,0.626160065162303,0.576841297492466,0.615583411373492,0.622595958740393,0.72054945618812,0.616592085887165,0.615716819756933,0.677982211200063,0.610093967123878,0.633703840141084,0.679001437022513,0.604760455116487,0.717639121014653,0.657687065828004,0.677918231549318,0.661385286929249,0.720838667066186,0.669533176948986
"142_4",0.791083609457434,0.591432374711744,0.770650957841362,0.877114757995395,0.669064192690447,0.593318706533643,0.849112177565998,0.697913514302083,-1.60171325190746e-16,0.640537682619051,0.615730954386443,0.623732585838514,0.605847274252196,0.562921468239922,0.609053609495082,0.907576818133085,0.572631000212876,0.638720119132269,0.671871374664073,0.863700594239601,0.873983601703057,0.837906702188296,0.746901939130681,0.827263239238223,0.926668734793651,0.839592538475772,0.73235256405263,0.727040878238515,0.667701110527141,0.512597738428752,0.743186370331597,0.722553994651441,0.941196072361019,0.637800731479243,0.513555029673041,0.748942491468035,0.643711615841222,0.502739514496953,0.835544551722744,0.606660431306572,0.646332712258155,0.661781320891733,0.617614106671018,0.568346215960855,0.718704179599367,0.646553138556383,0.61951630447797,0.530206355955481,0.523006737701714,0.592417414502722,0.585817664172476,0.714950872241787,0.752396547115588,0.797597432535074,0.758880467478641,0.612671126283988,0.717119044242908,0.625614156743567,0.858449635355076,0.922777674971849,0.603137238120018,0.725486639099352,0.958048833881289,0.467595799211056,0.793161407491258,0.743861486592159,0.712248557149328,0.652285405315772,0.716225284090513,0.530034544676985,0.568340437797267,0.535053005001812,0.70132430802242,0.644466901219684,0.731563080660938,0.616798431347553,0.653048748624323,0.788915647392444,0.663791119504263,0.733023284620748,0.63613564146261,0.664339272719973,0.718363838783543,0.682412980610643,0.622860109278355,0.785944931955283,0.728688079881385,0.78824270493031,0.731867915019265,0.813910483735864,0.907217879133635,0.647770025935104,0.773621172444426,0.78242057309879,0.775818152663568,0.847828192360439,0.694948558805961,0.766989330646622,0.660392275473404,0.743244319563577,0.596732736589935,0.788250581359654,0.731289753869224,0.766177510210284,0.737882774335352,0.813302272135213,0.726142555245043,0.718174142526186,0.67324134374583,0.755353575103202,0.737199682542757,0.790825671435713,0.694375135570978,0.7834338976041,0.72949725700121,0.801824395956135,0.740104197826231
"142_5",0.782921803854557,0.56262413167941,0.910925957158481,0.927099464117113,0.618745152150826,0.655226161847701,0.913274579024341,0.69563782055974,0.640537682619051,0,0.740623487074155,0.677604147860275,0.670055908281031,0.665379074067327,0.597764239801727,0.924599965163849,0.616515698172836,0.58371513989028,0.495509679209829,0.960145925862146,0.939059302330036,0.935494603702511,0.894882270890609,0.962912167084634,0.956570344861515,0.910949294929855,0.715334538337054,0.705223675757178,0.721462544439476,0.608784893304179,0.834328650781129,0.795164667741777,0.971268674872114,0.842702855555618,0.601012423303382,0.796817912586258,0.641435377469301,0.666511272671231,0.925365793637058,0.647314991742135,0.740136250424345,0.611347206173919,0.60238123325971,0.573069684103597,0.710513154738401,0.65457237940355,0.826666202091918,0.716671413381194,0.669621689810784,0.690863259258276,0.722481814092143,0.58829004616787,0.766171511324405,0.830212893284874,0.81534543113026,0.646200398797729,0.766051218318153,0.714984147970767,0.86266069026917,0.936157653437332,0.644067442374342,0.814408261074192,0.953729785818749,0.578791196683168,0.88394689072764,0.904347870555002,0.787789963313448,0.718306261046662,0.809854161915982,0.60859019689375,0.515864616698219,0.66150192778674,0.725003962762993,0.578766046438222,0.723594427300571,0.534262831020999,0.721930277409646,0.876181522956078,0.69359767722542,0.693427486736668,0.791994217801951,0.726761660783688,0.798495495562975,0.622903494105083,0.682976790404972,0.826893354205091,0.826407248170736,0.847773102944479,0.637416083599474,0.887363807953148,0.931311579994433,0.820997299437562,0.758651602355983,0.700108073533842,0.830551450265098,0.849579676519679,0.677982108029404,0.818266202917855,0.785577996965062,0.75602699590927,0.638364733867424,0.65647862511176,0.748199013586161,0.701326025686507,0.716068432844583,0.76405844950466,0.778697275445516,0.629417623562023,0.763331625859259,0.832704296765923,0.686124354885734,0.737102858767817,0.783666365839959,0.863497259829502,0.813053921551793,0.795907354091568,0.737251516413529
