"site2","103_2","103_3","103_5","103_8","112_12","112_3","112_8","125_5","125_6","125_9","129_10","129_11","129_5","157_2","157_3","157_4","157_5","157_6","157_8","160_10","160_11","160_5","160_8","165_1","165_4","165_5","165_7","199_3","199_6","199_9","236_2","236_3","236_4","236_5","236_6","236_7","260_1","260_2","260_3","260_4","260_5","260_6","261_1","261_10","261_11","261_12","261_2","261_3","261_4","261_5","261_6","261_7","261_8","261_9","307_1","307_2","307_3","307_5","307_7","357_2","357_3","357_4","357_6","357_9","363_3","363_4","363_5","363_6","363_7","363_8","399_10","399_12","399_3","399_5","399_6","399_7","399_8","399_9","69_10","69_11","69_2","69_6","69_8","81_11","81_15","81_3","81_7","81_9","99_10","99_4","99_6","99_7","99_8","Extra_1","Extra_2","Extra_3","Extra_4","Extra_5"
"103_2",-0.00019218894095126,0.133245584469301,0.108237885566695,0.123663534449818,0.2531986726199,0.108662022696309,0.152717347637221,0.0768262760103414,0.0874734484622024,0.1190653923809,0.214724937426228,0.162518975896287,0.198290751182992,0.127504479791525,0.154566211525559,0.216212137072897,0.139135146097938,0.211563268052451,0.177291985253416,0.250017860163669,0.129996609995348,0.208240917224322,0.380289213513685,0.208359629260334,0.228042995181885,0.19405883775633,0.135003818575886,0.18587452941226,0.136572794305104,0.148292327810405,0.237373959750568,0.21485600219288,0.159668864501975,0.255262635576652,0.226091388489839,0.218694770450911,0.158087586355656,0.138321091526607,0.205771735571975,0.177998638421937,0.184507292594437,0.161956964219871,0.171285108578037,0.159913869753771,0.230923145199078,0.186506895433675,0.204415313113065,0.2085625519122,0.149750201330748,0.137898510253146,0.178302635877591,0.180461528913087,0.182787915593948,0.204653895500902,0.122801390637137,0.208277744312294,0.185747647497009,0.167800690959342,0.160203352055079,0.227455675560105,0.115629627348874,0.173487445736085,0.106329012439097,0.0898505674694356,0.177816133894397,0.188042131478595,0.17661234616979,0.204862137353818,0.19709077137612,0.223047858946508,0.141234996665733,0.137486067361369,0.217243928627204,0.147995376328142,0.168055608501034,0.198991881841483,0.113975126398383,0.256466144622486,0.111538038595283,0.104555825216111,0.110674189475797,0.0854323497850567,0.197772042757586,0.143854552863947,0.233311857521239,0.135804549452716,0.122196180121547,0.194202521392922,0.109649658910918,0.240412205442943,0.0815088738238498,0.223792694500661,0.119681500157928,0.143096243520275,0.15804329782112,0.161236650107685,0.207876523882804,0.177364606166367
"103_3",0.133245584469301,0.000254771956188789,0.104832950568227,0.0679682958395534,0.134927059990785,0.0869635930421961,0.0677818073835178,0.11811194772355,0.0816286549606719,0.0636113760776426,0.122504956676383,0.0988052482708878,0.106712287916314,0.0644189631630499,0.0918130460322989,0.111381686079662,0.071138870667881,0.100756518404489,0.0909844707276391,0.13771350297078,0.0834668916414957,0.104527300499921,0.234035769997215,0.099625502501648,0.134232256830675,0.101872158413406,0.0647701297240775,0.0827707848311002,0.0733059343652147,0.0849214605637614,0.106973966310793,0.0851960618297571,0.177574454384289,0.121207217375631,0.109826284614343,0.110060187142997,0.0854372490997817,0.0902387723302853,0.104640874360544,0.108704635193062,0.0927562812834257,0.0988606642492585,0.0823669839755415,0.0868423696119105,0.128837195361858,0.102983009864234,0.109080059186589,0.119658751612507,0.088190586263273,0.0776701796687111,0.0960366535274759,0.0967963351681992,0.0958802338635305,0.109758387348234,0.0764826482511549,0.105267997999321,0.103176934821779,0.0976263210971309,0.083512580320602,0.122098472247522,0.157139655492072,0.180698410934447,0.136197563155686,0.115323322106851,0.0973629561367145,0.0951684434027629,0.10344964001443,0.108576501365677,0.0914822961566933,0.10622508184913,0.0883536692644341,0.206894538743017,0.125082044404382,0.0842944068927641,0.0808450309467177,0.0996233955363689,0.13379998471358,0.148587649991622,0.102892355842373,0.112032087706094,0.0811188499205386,0.0939434807973198,0.100742764963732,0.0852261362807328,0.108429029831305,0.069002734760035,0.144221467695277,0.105958933365842,0.0512899299883243,0.168994632888561,0.111749078280526,0.115807398057034,0.0763903216737164,0.0727588753805821,0.0701372863268495,0.0801623962728168,0.104776117547848,0.0870444385124116
"103_5",0.108237885566695,0.104832950568226,-0.00130654836502332,0.0909755105226326,0.191898762091229,0.121145527540116,0.130456132728211,0.108395786657338,0.0934649389353299,0.113628454976186,0.185721868748865,0.131515011844559,0.175770463436742,0.11436482200335,0.132888882397383,0.167319237402762,0.113354147943022,0.172581211758225,0.10585973653851,0.221686115979168,0.133819215408661,0.166482530641593,0.318166280090507,0.163236165287957,0.215317461058802,0.168100917368154,0.125559296418154,0.158182197952198,0.130162077900211,0.122637054888848,0.184404388690543,0.161407840269129,0.174993648732173,0.211684760476136,0.180107479094276,0.166711304893835,0.133647405186732,0.135338548420284,0.172130598912492,0.172392491230999,0.149653156822816,0.143410979082996,0.148333930856555,0.139259686235024,0.200774687185655,0.166338048536161,0.171525822728757,0.182379627626963,0.142302929200334,0.130135736443756,0.157442818046538,0.166381647793107,0.163906621794865,0.176704758505951,0.116527584738994,0.173891598666315,0.150199558865415,0.151431622681686,0.128444013321829,0.177414752867987,0.164676945679612,0.153577234876967,0.101105084509939,0.0867532190127757,0.144898005930914,0.152637266637912,0.15603973342335,0.167795078612275,0.149232293004711,0.168359964583373,0.130338845901673,0.175587987211353,0.17144882489545,0.13572672970891,0.134767711808748,0.172126083918601,0.115904487720181,0.220278379276297,0.140707189135628,0.145081272557826,0.125215381167645,0.0971862741549136,0.169409988136017,0.12673886076406,0.191777310257082,0.121970955077752,0.14960994938047,0.158780969670879,0.125759317448779,0.220642306017155,0.106596837119323,0.209261256658396,0.108580798499195,0.126724526684072,0.134652009254156,0.13577996982727,0.181425520915893,0.156346564973118
"103_8",0.123663534449818,0.0679682958395534,0.0909755105226329,0.000262412112412399,0.136118113240918,0.0749486071703851,0.0775887988050556,0.127135123179866,0.0877300000533532,0.0620253328460805,0.129646770497517,0.094156116949417,0.111240311953776,0.0565119246897005,0.0744356368177893,0.129080239100052,0.0654454400716071,0.114006706378396,0.0953259715670917,0.159465466951575,0.0810869204706399,0.108657144889928,0.246405553630159,0.112083006486294,0.123532714672423,0.118512449204316,0.0607939541284617,0.0968659817636152,0.0994216520557418,0.0764429108998099,0.129674029837093,0.0976443233732223,0.140474951688424,0.155780708198843,0.12831637220493,0.116185535095918,0.086304700099021,0.0923323504067088,0.109919220115572,0.1181383857609,0.0753696290060432,0.101267411258559,0.092882867535953,0.0932591480628572,0.147369481926271,0.122434076961209,0.113784346595182,0.126734326375808,0.0890348676366191,0.0939402722219097,0.0979015139750478,0.115319950189038,0.0979856738768116,0.112118950336779,0.0667894364061691,0.119074459128471,0.0929762748575252,0.0973294327727345,0.0889830456103101,0.112777798856458,0.15874318777235,0.184825134408498,0.138256993731374,0.110756258945227,0.10131907471898,0.0767252469626937,0.0997947608102633,0.104071387850305,0.0977065451962764,0.132403602866992,0.0911544627222072,0.195894226398609,0.147475538043778,0.0827423345104248,0.0861505599432813,0.118109394578148,0.114121257063703,0.170491326457337,0.101780238922951,0.107662592598352,0.0795857853410858,0.0965377002108114,0.103268286958282,0.0878731930218528,0.133279120044531,0.0674436171720227,0.135735398098647,0.0929141682071811,0.0931502386938904,0.169631218893374,0.112573768342327,0.149669427795292,0.0941063375777234,0.0890654312058702,0.08863289035474,0.0981244225651749,0.132972055624423,0.095948346378225
"112_12",0.2531986726199,0.134927059990785,0.191898762091229,0.136118113240918,-0.00130358892868243,0.118115328101171,0.0676591543088357,0.219314745027185,0.156782876946438,0.11026686410671,0.0533865241687914,0.0643068894676314,0.0675295203101279,0.0897852116742178,0.0778363999569225,0.0353138399062698,0.0768864779552659,0.0633501235471131,0.0756954282232129,0.0641581167264405,0.105842862602273,0.0585912545132652,0.0809951834807999,0.0714474721287763,0.0876350398589701,0.0543782552570973,0.0995184986922375,0.0744483602005053,0.0842783635632537,0.0954735105145715,0.0490827173458621,0.0569849616556,0.285826173172608,0.062784834391682,0.0326759415233175,0.0402066018384318,0.0712731884547287,0.118200427639492,0.0745538289382917,0.0903869890104952,0.0669543552644118,0.107148992912221,0.0581718250516045,0.0919553722066204,0.0761235593589917,0.0767577111060317,0.059849185301564,0.0616442628645171,0.11930321610687,0.093665571643061,0.0581255898625315,0.0943684398162435,0.0766723124833165,0.0714664872360242,0.108427221386981,0.075173346369199,0.0474073836938673,0.0703305464458443,0.0855224893233112,0.0500697840899894,0.265385849785041,0.218315036225975,0.229768642426734,0.1992924259172,0.0563807502736573,0.0654879156103567,0.0544084227646223,0.0528551525630695,0.057931293133953,0.0247660084892961,0.103296661340617,0.325245705582523,0.0745737813579853,0.100909777343056,0.0644861674623683,0.0736271284563355,0.180440370492115,0.0792450678983572,0.172543236094378,0.15597044689651,0.110094729459786,0.182619665095546,0.0331478351470977,0.0758389835253853,0.0191009392453913,0.0783224214969629,0.23424540977709,0.0703671105582301,0.137362183337685,0.105151613642524,0.228897177964706,0.0862861774948987,0.117135989680186,0.0707800508983275,0.0732944900840393,0.0666380940118668,0.0690564834221385,0.0814329232127399
"112_3",0.108662022696309,0.0869635930421961,0.121145527540116,0.0749486071703851,0.118115328101171,-0.00117222159367721,0.0533098710644986,0.0831969693620025,0.0453052934948947,0.0454485452168222,0.0974568484792193,0.0525668295933684,0.0626651461880318,0.0539488846081801,0.0801077912301172,0.0997928036173439,0.0604339258526954,0.110409428588112,0.0824765889857883,0.102993689694704,0.0628089597594521,0.0857226493802448,0.23880299356447,0.122924156091795,0.132858934270905,0.0935835469295992,0.089427608908865,0.0817895546404102,0.0424454303745337,0.0686951430122827,0.114641195974748,0.0950858859507566,0.154533653407785,0.129466561553651,0.110100172984447,0.10172434115259,0.0671480817690672,0.0374361763861452,0.100790799229616,0.0873316746619939,0.0798716154308275,0.091976933615149,0.0824827190573356,0.0972143232483835,0.123688028302821,0.0868638418271032,0.101759080006842,0.101000507740188,0.0828447591190358,0.0577942378320243,0.0829227254497754,0.0979392007937941,0.0905985394878559,0.0970268634956238,0.0622791204980992,0.113511137361399,0.0890172116980485,0.0706728072560609,0.0899232513411951,0.119040284864148,0.0828729878525819,0.167061468627356,0.110052360527261,0.0909633306700868,0.0921633550119987,0.0717167337880061,0.0861344558651965,0.101828565376035,0.0903907172147023,0.103843781212475,0.079440277892986,0.181385407461198,0.1272785544326,0.0786198213683015,0.0875984140558418,0.0943226053456562,0.108699033019024,0.138836603886201,0.0726061144992014,0.0587544286826428,0.0353163593203695,0.078751457186606,0.0826210620175347,0.0450929490909591,0.110765659492789,0.0430429208464334,0.0862732330849955,0.088179278452801,0.0403297725074316,0.170740144672383,0.0861330682758026,0.0982399630917285,0.0689356291809869,0.0650667539691935,0.054550446942861,0.0512990634982016,0.0948132272501857,0.0603306254096443
"112_8",0.152717347637221,0.0677818073835178,0.130456132728211,0.0775887988050556,0.0676591543088357,0.0533098710644986,-0.000579978137236937,0.140297452677762,0.0816858652502387,0.0568748663741647,0.0699588130454835,0.0568427854277045,0.0506742513397605,0.0408188009015311,0.0580886614900536,0.0598207437509069,0.0392939955226886,0.0547710033635498,0.0685832242306199,0.0840431396392702,0.0754511567145931,0.0629219733138441,0.18835537543826,0.0836103851724414,0.100078660050622,0.046826432158667,0.058198983592378,0.0538703147363797,0.0541461353189634,0.0591779646621213,0.0734012373960118,0.0588618993365918,0.182806685410954,0.087730557142958,0.0664465449370232,0.0603665040623774,0.0399997890681742,0.0724360555882999,0.0666954343121051,0.0567622899374661,0.055631925013702,0.0704588420142881,0.0475115857228547,0.0558445338163664,0.0681833734142453,0.0642412086111115,0.0573144512760514,0.0627079748977796,0.055938277493946,0.0502981131529989,0.0434048775129477,0.0717311674758514,0.0609629761220594,0.0594757098543091,0.0497599626665105,0.0707479446814044,0.0612625571847033,0.0455947653685169,0.0547546205680791,0.0688573404597367,0.150297067049166,0.152742648348786,0.145431596657331,0.118409133744225,0.0604201059669446,0.0503463811730373,0.0607157495369256,0.0664549501091209,0.0543725245843015,0.0613902970233942,0.0567469513073081,0.203345271225239,0.088924097370612,0.0562514781787914,0.0447401799464894,0.0725393551308394,0.104241597332823,0.106221666365139,0.0992842606702399,0.0920457513581417,0.0639163783562091,0.111982801179085,0.05064481599336,0.0392203327622493,0.0634735553893478,0.0377199243818299,0.133457345808771,0.0655351516076449,0.0645151208652826,0.137234614670885,0.13344418756036,0.0811536800774125,0.0771170272565339,0.0396625141393835,0.0381562108971542,0.0511361349593755,0.0749726015364727,0.0471093082933485
"125_5",0.0768262760103414,0.11811194772355,0.108395786657338,0.127135123179866,0.219314745027184,0.0831969693620028,0.140297452677762,-0.000810980434443122,0.058769459075756,0.0969965864634166,0.19930613053485,0.136582542957239,0.178587570396754,0.110328997676496,0.149025559665284,0.177711590127026,0.11732375553024,0.192081368192861,0.143735902829127,0.205774846124798,0.110645260342711,0.192578854350599,0.347742374894079,0.199922258405719,0.223085333100226,0.154451955520826,0.136104645509504,0.151296675164106,0.105863148511322,0.12691044196762,0.211389136674089,0.187073680245658,0.140975761872414,0.214655981405164,0.195139459891139,0.193930135912508,0.141394644631821,0.108722623233458,0.182250499106057,0.159551069386508,0.16169570096401,0.159500154453671,0.143749399240682,0.155733434232697,0.204220959286581,0.167082698662689,0.187845652802652,0.187947038390442,0.130853204991563,0.102558731275602,0.161247776151159,0.1609418945389,0.16280377216146,0.180518988694376,0.115052444529243,0.197387785231013,0.174263971966999,0.141881838231349,0.144790856917792,0.216451625913464,0.0863951739733254,0.149746881825769,0.0963131821978954,0.0897373075197081,0.154144725191751,0.160535647901594,0.156072243654469,0.186598561364765,0.169496241889307,0.186904200361613,0.131484506758609,0.0956769248382863,0.188932242986247,0.132462864775107,0.15236328203924,0.175158393292094,0.112499911730581,0.22929188106917,0.0964000322360107,0.123135850002883,0.0728767008916328,0.0506888706837782,0.169488836923133,0.130495566719401,0.191424879414832,0.125916648213181,0.105356727005135,0.172192207508505,0.0765348109778752,0.254133203801467,0.0517461202639098,0.205841376524012,0.0719113460792982,0.120989538373751,0.14417183101206,0.126765672994275,0.17811928681128,0.144488167045251
"125_6",0.0874734484622024,0.0816286549606719,0.0934649389353296,0.0877300000533532,0.156782876946438,0.0453052934948947,0.0816858652502387,0.058769459075756,0.000605295737342379,0.0555614862428344,0.1347379489168,0.069872183213979,0.102426200891453,0.0662430443835561,0.1084598673277,0.13356698972705,0.0767316462415992,0.119412383237096,0.0903441329821524,0.151824929208983,0.0754415785284201,0.123078906599643,0.278033502997077,0.133023158405133,0.161828282697349,0.112354327386794,0.0810485823341892,0.0822202311640918,0.0474568320886758,0.0796138108886751,0.149850985727093,0.117362583761919,0.153008996874973,0.163671903720119,0.148670849207771,0.126527204684606,0.0934047372196892,0.0655565519125367,0.140786881420505,0.105845362298293,0.128770946915348,0.110592853667889,0.106359457213355,0.107695998221614,0.156725816513222,0.119895945644955,0.127214607959939,0.137612478535109,0.105159637923313,0.0758071244637734,0.101388091600226,0.123009193718784,0.110705088241062,0.126758554890378,0.0741436071866434,0.141865918434542,0.121764062170219,0.0885646658177111,0.0947223862016661,0.140462998002212,0.0796481726234306,0.123461802599263,0.0780002684704988,0.071631997197431,0.10887293524072,0.102373672328288,0.104742175725019,0.122819439591365,0.116005634537658,0.12361466094084,0.0860318435962377,0.144931259061877,0.150377654976267,0.0962427798363698,0.101848781086959,0.126269769203604,0.085632501446914,0.170136745148473,0.0768965351221079,0.0801292798659255,0.0525572728965283,0.0591742490958569,0.113163203988859,0.0746434296582624,0.131707356032204,0.069682209591608,0.0827820956272526,0.114656918951506,0.0403912586931552,0.180473088079743,0.0614239641461955,0.129019535603108,0.0579393930164212,0.0726146667927623,0.0664402554646795,0.072939237504258,0.126255656416729,0.090879479044314
"125_9",0.119065392380901,0.0636113760776429,0.113628454976186,0.0620253328460805,0.11026686410671,0.0454485452168222,0.0568748663741647,0.0969965864634166,0.0555614862428344,0.00101999465871361,0.115114762051626,0.0714998373454365,0.0891819013667871,0.0367623345340756,0.0614096746458844,0.0868631383923524,0.0489507756789463,0.0816467860373014,0.0792704611086017,0.0946199789672125,0.0639488554023072,0.0851180374216701,0.237025484142922,0.0959486675960927,0.113044481066515,0.0859027468470963,0.0523001070334748,0.0660839401796028,0.064763416915529,0.0552877069976329,0.0825771898847682,0.0733516804649983,0.147392798738213,0.102723840246205,0.0827776641531681,0.0954796286961415,0.0607521168888473,0.0606052730163734,0.082261968968697,0.0695068498145728,0.0703528652168417,0.0842835139008902,0.0665861542011203,0.0649487878600981,0.103135226315795,0.074013226356361,0.0913648370952295,0.0971743676481284,0.0629525688487201,0.0480115577397463,0.0638761822344291,0.0795988234975444,0.0751842979894362,0.0859403270802371,0.0602713992550391,0.0903003605803269,0.0819222566863787,0.0602435409010098,0.0553379768827895,0.105989109014331,0.119193168240768,0.15786833499714,0.117333491219137,0.109825553648386,0.0905132529496167,0.0619415627079923,0.0798711813176904,0.0840563422641792,0.0740754349557433,0.0910460831942204,0.0628435815956775,0.179387904577801,0.127941509625061,0.0552806201643011,0.0760559651052153,0.0770580049842428,0.0933733792721289,0.13022350373932,0.0590903641991538,0.069385574042656,0.0569526397030448,0.0873570033724436,0.0708850734182142,0.0582117900153687,0.0866295648658013,0.0513255207208644,0.111355346960204,0.0638731769461529,0.0445217386152447,0.169112486304967,0.0886063929087279,0.102009553998877,0.0684611347421849,0.0562303461850608,0.0664967771106886,0.0391683916255343,0.0739813212545622,0.0551405175832494
