"site2","103_2","103_3","103_5","103_8","112_12","112_3","112_8","125_5","125_6","125_9","129_10","129_11","129_5","157_2","157_3","157_4","157_5","157_6","157_8","160_10","160_11","160_5","160_8","165_1","165_4","165_5","165_7","199_3","199_6","199_9","236_2","236_3","236_4","236_5","236_6","236_7","260_1","260_2","260_3","260_4","260_5","260_6","261_1","261_10","261_11","261_12","261_2","261_3","261_4","261_5","261_6","261_7","261_8","261_9","307_1","307_2","307_3","307_5","307_7","357_2","357_3","357_4","357_6","357_9","363_3","363_4","363_5","363_6","363_7","363_8","399_10","399_12","399_3","399_5","399_6","399_7","399_8","399_9","69_10","69_11","69_2","69_6","69_8","81_11","81_15","81_3","81_7","81_9","99_10","99_4","99_6","99_7","99_8","Extra_1","Extra_2","Extra_3","Extra_4","Extra_5"
"103_2",2.56274120305193e-15,0.384305380386469,0.284649530323599,0.346181172533153,0.463016737199898,0.299324935369753,0.375535984464927,0.221074030171271,0.239752719217522,0.339501295590693,0.403584024758425,0.362248183106527,0.399283390143015,0.331721752940855,0.346891751622292,0.427592912865337,0.352589140904488,0.417548895148028,0.370098986630159,0.492450657831303,0.322341542478691,0.412240212351353,0.520686983974302,0.411953994677521,0.423909863808645,0.399684898094602,0.344499394439837,0.4293802809492,0.328063445341676,0.37254782981198,0.445504299398298,0.410442401008221,0.35123689256746,0.474147160149085,0.465402274928171,0.460090784508082,0.427886613390784,0.347758265957543,0.428414242779349,0.428628812187436,0.381479313141925,0.42085673534501,0.42182597606493,0.38638407838907,0.480061740033718,0.416391635424789,0.452354743023085,0.500098267835285,0.435379374502534,0.387351126290563,0.440529954767017,0.420838152335392,0.443653567126897,0.438453735240554,0.381658828332156,0.45921328488676,0.376661890135836,0.430669063574665,0.436600355576111,0.492641121192163,0.336692197431822,0.404358850636298,0.352887906491505,0.324659016964837,0.434856027723784,0.433411519146777,0.397881236698934,0.450589504467856,0.440970783624996,0.458192990993901,0.339568968816796,0.376619093093731,0.406216991625637,0.37533451553575,0.451232004945445,0.418359884760593,0.320076611965862,0.465551374122908,0.350295125721316,0.303251884590239,0.286864743685377,0.269561835112299,0.408185665049989,0.340287599125031,0.440087464905533,0.341529900726068,0.401589655631844,0.42718832018155,0.324437525464834,0.383116398956092,0.249682399655717,0.418090580659509,0.310671039458072,0.366065865774143,0.429090321480881,0.382411131995901,0.432485288727973,0.419633639584728
"103_3",0.384305380386465,-1.28137060152597e-15,0.291931549571506,0.258664207673685,0.359188797462756,0.330475988670043,0.253833799817344,0.310180104182618,0.286228549430358,0.255250104862825,0.384454001795733,0.356970118363008,0.323028356933468,0.276196560118307,0.32304770837826,0.373194234404878,0.295554330563786,0.323261938940024,0.32723464935082,0.367051020090884,0.269567978574766,0.33834545780073,0.387790572638256,0.306888441923959,0.346267070997209,0.282658918375978,0.272756234053936,0.274587522484828,0.315357138483487,0.342763198083864,0.323834164367943,0.297459564552322,0.40871905333967,0.364005766482702,0.353345236502068,0.341786444386861,0.36047073373663,0.320116382670391,0.35736344756777,0.368493645153182,0.314242819986314,0.368535575149201,0.311210567011143,0.312730063912283,0.346604260065721,0.301423252569763,0.362669550358242,0.405396275793233,0.304079633571211,0.298097691695726,0.351874621983052,0.294510721791649,0.342367912767438,0.335759527806638,0.276906496249996,0.37864404201051,0.327554194734442,0.350916403665103,0.326517289111578,0.393955800627103,0.422229798583208,0.49997536830953,0.40307984020017,0.356794837717407,0.357072194155857,0.351994357904421,0.363370878035417,0.365120881516572,0.355777151346741,0.37127807239808,0.314694162301168,0.47527854785268,0.339261662146051,0.31786960018272,0.35467713150733,0.32369680258973,0.417273431135959,0.383949532196983,0.325059707046945,0.37570165511083,0.34308856292681,0.326266728878352,0.314121605373833,0.354414200689625,0.337930855544772,0.313771234657,0.434844765301408,0.367891362081525,0.242184002253436,0.413367235468738,0.299345752979167,0.338389091587953,0.269702183746685,0.278916885368408,0.294847946300446,0.272081866392111,0.315018976472254,0.278103376604658
"103_5",0.284649530323599,0.291931549571506,-5.28565373129462e-15,0.270564612570453,0.421890832458951,0.372742173044236,0.365630071344947,0.271046093549114,0.273101937983769,0.331076579020909,0.43918116752069,0.33921078948779,0.40829461800478,0.31726388986745,0.345116851735631,0.399052461945555,0.335485371469435,0.400043556057441,0.28652896344684,0.475497651279756,0.355407332563709,0.39385042424244,0.465123355560101,0.37363426490493,0.448821103372548,0.365002273366585,0.312854895321196,0.41293567992432,0.386920387377627,0.367100885336685,0.409655736198654,0.377158709470712,0.39156128407705,0.459855387685998,0.415545056268009,0.409377844876351,0.406986577439764,0.378161089646867,0.41658743530846,0.442621051052944,0.38100404907933,0.417126011110249,0.390097201150083,0.370492382351592,0.448483999346233,0.397038794486201,0.424482979966479,0.474575853587566,0.38897958025385,0.387927844097121,0.435757603123517,0.376064797710566,0.432358918161023,0.417496736040924,0.351176750852518,0.443914748995223,0.341697253133626,0.418477197975283,0.375037503933132,0.446679664526258,0.436763107835911,0.400615848285481,0.293422803565669,0.267733528586185,0.406901287243833,0.407179888885507,0.394695354377666,0.431856394368431,0.407756741100827,0.41572442125611,0.336638370515998,0.381548003801755,0.386889345105835,0.364898305032115,0.397731188743192,0.403328111092418,0.321088641249037,0.47255758838054,0.394497689959582,0.397244961173337,0.379702019854803,0.26256519224293,0.41372577994337,0.373694044060481,0.438204194178754,0.373413455994167,0.477346841899301,0.402201461807885,0.36597319516408,0.439436603312593,0.274275178396504,0.454164077020047,0.308485038351643,0.366235753508183,0.402296237974855,0.376393799173537,0.433990696567525,0.410407410347664
"103_8",0.346181172533145,0.258664207673687,0.270564612570457,-1.60171325190746e-16,0.341728682439709,0.307637633851478,0.289249588261882,0.337761694966013,0.287530744299092,0.244057183323287,0.36734695557685,0.326840562774526,0.299415978749897,0.221236433266227,0.260999904075627,0.374154898754616,0.259482247778307,0.330877927307509,0.313592244621578,0.421424140262464,0.25638455239669,0.299537771849452,0.371798241980968,0.273392854942967,0.277731554512762,0.321928605408756,0.254850530940733,0.307625993036574,0.332064040687769,0.310281246579359,0.339465710740693,0.275506692071585,0.333005105979974,0.387772904381898,0.359465815507426,0.33927387779888,0.328216865233091,0.29633833801497,0.331296956753122,0.373571454444517,0.252436721854321,0.364028351646212,0.308537962863761,0.314547892017228,0.391302125700311,0.348662990621585,0.347485319027434,0.411498863585996,0.332856551041837,0.343632908160739,0.350254546523721,0.342232091546968,0.321813629638972,0.343887118820947,0.285554470058132,0.37715426819735,0.28681752575652,0.358608134548983,0.31268883044171,0.343919510738146,0.455109363240874,0.485786551545412,0.413173355191097,0.35713884290166,0.366539691177293,0.295238844033876,0.309966149539945,0.330269782149242,0.325369124766386,0.366680963553856,0.299238647863406,0.449086703510493,0.35471729626201,0.301414205092725,0.342575279911229,0.338086876372791,0.353484100771491,0.422519048809901,0.321399821778422,0.342611854682128,0.310942583584433,0.305878653360558,0.323861065028329,0.311799711514346,0.366251660923096,0.287824902407348,0.429214269079289,0.313964773792898,0.331060418870999,0.372594685160504,0.29526804488389,0.382248541353016,0.274591835202172,0.329988599969167,0.338909823680982,0.344519324083557,0.393497319037301,0.333613524140384
"112_12",0.463016737199893,0.359188797462751,0.421890832458948,0.341728682439717,4.80513975572237e-15,0.290154357998353,0.230212362272445,0.408236079137917,0.344513581380116,0.251331082238819,0.279621820522032,0.238308102766926,0.233590964762754,0.243733801327464,0.278163052033447,0.129103550050707,0.255048678888985,0.236563926704593,0.290762843383591,0.255438762521778,0.299773485553723,0.219260431460487,0.217011221486665,0.264200350402556,0.27711667833508,0.211639674458751,0.299652868064408,0.250049983613726,0.281047914916096,0.266934500228264,0.200989504374227,0.220392664533893,0.482618990863147,0.242124904270453,0.152240723763733,0.171413474616953,0.24025623850908,0.330948770192148,0.235359139029182,0.25946859636306,0.233777291130906,0.306803113333603,0.244380832034617,0.273776994447634,0.251672312064086,0.25174410252646,0.229193363440033,0.242865540554098,0.274127088288091,0.26406746820644,0.237682215734723,0.295084480642797,0.290221861032768,0.24611357701825,0.266009025558717,0.290806211388179,0.206316740412422,0.213680367189907,0.230244347432307,0.225792805057875,0.453608647312748,0.527642010586624,0.493474099555775,0.427138312665891,0.253916274287328,0.248556842222686,0.241572117138742,0.249496146957295,0.201108939394557,0.159410450720287,0.298669493039654,0.571414926703523,0.237984881011545,0.272821120371785,0.335964870146309,0.233292691009596,0.398181365427235,0.262869536472746,0.301481030337049,0.332505917142332,0.255559416766986,0.388801733680092,0.167892288865049,0.230880280965502,0.130214014264683,0.21841723423664,0.465696221158697,0.224745976338766,0.31204530448056,0.386196980340445,0.361934813857518,0.230980753594248,0.259291366268832,0.288039919643855,0.239723378051296,0.219647502164448,0.232617719127254,0.267934019448201
"112_3",0.29932493536975,0.330475988670047,0.372742173044231,0.307637633851485,0.290154357998359,-1.12119927633522e-15,0.227842503646861,0.266076806507213,0.175675159629848,0.219845716473486,0.220821240190058,0.185200672772476,0.153145026463976,0.256266295415606,0.320057373846412,0.301522384760343,0.239332099257008,0.308674378474129,0.284683004942066,0.297143464681867,0.224480593149178,0.232441113630362,0.384385394090787,0.333396376839126,0.330051782651526,0.282154399167665,0.305739878534308,0.285460493466876,0.17552376449389,0.230533448685439,0.309162901700961,0.271463162729176,0.350682141191612,0.354222150662435,0.326715078162371,0.287240829404762,0.30331455216795,0.184270918790522,0.364416480804904,0.322729781855447,0.254746242859965,0.325052472149111,0.314299227897321,0.330255497349606,0.358061638567078,0.309843323300031,0.324164776467111,0.363779787867645,0.355272464436311,0.274882511984421,0.307941741404684,0.328947163835991,0.316851140709152,0.299016421674523,0.286800695611827,0.384433911635803,0.268822533946234,0.287397621273363,0.346109657065509,0.326556110738131,0.227775185066618,0.458520561676605,0.385663376429549,0.317578845202412,0.340900932888759,0.28538997743262,0.284126903152349,0.315163626414176,0.287842153373366,0.286636648664614,0.283247687518386,0.441655830875628,0.321412499364426,0.317204407586107,0.363959348562629,0.312408658808843,0.351197519413077,0.380348704415854,0.253733704205752,0.227590222245463,0.148874158252972,0.275408058064808,0.274437244666313,0.165693405159459,0.285825836469668,0.195795102326617,0.260660494049581,0.280766696923832,0.231610209061601,0.364249408984204,0.252382671483557,0.276926725608977,0.241292751372332,0.266168349836364,0.242068863965222,0.227085100398602,0.311562896930526,0.242524140510861
"112_8",0.375535984464926,0.253833799817342,0.365630071344946,0.28924958826189,0.230212362272445,0.227842503646849,3.5237691541964e-15,0.33325356607399,0.261059272715539,0.177139091489322,0.299905909445293,0.271238345061224,0.196841245691008,0.204322414569755,0.249800556940903,0.234232862596769,0.17645666983261,0.193792340518428,0.287627953030286,0.265891227770162,0.264306802020448,0.250288397039969,0.321272370891049,0.303698781100534,0.310613364968051,0.209646315407824,0.288691918893351,0.215300214315542,0.277202730676311,0.256283217968485,0.239926995124875,0.235559143948142,0.377390916364591,0.289382412868262,0.237497850837239,0.220783120463769,0.202816032776667,0.274976393142968,0.234899607889254,0.241253306877748,0.224702846834679,0.259294113437273,0.236335829129781,0.227633793653557,0.259566613395593,0.254457073626652,0.235494216938398,0.286313724576935,0.251014959338635,0.205581499081498,0.214682763061317,0.266460691154001,0.236369514731796,0.232626789946648,0.205265652338657,0.302875591786992,0.257367028466456,0.219700986051129,0.246804878768586,0.250054612518194,0.367644576445301,0.475235178841448,0.425161482723835,0.371290175871536,0.283279965851264,0.245262202317153,0.259850643099353,0.267109329263279,0.249976539040296,0.250721459363881,0.245510298843202,0.444395124105544,0.297958392735415,0.223260499490063,0.296143778691892,0.266842831063948,0.324165122825769,0.312595760944666,0.280851076614631,0.298871705081966,0.251704758524066,0.330433124410224,0.210850539473603,0.204211798288655,0.208240710246876,0.195674815278754,0.392823624019314,0.240099379044449,0.256267869276518,0.394212297182982,0.298954695695013,0.264838632091858,0.243725841767878,0.228975163228688,0.212406955310895,0.20750210992582,0.251394517056989,0.220361445199887
"125_5",0.221074030171268,0.310180104182623,0.271046093549112,0.337761694966018,0.408236079137917,0.266076806507213,0.333253566073996,-1.28137060152597e-15,0.188350397548881,0.304454100596193,0.383211802290207,0.299316452971244,0.345809575833264,0.307201519920517,0.368253699728147,0.382722726234359,0.345940346599157,0.404630739872304,0.303182061648731,0.39643161080776,0.260364622469165,0.382981055312332,0.458802621408887,0.410521993495906,0.424138464493619,0.331641581290162,0.340256083956877,0.347380132933613,0.272838940346885,0.303736406466276,0.402489337443928,0.37030047559458,0.330377574154653,0.413268961003652,0.423437843022661,0.430513112020774,0.412790850122259,0.272893097873439,0.408223060969293,0.398676487766226,0.353509444196755,0.421567682699919,0.382570571222218,0.369069737458463,0.431855743822314,0.379636424970442,0.430496768435722,0.462219166910869,0.412256599180475,0.322164280008305,0.424898413799034,0.384416097155019,0.41826783117762,0.389924366369525,0.366834663677124,0.455293794858448,0.37135491463586,0.376334910920167,0.408393142546879,0.470434794150705,0.271815027714025,0.382933579810874,0.332513277836175,0.322109208873282,0.3987770023423,0.405135198384224,0.367455628065422,0.403740290077099,0.419634543858435,0.431863295143038,0.310226457872439,0.292493992462816,0.373582781143548,0.339076969795123,0.445589901614433,0.385283629582357,0.336686080972321,0.435382067443249,0.2987504425266,0.331737011863713,0.237290418945017,0.178355254992884,0.364452376447474,0.330619042478358,0.389929392329769,0.327082083907126,0.392206763940723,0.403251604113635,0.232433298677939,0.440403684944168,0.18088346009214,0.370806983547836,0.201343925318177,0.338418374452143,0.377413075580049,0.320354279660914,0.377969512019119,0.342849061098654
"125_6",0.239752719217518,0.286228549430358,0.273101937983772,0.287530744299097,0.344513581380118,0.175675159629848,0.261059272715547,0.188350397548881,-1.44154192671671e-15,0.219776198389313,0.298904985884979,0.207579073788039,0.235255889118687,0.246668743303379,0.316271483247793,0.335604247453557,0.27797249052629,0.311169873349128,0.228279485340016,0.344934047372797,0.241638960419028,0.31053544057783,0.396430483355855,0.337382983081254,0.354336223710089,0.302807327541295,0.286100277383325,0.277219991394261,0.186320740893497,0.267064943873834,0.341197997813236,0.270991704069278,0.326798870437884,0.386007512358613,0.377266795056438,0.324385692493271,0.350946007868273,0.209827307961427,0.380121891119428,0.351658237972233,0.313543823102055,0.348409883288672,0.347501938158984,0.340144408289284,0.385252025040335,0.32449757190693,0.377039298962421,0.419273125719218,0.374091628678518,0.282490893946906,0.346922524030082,0.350325028976426,0.353407889163173,0.339770748250357,0.309261758389035,0.398851502807235,0.302622633180449,0.316668754585341,0.350281912004044,0.349414184922765,0.244405777435338,0.359507627394314,0.307624872760047,0.268259889658703,0.364454296704884,0.332450207132498,0.321808124409629,0.34872496150362,0.333458489773911,0.326414819519403,0.277461706944159,0.345873192219541,0.366422105592198,0.301907309046333,0.405759085022308,0.338478737587161,0.281666416117134,0.379617059670562,0.258044896872487,0.282190322111057,0.205363646105532,0.202987924878932,0.305807164711427,0.238301736339791,0.330402034033444,0.269318356378671,0.295406659497397,0.312474695816051,0.203855397040834,0.336280099225432,0.176640664395951,0.289931321112379,0.198265730415014,0.283018944004522,0.280312483629863,0.241096929430767,0.311349949167734,0.281466170810485
"125_9",0.339501295590695,0.255250104862825,0.331076579020905,0.244057183323283,0.251331082238811,0.219845716473477,0.177139091489322,0.30445410059619,0.219776198389307,8.96959421068174e-15,0.324328838399209,0.254727077216817,0.245555809953544,0.146570451326714,0.227376724554162,0.248486420396701,0.208615845267738,0.226834817468552,0.280985290838334,0.241974043693016,0.222894295840234,0.242623665585692,0.343964784797171,0.286372772628787,0.277616897064898,0.248061372351203,0.223164262537592,0.216341517020456,0.250503004918245,0.236575320744872,0.221125456920396,0.215263518494277,0.343182130008158,0.268435958525128,0.236075245692571,0.246359743625216,0.2516722711322,0.229594021716531,0.239468341032665,0.243242315846825,0.23140178279643,0.300986702096418,0.236192494215526,0.220656356532095,0.272585215763023,0.23741857110459,0.269820807497866,0.323418725716043,0.259579531156049,0.217190853426793,0.219946020963152,0.25545388855543,0.245782005879881,0.262842010952697,0.218753365655076,0.308768339921552,0.241993541374293,0.246071555290126,0.213109758350519,0.295872204475298,0.325982277957876,0.469732780956458,0.380422631772689,0.347395173951827,0.307607532522257,0.221762719490961,0.253376533688372,0.25107898141931,0.243739774660148,0.258320854331686,0.246095159474879,0.439861440537332,0.319899002265746,0.217298672984613,0.30896879797513,0.251282081100367,0.309129910526359,0.315854098610883,0.219259715841775,0.255704949164267,0.225845007862405,0.280309583180591,0.198582718831285,0.240244008460857,0.214271964550741,0.209990825402505,0.373532599106271,0.217962873377541,0.222209426899514,0.370719381405773,0.239790251497342,0.260342058716865,0.241700659991154,0.231972951268081,0.265853641660809,0.191542842021711,0.229819106579641,0.229000688672044
