"site2","103_2","103_3","103_5","103_8","112_12","112_3","112_8","125_5","125_6","125_9","129_10","129_11","129_5","157_2","157_3","157_4","157_5","157_6","157_8","160_10","160_11","160_5","160_8","165_1","165_4","165_5","165_7","199_3","199_6","199_9","236_2","236_3","236_4","236_5","236_6","236_7","260_1","260_2","260_3","260_4","260_5","260_6","261_1","261_10","261_11","261_12","261_2","261_3","261_4","261_5","261_6","261_7","261_8","261_9","307_1","307_2","307_3","307_5","307_7","357_2","357_3","357_4","357_6","357_9","363_3","363_4","363_5","363_6","363_7","363_8","399_10","399_12","399_3","399_5","399_6","399_7","399_8","399_9","69_10","69_11","69_2","69_6","69_8","81_11","81_15","81_3","81_7","81_9","99_10","99_4","99_6","99_7","99_8","Extra_1","Extra_2","Extra_3","Extra_4","Extra_5"
"103_2",-4.44089209850063e-16,0.888307155322862,0.825634352635003,0.953598734510941,0.977386934673367,0.854409706019598,0.960343296833383,0.63691595544626,0.745549109821964,0.925570904990132,0.918092909535452,0.88431151241535,0.917746478873239,0.904761904761904,0.917477158856469,0.975713418336369,0.948291782086796,0.969173859432799,0.946777980693973,0.984786742732953,0.855606024384413,0.902982826152456,0.950948332243296,0.879940564635959,0.957601453664446,0.9506548888212,0.888534107402032,0.981373690337602,0.785453660909754,0.954843791021266,0.992961876832845,0.960951799877975,0.944728959319741,0.974883177570094,0.998807749627422,0.967173252279635,0.988084599344653,0.924451481565257,0.979544126241964,0.993214204931011,0.926912181303116,0.975541401273885,0.965791081246182,0.960732289732025,0.998216409036861,0.952604023146872,0.990822881615173,0.995310668229777,0.987660668380463,0.967707212055974,0.986568986568987,0.982112642011119,0.966391509433962,0.981606376456162,0.953434225844005,0.983558426306518,0.929577464788732,0.984750070601525,0.970087976539589,0.956585508946905,0.961886542564932,0.884340877203684,0.850166481687014,0.799797775530839,0.947544983226593,0.971167990585466,0.97803538743136,0.976710334788937,0.978112984324164,0.946940006029545,0.922845417236662,0.970464135021097,0.970691676436108,0.974451541238545,0.990577889447236,0.926490607133133,0.825854959980597,0.983234180638182,0.934390377255331,0.812417437252312,0.824217817052782,0.839583784955561,0.950923787528868,0.863080684596577,0.961011270179714,0.906720741599072,0.908424908424908,0.979722518676628,0.853414073919398,0.740063823614738,0.760300967395199,0.91678874890126,0.728702182586247,0.931248384595503,0.935911602209945,0.929381443298969,0.973082099596231,0.984804820539691
"103_3",0.888307155322862,8.88178419700125e-16,0.849215640365254,0.797494780793319,0.96327467482785,0.785803237858032,0.878828229027963,0.696187450357426,0.708520179372197,0.765269461077845,0.89820788530466,0.804439112177565,0.87089061566049,0.850104094378904,0.953825857519789,0.964714184897671,0.87463556851312,0.906364301389905,0.956032719836401,0.815964523281597,0.800520381613183,0.909847434119279,0.891617273497036,0.870967741935484,0.927017543859649,0.887624466571835,0.792091836734694,0.843489416292495,0.724261414503134,0.901656314699793,0.921722113502935,0.867237687366167,0.981822474032106,0.842275371687137,0.971583220568336,0.927813163481954,0.982432432432433,0.783018867924528,0.990938511326861,0.971698113207547,0.903206291591047,0.982421875,0.911238367931282,0.970401691331924,0.942165433759247,0.792237442922374,0.987068965517242,0.985667752442997,0.830104321907601,0.7868406742795,0.871336669049321,0.864601769911504,0.955115511551155,0.969675090252708,0.935856318152662,0.982995421844343,0.922926192031352,0.956730769230769,0.920417482061318,0.924281984334204,0.860338057025781,0.996693303940479,0.95261460815926,0.890559526743899,0.910128388017119,0.897503285151117,0.934332619557459,0.861360718870347,0.962765957446809,0.922222222222222,0.921259842519685,0.985794803647528,0.966123778501629,0.953596287703016,0.954093343534813,0.887527839643652,0.988381221541843,0.956068094453597,0.757340720221607,0.930956848030018,0.734199134199134,0.808479532163743,0.836168872085696,0.902439024390244,0.901849217638691,0.857777777777777,0.915731156145211,0.970069481560663,0.559752747252747,0.949044585987261,0.740350877192983,0.744791666666666,0.653523489932886,0.869477911646586,0.865748709122203,0.677483774338492,0.831338411316648,0.744329896907216
"103_5",0.825634352635003,0.849215640365254,-4.44089209850063e-16,0.857389587959536,0.926248548199768,0.912450505939287,0.939543830722726,0.862261257493378,0.760030424034988,0.899133175728921,0.968289920724802,0.822292323869611,0.961154855643044,0.946897708216881,0.965507801806734,0.943162633652223,0.953263037902537,0.993150684931507,0.706327876862937,0.97158081705151,0.95093405356741,0.956971221011456,0.970464135021097,0.952,0.994385176866929,0.966694891335027,0.924966261808367,0.956168831168832,0.911690688629604,0.907102482182354,0.957493188010899,0.944036178631995,0.987180695635781,0.99185667752443,0.983955739972338,0.953239436619718,0.988388166989217,0.961973937192907,0.986420423682781,0.994872890408032,0.94934036939314,0.996176821983273,0.990945104697227,0.969223132290892,0.993377483443709,0.964515299562869,0.990365542646642,0.996187363834423,0.968674698795181,0.987927565392354,0.993778280542987,0.981805776665908,0.992332968236583,0.993185689948893,0.966450216450217,0.995635570103655,0.933478735005453,0.981057616416732,0.9858310626703,0.948214772417553,0.969388491805646,0.790908545006906,0.677669902912622,0.673877946399742,0.926532918903645,0.974856518174365,0.978518937252685,0.948579161028417,0.972535017852238,0.955269779144534,0.940229885057471,0.969115191986645,0.916122004357298,0.97979797979798,0.988966318234611,0.974065598779558,0.711262638137785,0.988883274381001,0.961719157821472,0.965431070387339,0.950528446143467,0.864559819413093,0.966702470461869,0.916772392793707,0.974597798475868,0.953663793103448,0.960871498443753,0.956087824351297,0.951673598732422,0.983274885352037,0.81239301609038,0.978763953171794,0.928334439283345,0.975296682005329,0.972680412371134,0.92463768115942,0.979874213836478,0.973019376992887
"103_8",0.953598734510941,0.797494780793319,0.857389587959536,-1.33226762955019e-15,0.856749311294766,0.880419899589229,0.91588785046729,0.952677459526775,0.891873278236915,0.724517906336088,0.921835174171623,0.815044858523119,0.873539518900343,0.798855273916599,0.878274268104776,0.948290241868224,0.807625649913344,0.900783289817232,0.805523590333717,0.973518284993695,0.868773946360153,0.84640522875817,0.819314641744548,0.765354330708661,0.754763877381939,0.934343434343435,0.733333333333333,0.871737509321403,0.910714285714286,0.871645274212369,0.87680608365019,0.756551141166526,0.960503998061545,0.936794582392777,0.925396825396825,0.847698744769875,0.938193343898573,0.896818572656922,0.950263752825923,0.965606190885641,0.673867595818815,0.963934426229508,0.937234944868533,0.942652329749104,0.974783293932229,0.924380704041721,0.933560477001703,0.940774487471526,0.855153203342619,0.986428130783466,0.945808636748518,0.970617042115573,0.876638396299152,0.943444730077121,0.832960477255779,0.972540045766591,0.692307692307693,0.950207468879668,0.882889733840305,0.846270928462709,0.989387613082811,0.995104210379074,0.966160520607375,0.927064339671789,0.885135135135135,0.728527607361963,0.905325443786983,0.65223880597015,0.911353032659409,0.885433715220949,0.894871794871795,0.997778292062023,0.890660592255125,0.925630810092961,0.880624426078972,0.892268694550064,0.977239473256381,0.961322520274485,0.903301886792453,0.922353902738047,0.895793499043977,0.860206513105639,0.884587289992695,0.901639344262295,0.910774410774411,0.865880619012528,0.977413040204788,0.865698729582578,0.958426132145509,0.924556213017751,0.916833954688844,0.919575113808801,0.922437673130194,0.937993235625705,0.914754098360656,0.920448179271708,0.969135802469136,0.953542392566783
"112_12",0.977386934673367,0.96327467482785,0.926248548199768,0.856749311294766,0,0.776232616940581,0.736296296296295,0.958660014255167,0.887581699346405,0.71767497034401,0.78169014084507,0.680952380952381,0.725768321513003,0.781758957654723,0.83744557329463,0.406779661016949,0.765137614678899,0.740740740740742,0.886625332152347,0.778915046059366,0.920216362407032,0.798373983739838,0.666666666666666,0.906202723146747,0.899665551839465,0.70293609671848,0.838056680161943,0.718579234972678,0.812366737739872,0.800904977375565,0.662889518413597,0.72822299651568,0.982995421844343,0.780555555555556,0.502304147465438,0.610921501706484,0.721286370597244,0.875364006988934,0.821727019498607,0.76820034944671,0.784503631961259,0.898443898443899,0.814035087719299,0.932394366197183,0.803030303030302,0.837837837837838,0.840707964601771,0.754237288135593,0.84654300168634,0.865612648221344,0.786713286713286,0.879972086531751,0.88953488372093,0.820788530465949,0.789617486338797,0.826210826210826,0.553977272727273,0.641577060931899,0.813031161473088,0.631205673758866,0.955910719206393,0.995909124114253,0.981921979067555,0.944891640866873,0.638260869565218,0.717985611510792,0.815331010452961,0.751025991792066,0.648449039881832,0.442088091353997,0.917981072555206,0.997332825300057,0.629943502824859,0.785953177257525,0.908333333333334,0.684210526315789,0.975821003247925,0.758551307847082,0.844053180021559,0.880304678998912,0.724881995954147,0.906757464641173,0.578947368421052,0.71136131013306,0.367875647668395,0.655080213903743,0.883289124668435,0.63984674329502,0.932853717026379,0.946164199192463,0.933981931897151,0.771509167842031,0.9165061014772,0.876394849785408,0.679039301310044,0.715986394557823,0.740850642927795,0.879604672057502
"112_3",0.854409706019598,0.785803237858032,0.912450505939287,0.880419899589229,0.776232616940581,0,0.656724817107484,0.638486160798343,0.371209891080365,0.659640102827764,0.574850299401197,0.435633367662205,0.364476386036961,0.828671328671328,0.896147403685092,0.885342789598109,0.77170613236187,0.912302070645554,0.835948005378754,0.582491582491583,0.691592406044169,0.644729178800233,0.84478021978022,0.904707884288145,0.925882352941177,0.82034503271862,0.940314704286489,0.784078516902945,0.31845356715823,0.68645219755324,0.837389380530973,0.781622911694511,0.916085515033726,0.805708013172338,0.938391329150029,0.792654028436019,0.875783475783476,0.252217098261795,0.939560439560439,0.924796026959915,0.796680497925311,0.939733103745157,0.898325358851674,0.955699123211814,0.935300794551646,0.804637395165269,0.930413917216557,0.871823204419889,0.931818181818182,0.775780510879848,0.875746714456392,0.939250493096647,0.890502793296089,0.848192771084338,0.853871319520174,0.972283813747228,0.792912513842746,0.820526044352759,0.954646017699115,0.797454344216934,0.51388773041955,0.988100872151984,0.907667386609072,0.823176361957525,0.880739415623137,0.799666110183639,0.855608591885442,0.803600654664485,0.832490163012929,0.793586005830904,0.904529956161715,0.959815367906598,0.929281767955801,0.866933466733367,0.974715549936789,0.868662481892806,0.960866947621915,0.91412213740458,0.785328185328186,0.591836734693877,0.322243713733075,0.682497509133178,0.785177228786252,0.553631553631554,0.792980368828079,0.505945945945946,0.597420801794225,0.786579683131407,0.415751490429872,0.936043360433604,0.563819095477387,0.643290999447819,0.758555848063182,0.792677547419497,0.553022794846382,0.546093064091308,0.766209181258874,0.619864559819413
"112_8",0.960343296833383,0.878828229027963,0.939543830722726,0.91588785046729,0.736296296296295,0.656724817107484,-8.88178419700125e-16,0.936875567665759,0.844176706827309,0.680154142581888,0.690694626474443,0.746859903381642,0.467819404418828,0.757725587144623,0.830316742081448,0.852229299363057,0.672972972972973,0.695238095238096,0.915407854984895,0.68259385665529,0.915173237753883,0.65679012345679,0.846994535519125,0.91822429906542,0.92938209331652,0.68733850129199,0.918803418803419,0.801510248112191,0.782771535580524,0.787692307692307,0.842397336293008,0.784135240572171,0.94719387755102,0.753005464480874,0.82033096926714,0.71830985915493,0.650943396226415,0.825313807531381,0.815991237677985,0.819037656903766,0.794319294809011,0.878531073446328,0.796078431372549,0.731746031746032,0.768421052631579,0.796428571428571,0.78421052631579,0.840531561461794,0.766835626357711,0.816072908036454,0.713168187744458,0.893120393120393,0.79841449603624,0.784860557768923,0.713052858683927,0.924191750278707,0.826473859844271,0.784883720930232,0.871254162042175,0.733333333333334,0.918606749684173,0.979976951887064,0.966159052453469,0.942773722627737,0.841558441558442,0.766292134831461,0.841352405721717,0.844492440604752,0.807339449541284,0.77970297029703,0.858638743455498,0.984238591855033,0.902547065337764,0.813186813186813,0.860740740740741,0.829896907216494,0.941432804601708,0.857022708158116,0.930154466084621,0.836694540088539,0.783075089392133,0.928707224334601,0.717277486910994,0.525597269624573,0.75968992248062,0.546129374337221,0.862855307531717,0.775625504439063,0.878947368421052,0.976545842217484,0.88870810283111,0.825221238938053,0.908675799086758,0.785294117647059,0.663366336633663,0.804522246535376,0.872305140961858,0.752293577981651
"125_5",0.63691595544626,0.696187450357426,0.862261257493378,0.952677459526775,0.958660014255167,0.638486160798343,0.936875567665759,8.88178419700125e-16,0.48074369189907,0.834208223972003,0.887363276704678,0.705405996935873,0.853989071038252,0.866451761455215,0.945224083295609,0.954619124797407,0.939167056621432,0.934410869055985,0.824619184849733,0.777730556736082,0.761904761904762,0.924493554327808,0.896644624050943,0.901138952164009,0.93944996533395,0.864902506963788,0.858612975391499,0.938578793992378,0.612538940809969,0.882912701696318,0.934611048478016,0.921450151057402,0.863900123087744,0.870083164756125,0.978995433789954,0.947624565469293,0.984938384299406,0.638633859713551,0.977512930065213,0.957767168564084,0.931064763995609,0.991111111111111,0.920446615491975,0.965373383395912,0.982683982683983,0.932960893854748,0.993013507219376,0.975208474194275,0.972736520854527,0.88399071925754,0.977214601255522,0.947307245253778,0.96694589087616,0.967809657102869,0.955167002914145,0.996389076957798,0.952176855402662,0.938677179150241,0.935512965050733,0.980604420387911,0.579091406677613,0.991043747847055,0.937817638266069,0.841069119126311,0.904739776951673,0.953887884267631,0.933999535207994,0.929596412556054,0.942805265546981,0.933671119299861,0.95982905982906,0.73670374115268,0.963488843813388,0.949416342412452,0.998574483250178,0.873563218390805,0.990723762269443,0.959771331780648,0.797911547911548,0.910903538710257,0.505372217958557,0.45512593118127,0.933169971040321,0.868678283042924,0.912256267409471,0.882957337502792,0.818051429156849,0.964802011313639,0.450980392156863,0.971824686940966,0.400030270924778,0.812978819287968,0.387060158910329,0.914997956681651,0.845855758880516,0.767991845056065,0.865822784810126,0.845931433292028
"125_6",0.745549109821964,0.708520179372197,0.760030424034988,0.891873278236915,0.887581699346405,0.371209891080365,0.844176706827309,0.48074369189907,0,0.702784048156508,0.75996642887117,0.425235404896422,0.679819616685457,0.819678880197613,0.943290734824281,0.925155925155925,0.896610169491525,0.919320594479831,0.692255434782609,0.670487106017192,0.69338190649666,0.844444444444445,0.879207007837713,0.864297253634895,0.937836717778699,0.847117794486215,0.895931142410016,0.787200628190027,0.273743016759777,0.823287671232877,0.880206267354224,0.804102134784428,0.944186046511628,0.81301775147929,0.97323600973236,0.850062473969179,0.967585089141005,0.42242355605889,0.966837741808133,0.937712344280861,0.919727375993942,0.956521739130435,0.938784067085954,0.944444444444444,0.972525252525253,0.844525547445255,0.977310924369748,0.964328180737218,0.966011329556814,0.820304209409268,0.927105152911604,0.964285714285714,0.960047942469037,0.921618204804046,0.915194346289752,0.969805323798172,0.854704247717348,0.886877828054298,0.935739785799286,0.846031746031746,0.535506219492993,0.793859649122807,0.69683536510282,0.683250743310208,0.881171548117155,0.865338645418327,0.909585600669736,0.866457187745483,0.886035313001605,0.818780889621087,0.898770788141721,0.945201876287756,0.973047958779231,0.892330383480826,0.982570806100218,0.875,0.722984912328395,0.931648273406906,0.786428882122662,0.801259238981658,0.471194663432384,0.578410311493018,0.860194174757282,0.790830945558739,0.842940685045948,0.748731954740538,0.639862367783867,0.865687303252886,0.352820512820513,0.845973416731822,0.439590880034093,0.659270998415214,0.616844602609727,0.838926174496644,0.69168802636397,0.558007355399532,0.787685774946921,0.73360655737705
"125_9",0.925570904990132,0.765269461077845,0.899133175728921,0.724517906336088,0.71767497034401,0.659640102827764,0.680154142581888,0.834208223972003,0.702784048156508,8.88178419700125e-16,0.787325456498389,0.692435577722361,0.733664185277089,0.527123848515866,0.79657794676806,0.802728226652675,0.737885462555066,0.760797342192691,0.894101876675603,0.455223880597015,0.764386536373507,0.766871165644172,0.788005578800558,0.783203125,0.777315296566077,0.806794055201699,0.701086956521739,0.680365296803653,0.648587570621469,0.715258855585831,0.698783910196445,0.67769477054429,0.964785214785215,0.630655586334256,0.783037475345168,0.814541622760801,0.84251968503937,0.683653846153846,0.826086956521739,0.866346153846154,0.798149705634987,0.944444444444444,0.82422293676313,0.560224089635855,0.759530791788856,0.725155279503106,0.879310344827586,0.878618113912231,0.843770174306004,0.781818181818182,0.721925133689839,0.873051224944321,0.800190294957184,0.867535287730729,0.804566210045662,0.87605633802817,0.767572633552015,0.878333333333333,0.771749298409729,0.794007490636704,0.865422222222222,0.994164531739254,0.951417004048583,0.932646813247982,0.861407249466951,0.69187145557656,0.846318036286019,0.703839122486289,0.765384615384615,0.784836065573771,0.82496194824962,0.987920782808184,0.904761904761905,0.776190476190476,0.879003558718861,0.815315315315315,0.966130397967824,0.904200442151806,0.743165924984106,0.809177646524307,0.648970747562297,0.830985915492958,0.643811219946572,0.734328358208955,0.675159235668791,0.710171017101711,0.868960125097733,0.715707178393745,0.705882352941177,0.895117540687161,0.781548904659056,0.64179104477612,0.770833333333333,0.831151832460733,0.770132916340891,0.645224171539961,0.708879184861717,0.735772357723577
