"","Plot","Degrad"
"1","100_3","Logged-and-burned"
"2","100_5","Logged"
"3","100_6","Logged-and-burned"
"4","100_9","Logged-and-burned"
"5","142_1","Logged"
"6","142_12","Logged-and-burned"
"7","142_13","Secondary forest"
"8","142_3","Logged"
"9","142_4","Logged-and-burned"
"10","142_5","Logged"
"11","142_6","Logged-and-burned"
"12","147_1","Logged"
"13","147_11","Logged"
"14","147_2","Logged-and-burned"
"15","147_3","Logged-and-burned"
"16","147_4","Secondary forest"
"17","147_5","Logged"
"18","147_7","Logged"
"19","147_8","Logged"
"20","152_1","Secondary forest"
"21","152_2","Secondary forest"
"22","152_3","Secondary forest"
"23","152_4","Secondary forest"
"24","152_6","Secondary forest"
"25","152_7","Secondary forest"
"26","152_8","Secondary forest"
"27","202_1","Logged-and-burned"
"28","202_13","Logged-and-burned"
"29","202_2","Logged-and-burned"
"30","235_1","Logged"
"31","235_3","Logged-and-burned"
"32","235_4","Secondary forest"
"33","235_5","Secondary forest"
"34","245_11","Logged-and-burned"
"35","245_2","Logged"
"36","245_4","Logged"
"37","245_5","Logged"
"38","245_6","Logged"
"39","245_7","Secondary forest"
"40","245_8","Logged"
"41","245_9","Logged"
"42","269_1","Logged-and-burned"
"43","269_10","Logged"
"44","269_11","Logged"
"45","269_2","Logged-and-burned"
"46","269_4","Logged"
"47","269_6","Logged-and-burned"
"48","269_7","Logged"
"49","269_8","Logged-and-burned"
"50","274_1","Logged-and-burned"
"51","274_2","Logged-and-burned"
"52","274_3","Logged"
"53","274_4","Logged-and-burned"
"54","274_5","Logged-and-burned"
"55","274_6","Logged-and-burned"
"56","274_7","Logged-and-burned"
"57","274_8","Logged-and-burned"
"58","315_1","Logged-and-burned"
"59","315_11","Logged-and-burned"
"60","315_2","Secondary forest"
"61","315_3","Logged-and-burned"
"62","315_4","Logged-and-burned"
"63","315_5","Logged-and-burned"
"64","342_1","Logged"
"65","342_10","Secondary forest"
"66","342_11","Secondary forest"
"67","342_12","Secondary forest"
"68","342_2","Logged"
"69","342_3","Logged"
"70","342_4","Logged"
"71","342_5","Logged"
"72","342_6","Logged"
"73","342_7","Logged"
"74","342_8","Logged"
"75","342_9","Logged-and-burned"
"76","358_4","Logged"
"77","358_5","Logged-and-burned"
"78","369_1","Logged-and-burned"
"79","369_10","Logged"
"80","369_3","Logged"
"81","369_4","Logged"
"82","369_5","Logged-and-burned"
"83","369_6","Logged-and-burned"
"84","369_7","Logged"
"85","369_8","Logged"
"86","423_1","Logged-and-burned"
"87","423_5","Logged-and-burned"
"88","423_6","Logged-and-burned"
"89","423_7","Logged"
"90","423_9","Logged-and-burned"
"91","44_1","Logged-and-burned"
"92","44_2","Logged-and-burned"
"93","44_4","Logged-and-burned"
"94","44_5","Logged-and-burned"
"95","44_6","Logged-and-burned"
"96","443_1","Logged-and-burned"
"97","443_2","Logged"
"98","443_4","Logged"
"99","547_1","Logged"
"100","547_2","Logged"
"101","547_5","Logged"
"102","549_1","Undisturbed"
"103","549_10","Undisturbed"
"104","549_11","Logged"
"105","549_12","Undisturbed"
"106","549_2","Undisturbed"
"107","549_3","Undisturbed"
"108","549_4","Logged"
"109","549_5","Undisturbed"
"110","549_6","Undisturbed"
"111","549_7","Undisturbed"
"112","549_8","Undisturbed"
"113","549_9","Logged"
"114","Extra_1","Undisturbed"
"115","Extra_2","Undisturbed"
"116","Extra_3","Undisturbed"
"117","Extra_4","Undisturbed"
