"","Plot","Degrad"
"1","103_2","Secondary forest"
"2","103_3","Secondary forest"
"3","103_5","Secondary forest"
"4","103_8","Secondary forest"
"5","112_12","Logged"
"6","112_3","Secondary forest"
"7","112_8","Logged"
"8","125_5","Secondary forest"
"9","125_6","Secondary forest"
"10","125_9","Logged"
"11","129_10","Logged and burnt"
"12","129_11","Secondary forest"
"13","129_5","Logged and burnt"
"14","157_2","Logged and burnt"
"15","157_3","Logged and burnt"
"16","157_4","Logged"
"17","157_5","Logged"
"18","157_6","Logged"
"19","157_8","Secondary forest"
"20","160_10","Logged"
"21","160_11","Secondary forest"
"22","160_5","Secondary forest"
"23","160_8","Secondary forest"
"24","165_1","Logged and burnt"
"25","165_4","Logged and burnt"
"26","165_5","Logged and burnt"
"27","165_7","Logged and burnt"
"28","199_3","Logged and burnt"
"29","199_6","Secondary forest"
"30","199_9","Secondary forest"
"31","236_2","Logged and burnt"
"32","236_3","Logged and burnt"
"33","236_4","Secondary forest"
"34","236_5","Logged"
"35","236_6","Logged"
"36","236_7","Logged"
"37","260_1","Logged"
"38","260_2","Secondary forest"
"39","260_3","Logged and burnt"
"40","260_4","Logged"
"41","260_5","Logged and burnt"
"42","260_6","Logged"
"43","261_1","Logged"
"44","261_10","Undisturbed"
"45","261_11","Undisturbed"
"46","261_12","Logged"
"47","261_2","Logged"
"48","261_3","Logged"
"49","261_4","Logged"
"50","261_5","Logged"
"51","261_6","Logged"
"52","261_7","Logged"
"53","261_8","Undisturbed"
"54","261_9","Undisturbed"
"55","307_1","Logged and burnt"
"56","307_2","Logged and burnt"
"57","307_3","Logged and burnt"
"58","307_5","Logged"
"59","307_7","Logged and burnt"
"60","357_2","Logged and burnt"
"61","357_3","Secondary forest"
"62","357_4","Secondary forest"
"63","357_6","Secondary forest"
"64","357_9","Secondary forest"
"65","363_3","Undisturbed"
"66","363_4","Undisturbed"
"67","363_5","Undisturbed"
"68","363_6","Undisturbed"
"69","363_7","Undisturbed"
"70","363_8","Undisturbed"
"71","399_10","Logged and burnt"
"72","399_12","Secondary forest"
"73","399_3","Undisturbed"
"74","399_5","Logged and burnt"
"75","399_6","Logged"
"76","399_7","Logged"
"77","399_8","Secondary forest"
"78","399_9","Undisturbed"
"79","69_10","Secondary forest"
"80","69_11","Logged and burnt"
"81","69_2","Secondary forest"
"82","69_6","Secondary forest"
"83","69_8","Logged"
"84","81_11","Secondary forest"
"85","81_15","Logged"
"86","81_3","Logged and burnt"
"87","81_7","Secondary forest"
"88","81_9","Logged and burnt"
"89","99_10","Secondary forest"
"90","99_4","Secondary forest"
"91","99_6","Secondary forest"
"92","99_7","Secondary forest"
"93","99_8","Secondary forest"
"94","Extra_1","Undisturbed"
"95","Extra_2","Undisturbed"
"96","Extra_3","Undisturbed"
"97","Extra_4","Undisturbed"
"98","Extra_5","Undisturbed"
