"","stem","region","diversity","model","pairs","Df","SumsOfSqs","F.Model","R2","OmegaSq_degrad","OmegaSq_catchment","p.value","p.adjusted","sig","q_value"
"1","large","PGM","TD","large_PGM_TD_q0","LF vs LBF",1,0.893296871825112,3.51430351519551,0.0392596867449116,0.0340217661376866,0.139929483586027,0.001,0.006,"*","q0"
"2","large","PGM","TD","large_PGM_TD_q0","LBF vs SF",1,1.62369097814683,5.91268288116121,0.0925118867589272,0.0855521245617906,0.102780427998857,0.001,0.006,"*","q0"
"3","large","PGM","TD","large_PGM_TD_q0","UF vs LBF",1,2.17791440376722,8.58584047232479,0.135027553438752,0.133936735198085,0.121376582116309,0.001,0.006,"*","q0"
"4","large","PGM","TD","large_PGM_TD_q0","LF vs SF",1,2.79931391475226,11.4130552091416,0.16442231471809,0.165624514544827,0.112526879519674,0.001,0.006,"*","q0"
"5","large","PGM","TD","large_PGM_TD_q0","UF vs LF",1,1.55094979254573,6.96353025249085,0.112381109083289,0.109979146411922,0.130162335265304,0.001,0.006,"*","q0"
"6","large","PGM","TD","large_PGM_TD_q0","UF vs SF",1,3.1253817843975,13.3582747199473,0.330992214425482,0.323060092268807,0.0935963643836476,0.001,0.006,"*","q0"
"7","large","PGM","TD","large_PGM_TD_q1","LF vs LBF",1,1.46778569431008,6.58423175430007,0.0711161245229457,0.0803480686066246,0.237985066559596,0.001,0.006,"*","q1"
"8","large","PGM","TD","large_PGM_TD_q1","LBF vs SF",1,1.99961416936163,7.98797009389214,0.12105191419779,0.132452771201552,0.208177537516148,0.001,0.006,"*","q1"
"9","large","PGM","TD","large_PGM_TD_q1","UF vs LBF",1,3.00934060375462,14.0099207245472,0.203013140392781,0.240430943963761,0.257397194972115,0.001,0.006,"*","q1"
"10","large","PGM","TD","large_PGM_TD_q1","LF vs SF",1,3.39990754676319,15.4874415388586,0.210749499704234,0.227336553852406,0.165004698702275,0.001,0.006,"*","q1"
"11","large","PGM","TD","large_PGM_TD_q1","UF vs LF",1,1.67837058312036,9.20567366996091,0.14337788459757,0.158600063653374,0.210163820540633,0.001,0.006,"*","q1"
"12","large","PGM","TD","large_PGM_TD_q1","UF vs SF",1,3.91215040581418,19.6513916187306,0.421239129999298,0.443075195559663,0.173158404763015,0.001,0.006,"*","q1"
"13","large","PGM","TD","large_PGM_TD_q2","LF vs LBF",1,2.39660812075566,9.76328615269141,0.101952288240445,0.125765360197151,0.280573294356715,0.001,0.006,"*","q2"
"14","large","PGM","TD","large_PGM_TD_q2","LBF vs SF",1,2.28043600779005,7.96450485671551,0.120739250207601,0.135436650963951,0.228098914363483,0.001,0.006,"*","q2"
"15","large","PGM","TD","large_PGM_TD_q2","UF vs LBF",1,3.85575287194668,16.5155226832628,0.230936194879102,0.295135292928072,0.327915013135357,0.001,0.006,"*","q2"
"16","large","PGM","TD","large_PGM_TD_q2","LF vs SF",1,3.61336644618196,14.877815730248,0.204147388079208,0.222438399749694,0.175961350613815,0.001,0.006,"*","q2"
"17","large","PGM","TD","large_PGM_TD_q2","UF vs LF",1,1.68424274038471,8.97608935733627,0.14030381424536,0.165810521592367,0.264985507995318,0.001,0.006,"*","q2"
"18","large","PGM","TD","large_PGM_TD_q2","UF vs SF",1,4.15569498239653,19.2912275467891,0.416736141362646,0.448628084135122,0.203836243744711,0.001,0.006,"*","q2"
"19","large","PGM","FD","large_PGM_FD_q0","LF vs LBF",1,0.00929872799641039,3.9946178005972,0.0443872966875436,0.0380289385140775,0.105917081687913,0.001,0.006,"*","q0"
"20","large","PGM","FD","large_PGM_FD_q0","LBF vs SF",1,0.0198366365465131,6.61971186411823,0.102441061297799,0.0920144632344711,0.0630264348561036,0.001,0.006,"*","q0"
"21","large","PGM","FD","large_PGM_FD_q0","UF vs LBF",1,0.0196361386978105,7.744377660847,0.123427436043876,0.117030335182489,0.0917220773340511,0.001,0.006,"*","q0"
"22","large","PGM","FD","large_PGM_FD_q0","LF vs SF",1,0.0340061647881364,15.953390831809,0.215722236024194,0.213261129887024,0.0735810845097691,0.001,0.006,"*","q0"
"23","large","PGM","FD","large_PGM_FD_q0","UF vs LF",1,0.0115169344367193,7.09456469931336,0.114254198151933,0.109017378932884,0.106865338084129,0.001,0.006,"*","q0"
"24","large","PGM","FD","large_PGM_FD_q0","UF vs SF",1,0.0346341193619175,14.8680002115431,0.355116082364115,0.344631799633631,0.079644576137726,0.001,0.006,"*","q0"
"25","large","PGM","FD","large_PGM_FD_q1","LF vs LBF",1,0.0957880252455647,5.65553083598534,0.0617041959650611,0.0733718873490899,0.285505028212019,0.008,0.048,".","q1"
"26","large","PGM","FD","large_PGM_FD_q1","LBF vs SF",1,0.105244603555804,3.75029666080686,0.0607332573867162,0.0586135759990858,0.202562106472221,0.033,0.198,"","q1"
"27","large","PGM","FD","large_PGM_FD_q1","UF vs LBF",1,0.163034071608095,6.54221560146157,0.106304518573527,0.120999348652065,0.253642116506308,0.014,0.084,"","q1"
