"","Estimate","lwr","upr","p_value","std_error","model"
"LF - UF",-0.401124817947687,-1.14723978079448,0.344990144899108,0.505504709170551,0.293704037661515,"TD_q0_large_PGM"
"LBF - UF",-1.08412921904052,-1.86260834809286,-0.30565008998818,0.00209478719243661,0.306444013085474,"TD_q0_large_PGM"
"SF - UF",-1.94969637138248,-2.83666035378512,-1.06273238897984,7.39085077583468e-08,0.34914847692913,"TD_q0_large_PGM"
"LBF - LF",-0.683004401092831,-1.09722320752441,-0.268785594661257,0.000146279827290097,0.163054947269926,"TD_q0_large_PGM"
"SF - LF",-1.5485715534348,-2.13574543894007,-0.96139766792952,6.80127065777469e-11,0.231137759688263,"TD_q0_large_PGM"
"SF - LBF",-0.865567152341964,-1.47377696795406,-0.257357336729865,0.00156441802775908,0.239418437487252,"TD_q0_large_PGM"
"LF - UF1",-0.270026768963952,-0.902615883704925,0.36256234577702,0.688401358088525,0.24836526539724,"TD_q1_large_PGM"
"LBF - UF1",-1.32176522405652,-1.96528702632135,-0.678243421791693,5.20903186140842e-07,0.252657624805731,"TD_q1_large_PGM"
"SF - UF1",-2.01583690191745,-2.76628090196232,-1.26539290187258,3.00236502326356e-11,0.294637101546127,"TD_q1_large_PGM"
"LBF - LF1",-1.05173845509257,-1.44899845862083,-0.654478451564309,5.71174219032855e-11,0.155971046464189,"TD_q1_large_PGM"
"SF - LF1",-1.7458101329535,-2.29654628668049,-1.19507397922651,2.22044604925031e-15,0.216228398176387,"TD_q1_large_PGM"
"SF - LBF1",-0.69407167786093,-1.25246400031839,-0.135679355403473,0.00739661281445059,0.219234340476623,"TD_q1_large_PGM"
"LF - UF2",0.0136880935760335,-0.591757247020416,0.619133434172483,0.999928645614898,0.237226268961851,"TD_q2_large_PGM"
"LBF - UF2",-1.15078569944895,-1.7562310400454,-0.545340358852502,6.47102878048589e-06,0.237226268961851,"TD_q2_large_PGM"
"SF - UF2",-1.65867074361363,-2.37481886880037,-0.942522618426893,9.46902534160188e-09,0.280601957551957,"TD_q2_large_PGM"
"LBF - LF2",-1.16447379302498,-1.57338045615559,-0.755567129894376,1.11566311744582e-12,0.160218265041982,"TD_q2_large_PGM"
"SF - LF2",-1.67235883718967,-2.23227734546667,-1.11244032891267,6.90558721316847e-14,0.219387894719587,"TD_q2_large_PGM"
"SF - LBF2",-0.507885044164682,-1.06780355244168,0.0520334641123191,0.0908566323583457,0.219387894719587,"TD_q2_large_PGM"
"LF - UF3",-0.135660722693616,-0.951083774849318,0.679762329462085,0.973035198528621,0.321301383730832,"FD_q0_large_PGM"
"LBF - UF3",-0.681525139273448,-1.53680113630202,0.173750857755119,0.16851624914212,0.337004651255032,"FD_q0_large_PGM"
"SF - UF3",-1.68485238569745,-2.65352449602269,-0.716180275372217,4.94507920776321e-05,0.381686154942716,"FD_q0_large_PGM"
"LBF - LF3",-0.545864416579832,-0.984835401618898,-0.106893431540766,0.00777275671019384,0.172967865622478,"FD_q0_large_PGM"
"SF - LF3",-1.54919166300384,-2.17427269828802,-0.924110627719655,1.03639286042068e-09,0.246300863152884,"FD_q0_large_PGM"
"SF - LBF3",-1.003327246424,-1.65371127022306,-0.35294322262495,0.000465663487490331,0.256271007117862,"FD_q0_large_PGM"
"LF - UF4",0.029013085061776,-0.718610276336567,0.776636446460119,0.999638342521553,0.294499434075615,"FD_q1_large_PGM"
"LBF - UF4",-0.868587172955408,-1.64144298663169,-0.0957313592791301,0.0210225157961684,0.304438854510917,"FD_q1_large_PGM"
"SF - UF4",-1.67118886789963,-2.56000458028889,-0.782373155510374,1.03041221031219e-05,0.350117101486191,"FD_q1_large_PGM"
"LBF - LF4",-0.897600258017184,-1.33349454472666,-0.46170597130771,6.85883572715262e-07,0.171704935106136,"FD_q1_large_PGM"
"SF - LF4",-1.70020195296141,-2.31301878207789,-1.08738512384493,5.24136289925536e-12,0.241397231126191,"FD_q1_large_PGM"
"SF - LBF4",-0.802601694944224,-1.43236742016322,-0.172835969725226,0.00594693765011156,0.248073641425974,"FD_q1_large_PGM"
"LF - UF5",0.252157104870503,-0.457022060013468,0.961336269754475,0.7950972538112,0.278458845812051,"FD_q2_large_PGM"
"LBF - UF5",-0.779628930624798,-1.50170801151605,-0.0575498497335433,0.0288829985689233,0.283523991406181,"FD_q2_large_PGM"
"SF - UF5",-1.39898469895253,-2.24042217127544,-0.557547226629621,0.000234922452291952,0.330390004343095,"FD_q2_large_PGM"
"LBF - LF5",-1.0317860354953,-1.47541299138851,-0.588159079602098,2.48897310539675e-08,0.174189903237423,"FD_q2_large_PGM"
"SF - LF5",-1.65114180382304,-2.26661174263527,-1.0356718650108,2.29816166097407e-11,0.241663964876503,"FD_q2_large_PGM"
