"","comparison","stem","emmean","SE","df","lower.CL","upper.CL"
"1","LF_UF","large",0.213138791253039,0.0668906512934618,39.4261557112538,0.0778864209430202,0.348391161563059
"2","LBF_LF","large",0.665159321066268,0.0668906512934604,39.4261557112652,0.529906950756253,0.800411691376284
"3","LBF_UF","large",0.561762546776379,0.0668906512934605,39.426155711265,0.426510176466363,0.697014917086394
"4","SF_LBF","large",0.889907487041704,0.0668906512934604,39.4261557112653,0.754655116731689,1.02515985735172
"5","SF_LF","large",1.52292234959116,0.0668906512934604,39.4261557112652,1.38766997928114,1.65817471990117
"6","SF_UF","large",1.44374617638584,0.0668906512934605,39.4261557112651,1.30849380607583,1.57899854669586
"7","LF_UF","small",0.411847847019421,0.0668906512934612,39.426155711264,0.276595476709404,0.547100217329439
"8","LBF_LF","small",0.354047571584553,0.0668906512934603,39.4261557112654,0.218795201274538,0.489299941894568
"9","LBF_UF","small",0.328148879127163,0.0668906512934603,39.426155711265,0.192896508817148,0.463401249437178
"10","SF_LBF","small",0.88824510916686,0.0668906512934603,39.4261557112651,0.752992738856845,1.02349747947688
"11","SF_LF","small",1.16097594799988,0.0668906512934603,39.4261557112652,1.02572357768987,1.2962283183099
"12","SF_UF","small",0.818304774796278,0.0668906512934603,39.4261557112651,0.683052404486262,0.953557145106293
