"","pairs","q_value","emmean","SE","df","lower.CL","upper.CL"
"1","UF vs SF","q1",0.30841533466867,0.0462065135783542,1.14117107330404,-0.132047068081536,0.748877737418877
"2","UF vs SF","q2",0.298418453440594,0.0462065135783544,1.14117107330404,-0.142043949309613,0.738880856190802
"3","UF vs SF","q0",0.254699462384818,0.046206513578354,1.14117107330404,-0.18576294036539,0.695161865135026
"4","LF vs SF","q1",0.234561164951842,0.0462065135783542,1.14117107330404,-0.205901237798365,0.675023567702049
"5","LF vs SF","q2",0.224564283723766,0.0462065135783544,1.14117107330404,-0.215898119026441,0.665026686473973
"6","LF vs SF","q0",0.18084529266799,0.046206513578354,1.14117107330404,-0.259617110082218,0.621307695418197
"7","UF vs LBF","q1",0.129259397184486,0.0462065135783542,1.14117107330404,-0.311203005565721,0.569721799934692
"8","LBF vs SF","q1",0.122451145964345,0.0462065135783542,1.14117107330403,-0.318011256785867,0.562913548714558
"9","UF vs LBF","q2",0.11926251595641,0.0462065135783544,1.14117107330404,-0.321199886793797,0.559724918706617
"10","UF vs LF","q1",0.1156796491087,0.0462065135783542,1.14117107330404,-0.324782753641507,0.556142051858908
"11","LBF vs SF","q2",0.112454264736269,0.0462065135783543,1.14117107330403,-0.328008138013945,0.552916667486483
"12","UF vs LF","q2",0.105682767880625,0.0462065135783544,1.14117107330404,-0.334779634869584,0.546145170630833
"13","LF vs LBF","q1",0.0827249873772086,0.0462065135783542,1.14117107330404,-0.357737415372998,0.523187390127415
"14","UF vs LBF","q0",0.0755435249006334,0.046206513578354,1.14117107330404,-0.364918877849574,0.516005927650841
"15","LF vs LBF","q2",0.0727281061491327,0.0462065135783544,1.14117107330404,-0.367734296601074,0.51319050889934
"16","LBF vs SF","q0",0.0687352736804928,0.046206513578354,1.14117107330403,-0.371727129069721,0.509197676430707
"17","UF vs LF","q0",0.061963776824848,0.0462065135783541,1.14117107330404,-0.37849862592536,0.502426179575056
"18","LF vs LBF","q0",0.0290091150933562,0.046206513578354,1.14117107330404,-0.411453287656851,0.469471517843564
